source,stub,implementation,line,fixtures,status
aten/src/ATen/native/cpu/Activation.cpp,hardsigmoid_stub,hardsigmoid_kernel,1314,aten_hardsigmoid,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,hardsigmoid_backward_stub,hardsigmoid_backward_kernel,1315,aten_hardsigmoid_backward,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,threshold_stub,threshold_kernel,1316,aten_threshold_backward,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,leaky_relu_stub,leaky_relu_kernel,1317,"aten_elu,aten_leaky_relu",EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,leaky_relu_backward_stub,leaky_relu_backward_kernel,1318,aten_elu_backward,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,prelu_stub,prelu_kernel,1319,aten_elu,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,prelu_backward_stub,prelu_backward_kernel,1320,aten_elu_backward,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,hardtanh_backward_stub,hardtanh_backward_kernel,1321,aten_hardtanh_backward,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,hardshrink_stub,hardshrink_kernel,1322,aten_hardshrink,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,softshrink_stub,softshrink_kernel,1323,aten_softshrink,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,shrink_backward_stub,shrink_backward_kernel,1324,aten_shrink_backward,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,log_sigmoid_cpu_stub,log_sigmoid_cpu_kernel,1326,aten_log_sigmoid_cpu,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,log_sigmoid_backward_stub,log_sigmoid_backward_cpu_kernel,1327,aten_log_sigmoid_backward_cpu,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,glu_stub,glu_kernel,1328,aten_glu,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,glu_backward_stub,glu_backward_kernel,1329,aten_glu_backward,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,glu_jvp_stub,glu_jvp_kernel,1330,aten_glu_jvp,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,elu_stub,elu_kernel,1331,"aten_elu,aten_leaky_relu",EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,elu_backward_stub,elu_backward_kernel,1332,aten_elu_backward,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,GeluKernel,GeluKernelImpl,1333,"aten_gelu_cpu_exact,aten_gelu_cpu_tanh",EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,GeluBackwardKernel,GeluBackwardKernelImpl,1334,"aten_gelu_backward_cpu_exact,aten_gelu_backward_cpu_tanh",EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,hardswish_stub,hardswish_kernel,1335,aten_hardswish,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,hardswish_backward_stub,hardswish_backward_kernel,1336,aten_hardswish_backward,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,softplus_stub,softplus_kernel,1337,aten_softplus,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,softplus_backward_stub,softplus_backward_kernel,1338,aten_softplus_backward,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,silu_stub,silu_kernel,1339,aten_silu_cpu,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,silu_backward_stub,silu_backward_kernel,1340,aten_silu_backward,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,mish_stub,mish_kernel,1341,aten_mish,EXTRACTED
aten/src/ATen/native/cpu/Activation.cpp,mish_backward_stub,mish_backward_kernel,1342,aten_mish_backward,EXTRACTED
