kernel,source,token
aten_nll_loss_forward_cpu,aten/src/ATen/native/LossNLL.cpp,nll_loss_out_frame
aten_nll_loss_backward_cpu,aten/src/ATen/native/LossNLL.cpp,nll_loss_backward_out_frame
aten_nll_loss2d_forward_cpu,aten/src/ATen/native/LossNLL2d.cpp,nll_loss2d_forward_out_frame
aten_nll_loss2d_backward_cpu,aten/src/ATen/native/LossNLL2d.cpp,nll_loss2d_backward_out_frame
aten_multi_margin_loss_cpu,aten/src/ATen/native/LossMultiMargin.cpp,multi_margin_loss_cpu_kernel
aten_multi_margin_loss_backward_cpu,aten/src/ATen/native/LossMultiMargin.cpp,multi_margin_loss_backward_cpu_kernel
aten_multilabel_margin_loss_forward_cpu,aten/src/ATen/native/LossMultiLabelMargin.cpp,multilabel_margin_loss_forward_out_frame
aten_multilabel_margin_loss_backward_cpu,aten/src/ATen/native/LossMultiLabelMargin.cpp,multilabel_margin_loss_backward_out_frame
aten_ctc_loss_cpu,aten/src/ATen/native/LossCTC.cpp,ctc_loss_cpu_template
aten_ctc_loss_backward_cpu,aten/src/ATen/native/LossCTC.cpp,ctc_loss_backward_cpu_template
aten_segment_reduce_lengths_cpu,aten/src/ATen/native/SegmentReduce.cpp,_segment_reduce_lengths_cpu_kernel1
aten_segment_reduce_lengths_backward_cpu,aten/src/ATen/native/SegmentReduce.cpp,_segment_reduce_cpu_lengths_backward_kernel1
aten_host_softmax_cpu,aten/src/ATen/native/SoftMax.cpp,host_softmax
aten_host_softmax_backward_cpu,aten/src/ATen/native/SoftMax.cpp,host_softmax_backward
aten_fractional_max_pool2d_cpu,aten/src/ATen/native/FractionalMaxPool2d.cpp,fractional_max_pool2d_out_frame
aten_fractional_max_pool2d_backward_cpu,aten/src/ATen/native/FractionalMaxPool2d.cpp,fractional_max_pool2d_backward_out_frame
aten_fractional_max_pool3d_cpu,aten/src/ATen/native/FractionalMaxPool3d.cpp,fractional_max_pool3d_out_frame
aten_fractional_max_pool3d_backward_cpu,aten/src/ATen/native/FractionalMaxPool3d.cpp,fractional_max_pool3d_backward_out_frame
aten_grid_sampler_3d_cpu,aten/src/ATen/native/GridSampler.cpp,grid_sampler_3d_cpu_impl
aten_grid_sampler_3d_backward_cpu,aten/src/ATen/native/GridSampler.cpp,grid_sampler_3d_backward_cpu_impl
aten_grid_sampler_2d_quantized_cpu,aten/src/ATen/native/GridSampler.cpp,_grid_sampler_2d_cpu_quantized
aten_grid_sampler_2d_fallback_cpu,aten/src/ATen/native/GridSampler.cpp,_grid_sampler_2d_cpu_fallback
aten_constant_pad_nd_cpu,aten/src/ATen/native/PadNd.cpp,constant_pad_nd
aten_circular_pad_cpu,aten/src/ATen/native/PadNd.cpp,_pad_circular_symint
aten_triu_tril_single_cpu,aten/src/ATen/native/TriangularOps.cpp,apply_triu_tril_single
aten_triu_tril_batch_cpu,aten/src/ATen/native/TriangularOps.cpp,apply_triu_tril
aten_logspace_cpu,aten/src/ATen/native/RangeFactories.cpp,logspace_out
aten_range_out_cpu,aten/src/ATen/native/RangeFactories.cpp,range_out
aten_fill_diagonal_cpu,aten/src/ATen/native/Fill.cpp,fill_diagonal_
aten_repeat_compute_cpu,aten/src/ATen/native/Repeat.cpp,compute_cpu
aten_adaptive_max_pool1d_cpu,aten/src/ATen/native/Pooling.cpp,adaptive_max_pool1d
aten_upsample_bicubic2d_backward_cpu,aten/src/ATen/native/UpSampleBicubic2d.cpp,upsample_bicubic2d_backward_out_frame
