kernel,source,token
aten_abs,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,abs_kernel
aten_neg,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,neg_kernel
aten_reciprocal,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,reciprocal_kernel
aten_sign,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,sign_kernel
aten_square,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,square_kernel
aten_logical_not_f32,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,logical_not_kernel
aten_mul,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,mul_kernel
aten_div,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,div_true_kernel
aten_maximum,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,maximum_kernel
aten_minimum,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,minimum_kernel
aten_lt,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,lt_kernel
aten_le,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,le_kernel
aten_gt,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,gt_kernel
aten_ge,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,ge_kernel
aten_eq,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,eq_kernel
aten_ne,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,ne_kernel
aten_mse_elementwise,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,mse_kernel
aten_frac,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,frac_kernel
aten_sinc,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,sinc_kernel
aten_sinh,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,sinh_kernel
aten_cosh,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,cosh_kernel
aten_acosh,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,acosh_kernel
aten_asinh,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,asinh_kernel
aten_atanh,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,atanh_kernel
aten_exp2,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,exp2_kernel
aten_rsqrt,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,rsqrt_kernel
aten_ceil,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,ceil_kernel
aten_floor,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,floor_kernel
aten_round,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,round_kernel
aten_sqrt,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,sqrt_kernel
aten_trunc,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,trunc_kernel
aten_sin,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,sin_kernel
aten_cos,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,cos_kernel
aten_tan,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,tan_kernel
aten_acos,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,acos_kernel
aten_asin,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,asin_kernel
