kernel,source,token
aten_cumprod_backward_cpu,aten/src/ATen/native/ReduceOps.cpp,cumprod_backward
aten_cummax_cummin_cpu,aten/src/ATen/native/ReduceOps.cpp,cummax_cummin_helper
aten_diff_cpu,aten/src/ATen/native/ReduceOps.cpp,diff_helper
aten_gradient_cpu,aten/src/ATen/native/ReduceOps.cpp,gradient_helper
aten_gradient_float_cpu,aten/src/ATen/native/ReduceOps.cpp,gradient_helper_float
aten_trace_cpu,aten/src/ATen/native/ReduceOps.cpp,trace_cpu
aten_allany_dims_cpu,aten/src/ATen/native/ReduceOps.cpp,allany_dims_default
aten_std_var_all_cpu,aten/src/ATen/native/ReduceOps.cpp,std_var_all_cpu
aten_equal_cpu,aten/src/ATen/native/ReduceOps.cpp,cpu_equal
aten_blas_scale_cpu,aten/src/ATen/native/cpu/BlasKernel.cpp,scale_
aten_blas_sum_cpu,aten/src/ATen/native/cpu/BlasKernel.cpp,sum
aten_gemm_transa_cpu,aten/src/ATen/native/cpu/BlasKernel.cpp,gemm_transa_
aten_gemm_transb_cpu,aten/src/ATen/native/cpu/BlasKernel.cpp,gemm_transb_impl
aten_gemm_transab_cpu,aten/src/ATen/native/cpu/BlasKernel.cpp,gemm_transab_
aten_gemm_notrans_cpu,aten/src/ATen/native/cpu/BlasKernel.cpp,gemm_notrans_
aten_blas_axpy_cpu,aten/src/ATen/native/cpu/BlasKernel.cpp,cpublas_axpy_impl
aten_blas_copy_cpu,aten/src/ATen/native/cpu/BlasKernel.cpp,cpublas_copy_impl
aten_cpu_blas_gemm_cpu,aten/src/ATen/native/CPUBlas.cpp,gemm
aten_cpu_blas_gemm_batched_cpu,aten/src/ATen/native/CPUBlas.cpp,gemm_batched_generic
aten_cpu_blas_gemm_strided_batched_cpu,aten/src/ATen/native/CPUBlas.cpp,gemm_batched_with_stride_generic
aten_eye_cpu,aten/src/ATen/native/TensorFactories.cpp,eye_out_cpu
aten_randperm_cpu,aten/src/ATen/native/TensorFactories.cpp,randperm_cpu
aten_tril_indices_cpu,aten/src/ATen/native/TensorFactories.cpp,tril_indices_cpu
aten_triu_indices_cpu,aten/src/ATen/native/TensorFactories.cpp,triu_indices_cpu
aten_zeros_cpu,aten/src/ATen/native/TensorFactories.cpp,zeros_symint
aten_fftshift_cpu,aten/src/ATen/native/SpectralOps.cpp,fft_fftshift
aten_ifftshift_cpu,aten/src/ATen/native/SpectralOps.cpp,fft_ifftshift
aten_as_complex_cpu,aten/src/ATen/native/SpectralOps.cpp,as_complex
aten_fft_conjugate_symmetry_cpu,aten/src/ATen/native/SpectralOps.cpp,_fft_fill_with_conjugate_symmetry_
aten_lower_bound_cpu,aten/src/ATen/native/Bucketization.cpp,cus_lower_bound
aten_upper_bound_cpu,aten/src/ATen/native/Bucketization.cpp,cus_upper_bound
aten_searchsorted_cpu,aten/src/ATen/native/Bucketization.cpp,searchsorted_cpu_contiguous
aten_quick_select_cpu,aten/src/ATen/native/Sorting.cpp,quick_select_template
aten_kthvalue_cpu,aten/src/ATen/native/Sorting.cpp,kthvalue_out_impl_cpu
aten_median_indices_cpu,aten/src/ATen/native/Sorting.cpp,median_with_indices_impl
aten_bincount_cpu,aten/src/ATen/native/SummaryOps.cpp,_bincount_cpu_template
aten_flip_tensor_transform_cpu,aten/src/ATen/native/TensorTransformations.cpp,flip
aten_col2im_cpu,aten/src/ATen/native/Col2Im.cpp,col2im_out_cpu_template
aten_conv2d_columns_cpu,aten/src/ATen/native/ConvolutionMM2d.cpp,compute_columns2d
aten_conv3d_columns_cpu,aten/src/ATen/native/ConvolutionMM3d.cpp,compute_columns3d
aten_slow_conv3d_forward_cpu,aten/src/ATen/native/ConvolutionMM3d.cpp,slow_conv3d_forward_out_cpu
aten_slow_conv3d_backward_input_cpu,aten/src/ATen/native/ConvolutionMM3d.cpp,slow_conv3d_backward_out_cpu_template
aten_slow_conv3d_backward_weight_cpu,aten/src/ATen/native/ConvolutionMM3d.cpp,slow_conv3d_backward_parameters_out_cpu_template
aten_dropout_feature_noise_cpu,aten/src/ATen/native/Dropout.cpp,make_feature_noise
aten_sparse_flatten_indices_cpu,aten/src/ATen/native/SparseTensorUtils.cpp,flatten_indices_by_dims
aten_sparse_coo_to_csr_cpu,aten/src/ATen/native/SparseTensorUtils.cpp,coo_to_csr
aten_sparse_full_coo_indices_cpu,aten/src/ATen/native/SparseTensorUtils.cpp,full_coo_indices
