kernel,source,token
aten_upsample_nearest1d_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_nearest1d_kernel_impl
aten_upsample_nearest1d_backward_cpu,aten/src/ATen/native/cpu/UpSampleMoreKernel.cpp,upsample_nearest1d_backward_kernel_impl
aten_upsample_nearest_exact1d_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,_upsample_nearest_exact1d_kernel_impl
aten_upsample_nearest_exact1d_backward_cpu,aten/src/ATen/native/cpu/UpSampleMoreKernel.cpp,_upsample_nearest_exact1d_backward_kernel_impl
aten_upsample_linear1d_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_linear1d_kernel_impl
aten_upsample_linear1d_backward_cpu,aten/src/ATen/native/cpu/UpSampleMoreKernel.cpp,upsample_linear1d_backward_kernel_impl
aten_upsample_nearest2d_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_nearest2d_kernel_impl
aten_upsample_nearest2d_backward_cpu,aten/src/ATen/native/cpu/UpSampleMoreKernel.cpp,upsample_nearest2d_backward_kernel_impl
aten_upsample_nearest_exact2d_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,_upsample_nearest_exact2d_kernel_impl
aten_upsample_nearest_exact2d_backward_cpu,aten/src/ATen/native/cpu/UpSampleMoreKernel.cpp,_upsample_nearest_exact2d_backward_kernel_impl
aten_upsample_bilinear2d_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_bilinear2d_kernel_impl
aten_upsample_bilinear2d_backward_cpu,aten/src/ATen/native/cpu/UpSampleMoreKernel.cpp,upsample_bilinear2d_backward_kernel_impl
aten_upsample_nearest3d_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_nearest3d_kernel_impl
aten_upsample_nearest3d_backward_cpu,aten/src/ATen/native/cpu/UpSampleMoreKernel.cpp,upsample_nearest3d_backward_kernel_impl
aten_upsample_nearest_exact3d_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,_upsample_nearest_exact3d_kernel_impl
aten_upsample_nearest_exact3d_backward_cpu,aten/src/ATen/native/cpu/UpSampleMoreKernel.cpp,_upsample_nearest_exact3d_backward_kernel_impl
aten_upsample_trilinear3d_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_trilinear3d_kernel_impl
aten_upsample_trilinear3d_backward_cpu,aten/src/ATen/native/cpu/UpSampleMoreKernel.cpp,upsample_trilinear3d_backward_kernel_impl
aten_upsample_bicubic2d_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_bicubic2d_kernel_impl
aten_upsample_bilinear2d_aa_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_bilinear2d_aa_kernel_impl
aten_upsample_bilinear2d_aa_backward_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_bilinear2d_aa_backward_kernel_impl
aten_upsample_bicubic2d_aa_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_bicubic2d_aa_kernel_impl
aten_upsample_bicubic2d_aa_backward_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_bicubic2d_aa_backward_kernel_impl
aten_upsample_lanczos2d_aa_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_lanczos2d_aa_kernel_impl
aten_upsample_lanczos2d_aa_backward_cpu,aten/src/ATen/native/cpu/UpSampleKernel.cpp,upsample_lanczos2d_aa_backward_kernel_impl
aten_reflection_pad1d_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,reflection_pad1d_kernel_impl
aten_reflection_pad1d_backward_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,reflection_pad1d_backward_kernel_impl
aten_replication_pad1d_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,replication_pad1d_kernel_impl
aten_replication_pad1d_backward_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,replication_pad1d_backward_kernel_impl
aten_reflection_pad2d_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,reflection_pad2d_kernel_impl
aten_reflection_pad2d_backward_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,reflection_pad2d_backward_kernel_impl
aten_replication_pad2d_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,replication_pad2d_kernel_impl
aten_replication_pad2d_backward_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,replication_pad2d_backward_kernel_impl
aten_reflection_pad3d_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,reflection_pad3d_kernel_impl
aten_reflection_pad3d_backward_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,reflection_pad3d_backward_kernel_impl
aten_replication_pad3d_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,replication_pad3d_kernel_impl
aten_replication_pad3d_backward_cpu,aten/src/ATen/native/cpu/PaddingKernel.cpp,replication_pad3d_backward_kernel_impl
aten_std_var_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,std_var_kernel_impl
aten_norm_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,norm_kernel_tensor_iterator_impl
aten_powsum_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,powsum_kernel_tensor_iterator_impl
aten_and_reduce_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,and_kernel_impl
aten_or_reduce_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,or_kernel_impl
aten_min_values_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,min_values_kernel_impl
aten_max_values_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,max_values_kernel_impl
aten_argmax_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,argmax_kernel_impl
aten_argmin_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,argmin_kernel_impl
aten_xor_sum_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,xor_sum_kernel_impl
aten_cumprod_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,cumprod_cpu_kernel
aten_logcumsumexp_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,logcumsumexp_cpu_kernel
aten_bernoulli_tensor_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,bernoulli_tensor_kernel
aten_bernoulli_scalar_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,bernoulli_scalar_kernel
aten_cauchy_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,cauchy_kernel
aten_exponential_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,exponential_kernel
aten_geometric_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,geometric_kernel
aten_log_normal_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,log_normal_kernel
aten_normal_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,normal_kernel
aten_uniform_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,uniform_kernel
aten_random_from_to_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,random_from_to_kernel
aten_random_full_64_bits_range_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,random_full_64_bits_range_kernel
aten_random_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,random_kernel
aten_index_cpu,aten/src/ATen/native/cpu/IndexKernel.cpp,index_kernel
aten_index_fill_cpu,aten/src/ATen/native/cpu/IndexKernel.cpp,index_fill_kernel
aten_index_copy_cpu,aten/src/ATen/native/cpu/IndexKernel.cpp,index_copy_kernel
aten_index_put_cpu,aten/src/ATen/native/cpu/IndexKernel.cpp,index_put_kernel
aten_put_cpu,aten/src/ATen/native/cpu/IndexKernel.cpp,put_kernel
aten_take_cpu,aten/src/ATen/native/cpu/IndexKernel.cpp,take_kernel
aten_masked_fill_cpu,aten/src/ATen/native/cpu/IndexKernel.cpp,masked_fill_kernel
aten_masked_select_serial_cpu,aten/src/ATen/native/cpu/IndexKernel.cpp,masked_select_serial_kernel
aten_masked_select_cpu,aten/src/ATen/native/cpu/IndexKernel.cpp,masked_select_kernel
aten_masked_scatter_cpu,aten/src/ATen/native/cpu/IndexKernel.cpp,masked_scatter_kernel
aten_flip_cpu,aten/src/ATen/native/cpu/IndexKernel.cpp,flip_kernel
aten_gather_cpu,aten/src/ATen/native/cpu/ScatterGatherKernel.cpp,gather_cpu_kernel
aten_scatter_cpu,aten/src/ATen/native/cpu/ScatterGatherKernel.cpp,scatter_cpu_kernel
aten_scatter_fill_cpu,aten/src/ATen/native/cpu/ScatterGatherKernel.cpp,scatter_fill_cpu_kernel
aten_scatter_add_cpu,aten/src/ATen/native/cpu/ScatterGatherKernel.cpp,scatter_add_cpu_kernel
aten_scatter_reduce_cpu,aten/src/ATen/native/cpu/ScatterGatherKernel.cpp,scatter_reduce_cpu_kernel
aten_scatter_scalar_reduce_cpu,aten/src/ATen/native/cpu/ScatterGatherKernel.cpp,scatter_scalar_reduce_cpu_kernel
aten_scatter_reduce_two_cpu,aten/src/ATen/native/cpu/ScatterGatherKernel.cpp,scatter_reduce_two_cpu_kernel
aten_scatter_add_expanded_index_cpu,aten/src/ATen/native/cpu/ScatterGatherKernel.cpp,scatter_add_expanded_index_kernel
aten_scatter_reduce_expanded_index_cpu,aten/src/ATen/native/cpu/ScatterGatherKernel.cpp,scatter_reduce_expanded_index_kernel
aten_gather_expanded_index_cpu,aten/src/ATen/native/cpu/ScatterGatherKernel.cpp,gather_expanded_index_kernel
aten_adaptive_avg_pool2d_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adaptive_avg_pool2d_kernel_impl
aten_adaptive_avg_pool2d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adapative_avg_pool2d_backward_kernel_impl
aten_adaptive_max_pool2d_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool2d_kernel_impl
aten_adaptive_max_pool2d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool2d_backward_kernel_impl
aten_avg_pool2d_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool2d_kernel_impl
aten_avg_pool2d_backward_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool2d_backward_kernel_impl
aten_adaptive_avg_pool3d_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adaptive_avg_pool3d_kernel_impl
aten_adaptive_avg_pool3d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adapative_avg_pool3d_backward_kernel_impl
aten_adaptive_max_pool3d_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool3d_kernel_impl
aten_adaptive_max_pool3d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool3d_backward_kernel_impl
aten_avg_pool3d_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool3d_kernel_impl
aten_avg_pool3d_backward_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool3d_backward_kernel_impl
aten_max_pool1d_cpu,aten/src/ATen/native/cpu/MaxPooling.cpp,max_pool1d_impl
aten_max_pool3d_cpu,aten/src/ATen/native/cpu/MaxPoolKernel.cpp,max_pool3d_kernel_impl
aten_max_pool3d_backward_cpu,aten/src/ATen/native/cpu/MaxPoolKernel.cpp,max_pool3d_backward_kernel_impl
