kernel,op_token,has_native_cuda
aten_abs,abs,yes
aten_acos,acos,yes
aten_acosh,acosh,yes
aten_adaptive_avg_pool2d,adaptive_avg_pool2d,yes
aten_adaptive_avg_pool2d_backward_cpu,adaptive_avg_pool2d,yes
aten_adaptive_avg_pool2d_cpu,adaptive_avg_pool2d,yes
aten_adaptive_avg_pool3d,adaptive_avg_pool3d,yes
aten_adaptive_avg_pool3d_backward_cpu,adaptive_avg_pool3d,yes
aten_adaptive_avg_pool3d_cpu,adaptive_avg_pool3d,yes
aten_adaptive_max_pool1d_cpu,adaptive_max_pool1d,no
aten_adaptive_max_pool2d_backward_cpu,adaptive_max_pool2d,yes
aten_adaptive_max_pool2d_cpu,adaptive_max_pool2d,yes
aten_adaptive_max_pool3d_backward_cpu,adaptive_max_pool3d,yes
aten_adaptive_max_pool3d_cpu,adaptive_max_pool3d,yes
aten_adaptive_max_pool3d_legacy_backward_cpu,adaptive_max_pool3d_legacy,yes
aten_adaptive_max_pool3d_legacy_cpu,adaptive_max_pool3d_legacy,yes
aten_add,add,yes
aten_add_clamp,add_clamp,yes
aten_addcdiv,addcdiv,yes
aten_addcmul,addcmul,yes
aten_addmm,addmm,yes
aten_addr_elementwise,addr_elementwise,yes
aten_airy_ai,airy_ai,yes
aten_allany_dims_cpu,allany_dims,no
aten_aminmax_allreduce_cpu,aminmax_allreduce,yes
aten_aminmax_cpu,aminmax,yes
aten_amp_update_scale_cpu,amp_update_scale,yes
aten_and_reduce_cpu,and_reduce,no
aten_angle_complex_scalarized,angle_complex,yes
aten_angle_real,angle_real,yes
aten_arange_cpu,arange,yes
aten_argmax_cpu,argmax,yes
aten_argmin_cpu,argmin,yes
aten_as_complex_cpu,as_complex,yes
aten_asin,asin,yes
aten_asinh,asinh,yes
aten_atan,atan,yes
aten_atan2,atan2,yes
aten_atanh,atanh,yes
aten_avg_pool2d,avg_pool2d,yes
aten_avg_pool2d_backward_cpu,avg_pool2d,yes
aten_avg_pool2d_cpu,avg_pool2d,yes
aten_avg_pool3d,avg_pool3d,yes
aten_avg_pool3d_backward_cpu,avg_pool3d,yes
aten_avg_pool3d_cpu,avg_pool3d,yes
aten_batch_norm,batch_norm,yes
aten_batch_norm_backward_cpu,batch_norm,yes
aten_batch_norm_backward_template_cpu,batch_norm,yes
aten_batch_norm_collect_stats_cpu,batch_norm_collect_stats,no
aten_batch_norm_cpu_entry,batch_norm_cpu_entry,yes
aten_batch_norm_stats_cpu,batch_norm_stats,yes
aten_batch_norm_transform_cpu,batch_norm,yes
aten_bernoulli_scalar_cpu,bernoulli_scalar,yes
aten_bernoulli_tensor_cpu,bernoulli_tensor,yes
aten_bessel_j0,bessel_j0,yes
aten_bessel_j1,bessel_j1,yes
aten_bessel_y0,bessel_y0,yes
aten_bessel_y1,bessel_y1,yes
aten_bf16_dot_cpu,bf16_dot,no
aten_bf16_gemv_trans_cpu,bf16_gemv_trans,no
