kernel,base_op,status
aten_abs,abs,covered
aten_acos,acos,covered
aten_acosh,acosh,covered
aten_adaptive_avg_pool2d,adaptive_avg_pool2d,covered
aten_adaptive_avg_pool2d_backward_cpu,adaptive_avg_pool2d,covered
aten_adaptive_avg_pool2d_cpu,adaptive_avg_pool2d,covered
aten_adaptive_avg_pool3d,adaptive_avg_pool3d,missing
aten_adaptive_avg_pool3d_backward_cpu,adaptive_avg_pool3d,missing
aten_adaptive_avg_pool3d_cpu,adaptive_avg_pool3d,missing
aten_adaptive_max_pool2d_backward_cpu,adaptive_max_pool2d,covered
aten_adaptive_max_pool2d_cpu,adaptive_max_pool2d,covered
aten_adaptive_max_pool3d_backward_cpu,adaptive_max_pool3d,covered
aten_adaptive_max_pool3d_cpu,adaptive_max_pool3d,covered
aten_adaptive_max_pool3d_legacy_backward_cpu,adaptive_max_pool3d,covered
aten_adaptive_max_pool3d_legacy_cpu,adaptive_max_pool3d,covered
aten_add,add,covered
aten_add_clamp,add_clamp,covered
aten_addcdiv,addcdiv,covered
aten_addcmul,addcmul,covered
aten_addmm,addmm,covered
aten_addr_elementwise,addr_elementwise,covered
aten_airy_ai,airy_ai,missing
aten_aminmax_allreduce_cpu,aminmax,missing
aten_aminmax_cpu,aminmax,missing
aten_amp_update_scale_cpu,amp_update_scale,covered
aten_angle_complex_scalarized,angle_complex,covered
aten_angle_real,angle_real,covered
aten_arange_cpu,arange,covered
aten_argmax_cpu,argmax,covered
aten_argmin_cpu,argmin,covered
aten_as_complex_cpu,as_complex,covered
aten_asin,asin,covered
aten_asinh,asinh,covered
aten_atan,atan,covered
aten_atan2,atan2,covered
aten_atanh,atanh,covered
aten_avg_pool2d,avg_pool2d,covered
aten_avg_pool2d_backward_cpu,avg_pool2d,covered
aten_avg_pool2d_cpu,avg_pool2d,covered
aten_avg_pool3d,avg_pool3d,missing
aten_avg_pool3d_backward_cpu,avg_pool3d,missing
aten_avg_pool3d_cpu,avg_pool3d,missing
aten_batch_norm,batch_norm,covered
aten_batch_norm_backward_cpu,batch_norm,covered
aten_batch_norm_backward_template_cpu,batch_norm,covered
aten_batch_norm_cpu_entry,batch_norm_cpu_entry,covered
aten_batch_norm_stats_cpu,batch_norm_stats,covered
aten_batch_norm_transform_cpu,batch_norm,covered
aten_bernoulli_scalar_cpu,bernoulli,covered
aten_bernoulli_tensor_cpu,bernoulli,covered
aten_bessel_j0,bessel_j0,covered
aten_bessel_j1,bessel_j1,covered
aten_bessel_y0,bessel_y0,covered
aten_bessel_y1,bessel_y1,covered
aten_bilinear_cpu,bilinear,covered
aten_binary_cross_entropy,binary_cross_entropy,covered
aten_bincount_cpu,bincount,covered
aten_binomial_transform_cpu,binomial,missing
aten_bitwise_and_i32,bitwise_and_i32,covered
aten_bitwise_not_i32,bitwise_not_i32,covered
aten_bitwise_or_i32,bitwise_or_i32,covered
aten_bitwise_xor_i32,bitwise_xor_i32,covered
aten_blas_scale_cpu,blas_scale,covered
aten_blas_sum_cpu,blas_sum,covered
aten_block_diag_cpu,block_diag,covered
aten_bmm,bmm,covered
aten_cauchy_cpu,cauchy,covered
aten_cdist_backward_cpu,cdist,covered
aten_cdist_cpu,cdist,covered
aten_ceil,ceil,covered
aten_chebyshev_polynomial_t,chebyshev_polynomial_t,covered
aten_chebyshev_polynomial_u,chebyshev_polynomial_u,covered
aten_chebyshev_polynomial_v,chebyshev_polynomial_v,covered
aten_chebyshev_polynomial_w,chebyshev_polynomial_w,covered
aten_circular_pad_cpu,circular_pad,covered
aten_clamp,clamp,covered
aten_clamp_cpu,clamp,covered
