kernel,native_aten_resident_us,min_us,max_us,iqr_us,errors,max_error,shape,recipe,samples,device,protocol
aten_clamp_cpu,418.784000,411.808000,420.224000,5.440000,0,0,N=4194304,3cd8e32878aada7c,"420.224000,416.640000,419.104000,418.784000,411.808000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_clamp_max_scalar_cpu,230.496000,226.464000,239.456000,9.888000,0,0,N=4194304,20afe51bff9319b3,"239.456000,230.496000,226.464000,233.504000,226.720000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_clamp_min_scalar_cpu,223.936000,222.144000,227.232000,3.504000,0,0,N=4194304,79cad4471d373dda,"225.600000,222.144000,223.680000,227.232000,223.936000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_clamp_scalar_cpu,225.888000,224.288000,228.288000,2.816000,0,0,N=4194304,a5b7d49626a84340,"228.288000,225.888000,224.288000,227.168000,225.536000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_masked_scale,426.816000,424.288000,431.584000,5.984000,0,0,N=4194304,f023c7dce84c90d0,"431.584000,426.816000,430.080000,425.408000,424.288000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_hardshrink,225.056000,223.296000,228.896000,3.696000,0,0,N=4194304,6b84be6ffbc2f9cd,"223.296000,225.056000,228.896000,225.280000,223.488000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_hardtanh,226.208000,225.024000,229.888000,3.840000,0,0,N=4194304,83fe1f5a9c14ac29,"226.112000,226.208000,225.024000,229.888000,228.928000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_hardtanh_backward,318.240000,315.616000,323.680000,7.056000,0,0,N=4194304,6488125976d74959,"323.680000,315.968000,322.016000,315.616000,318.240000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_shrink_backward,314.496000,313.088000,316.416000,3.216000,0,0,N=4194304,0685394b0abd4c38,"313.088000,313.184000,316.416000,316.288000,314.496000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
aten_softshrink,225.280000,222.688000,229.728000,4.928000,0,0,N=4194304,586089c4ed5789f9,"226.656000,225.280000,229.728000,223.840000,222.688000",Jetson_AGX_Orin_sm87,one_process_5_warmups_median_of_5_sync_wall
