kernel,native_us,shape
aten_abs,218.912,N=4194304
aten_acos,212.736,N=4194304
aten_acosh,411.040,N=4194304
aten_adaptive_avg_pool2d,387.584,B=4_C=32_H=256_W=256_OH=128_OW=128
aten_adaptive_avg_pool2d_backward_cpu,73.248,B=1_C=2_I0=6_O0=3_I1=7_O1=3
aten_adaptive_avg_pool3d_backward_cpu,76.352,B=1_C=2_I0=6_O0=3_I1=7_O1=3_I2=8_O2=3
aten_adaptive_max_pool2d_backward_cpu,75.680,B=1_C=2_I0=6_O0=3_I1=7_O1=3
aten_add,297.536,W=91_H=91_B=11_C=45
aten_add_clamp,302.176,N=4194304
aten_asin,215.136,N=4194304
aten_asinh,213.632,N=4194304
aten_atan,213.920,N=4194304
aten_atanh,213.664,N=4194304
aten_avg_pool2d,63.296,B=2_C=4_H=16_W=16
aten_avg_pool2d_backward_cpu,62.048,B=1_C=2_I0=6_I1=7
aten_avg_pool3d_backward_cpu,63.840,B=1_C=2_I0=6_I1=7_I2=8
aten_batch_norm,289.024,W=91_H=91_B=11_C=45
aten_batch_norm_transform_cpu,488.032,N=32_C=64_H=64_W=64
aten_bmm,765.472,BATCH=70_N=211_K=282_M=141
aten_cat_serial_cpu,80.480,K=3096_R=774_M=581
aten_cat_sparse_cpu,416.448,N=16384_B=256
aten_ceil,213.280,N=4194304
aten_conv2d_columns_cpu,969.312,W=61_H=61_K=11_C=11
aten_conv3d,246921.509,W=38_H=38_OC=19_K=19_D=38_B=6_IC=13
aten_cos,188.768,N=4194304
aten_cosh,217.344,N=4194304
aten_count_nonzero_cpu,1166.624,N=8388608
aten_count_nonzero_impl_cpu,1216.160,R=131072_C=64
aten_cumprod_backward_cpu,219.840,N=4194304
aten_cumprod_cpu,281.856,K=2896_R=1448
aten_cumsum,218.528,N=4194304
aten_div,310.080,N=4194304
aten_div_floor,217.504,N=4194304
aten_elu,222.720,N=4194304
aten_elu_backward,218.784,N=4194304
aten_erf,204.640,N=4194304
aten_erfc,205.120,N=4194304
aten_exp,203.328,N=4194304
aten_exp2,204.576,N=4194304
aten_floor,216.064,N=4194304
aten_frac,217.504,N=4194304
aten_fractional_max_pool2d_cpu,131.584,OH=38_B=19_IW=94_IH=84_OW=47_C=28
aten_fractional_max_pool3d_cpu,80.128,OH=20_ID=39_OD=15_B=5_IW=49_IH=44_OW=25_C=10
aten_gelu,226.720,N=4194304
aten_gelu_cpu_exact,221.504,N=4194304
aten_hardswish,215.808,N=4194304
aten_hardswish_backward,216.736,N=4194304
aten_host_softmax_backward_cpu,213.920,R=65536_K=64
aten_host_softmax_cpu,215.392,K=2896_R=1448
aten_hypot,304.704,N=4194304
aten_layer_norm,730.400,N=4194304
aten_layer_norm_backward_cpu,731.680,D=4096_B=1024
aten_layer_norm_cpu_backend,152.416,D=4096_B=1024
aten_leaky_relu,216.832,N=4194304
aten_log,213.632,N=4194304
aten_logaddexp,301.216,N=4194304
aten_logaddexp2,302.528,N=4194304
aten_mish,213.152,N=4194304
aten_mish_backward,213.376,N=4194304
aten_mse_loss,432.480,N=4194304
aten_mul,302.240,N=4194304
aten_neg,212.992,N=4194304
aten_nested_softmax_backward_cpu,213.600,B=65536_N=64
aten_nested_sum_backward_cpu,141.344,N=5793_B=724
aten_norm_cpu,149.824,K=2896_R=1448
aten_pow,304.768,N=4194304
aten_pow_tensor_scalar,303.904,N=4194304
aten_reciprocal,213.216,N=4194304
aten_relu,216.576,N=4194304
aten_rms_norm,564.992,N=4194304
aten_rsqrt,212.512,N=4194304
aten_sigmoid,212.320,N=4194304
aten_sigmoid_backward,211.552,N=4194304
aten_silu,213.184,N=4194304
aten_silu_backward,212.672,N=4194304
aten_silu_cpu,214.016,N=4194304
aten_sin,212.896,N=4194304
aten_sinh,212.800,N=4194304
aten_softmax,212.864,N=4194304
aten_softplus,394.560,N=8388608
aten_softplus_backward,212.864,N=4194304
aten_sort_cpu,370.784,K=4096_R=1024
aten_sparse_add_values_cpu,299.904,N=4194304
aten_sparse_addmm_cpu,3422.848,N=18919_R=2365_C=1774
aten_sparse_coo_softmax_backward_cpu,211.360,R=524288_K=8
aten_sparse_csr_reduce_all_cpu,194.400,N=4194304
aten_sparse_mul_cpu,303.360,N=4194304
aten_sparse_sum_cpu,140.800,N=4194304
aten_sqrt,211.776,N=4194304
aten_square,214.272,N=4194304
aten_tan,212.544,N=4194304
aten_tanh,212.160,N=4194304
aten_tanh_backward,211.904,N=4194304
aten_topk_cpu,217.024,K=4096_TOP=512_R=1024
aten_vector_norm_out_cpu,151.392,R=1448_C=2896
aten_weight_norm_backward_cpu,152.224,S=4096_C=1024
