kernel,native_device_us,source,method,shape,hardware,date
aten_adaptive_avg_pool2d,457.568,aten/src/ATen/native/cuda/AdaptiveAveragePooling.cu:adaptive_average_pool,lifted_verbatim_nvcc_sm87,B32C64_64to4,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_avg_pool2d,323.456,aten/src/ATen/native/cuda/AveragePool2d.cu:avg_pool2d_out_cuda_frame,lifted_verbatim_nvcc_sm87,B32C64H64W64_K2S2,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_max_pool2d,337.792,aten/src/ATen/native/cuda/DilatedMaxPool2d.cu:max_pool_forward_nchw,lifted_verbatim_nvcc_sm87,B32C64H64W64_K2S2,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_upsample_nearest2d,1325.984,aten/src/ATen/native/cuda/UpSampleNearest2d.cu:upsample_nearest2d_out_frame,lifted_verbatim_nvcc_sm87,nc2048_32to64,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_upsample_bilinear2d,,aten/src/ATen/native/cuda/UpSampleBilinear2d.cu:upsample_bilinear2d_out_frame,needs-aten-accessor-scaffolding,,,2026-08-28
aten_adaptive_max_pool2d,529.408,aten/src/ATen/native/cuda/AdaptiveMaxPooling2d.cu:adaptivemaxpool,lifted_verbatim_nvcc_sm87,B32C64_64to4,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_replication_pad2d,,aten/src/ATen/native/cuda/ReplicationPadding.cu:replication_pad_forward_kernel2d,needs-aten-accessor-scaffolding,,,2026-08-28
aten_reflection_pad1d,434.144,aten/src/ATen/native/cuda/ReflectionPad.cu:reflection_pad1d_flat,lifted_verbatim_nvcc_sm87,planes32768_w128_pad2,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_avg_pool3d,,aten/src/ATen/native/cuda/AveragePool3d.cu:avg_pool3d_cuda_update_output,needs-aten-accessor-scaffolding,,,2026-08-28
aten_max_pool3d,19.680,aten/src/ATen/native/cuda/DilatedMaxPool3d.cu:max_pool3d_with_indices_single_out_frame,lifted_verbatim_nvcc_sm87,B2C16_16to8_K2S2,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_im2col,43.008,aten/src/ATen/native/cuda/im2col.cuh:im2col_kernel,lifted_verbatim_nvcc_sm87,C32H64W64K3,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_col2im,124.256,aten/src/ATen/native/cuda/im2col.cuh:col2im_kernel,lifted_verbatim_nvcc_sm87,C32H64W64K3,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_max_unpool2d,518.720,aten/src/ATen/native/cuda/MaxUnpooling.cu:max_unpooling2d_forward_kernel,lifted_verbatim_nvcc_sm87,B32C64_32to64,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_grid_sampler_2d,,aten/src/ATen/native/cuda/GridSampler.cu:grid_sampler_2d_kernel,needs-aten-tensorinfo-scaffolding,,,2026-08-28
aten_nll_loss,,aten/src/ATen/native/cuda/Loss.cu:nll_loss_forward_no_reduce_cuda_kernel,needs-aten-accessor-scaffolding,,,2026-08-28
aten_embedding_renorm,793.408,aten/src/ATen/native/cuda/Embedding.cu:renorm_kernel,lifted_verbatim_nvcc_sm87,nw32768_dim128,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_searchsorted,548.224,aten/src/ATen/native/cuda/Bucketization.cu:searchsorted_cuda_kernel,lifted_verbatim_nvcc_sm87,numel4194304_bd1024,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_multi_margin_loss,478.080,aten/src/ATen/native/cuda/MultiMarginLoss.cu:MultiMarginLoss_forward_kernel,lifted_verbatim_nvcc_sm87,nframe32768_dim128,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_glu,,aten/src/ATen/native/cuda/ActivationGluKernel.cu,not-obtainable-tensoriterator-codegen,,,2026-08-28
aten_multilabel_margin_loss,141.056,aten/src/ATen/native/cuda/MultiLabelMarginCriterion.cu:multilabel_margin_loss_forward_kernel,lifted_verbatim_nvcc_sm87,nframe8192_dim128,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_upsample_nearest1d,6106.304,aten/src/ATen/native/cuda/UpSampleNearest1d.cu:upsample_nearest1d_out_frame,lifted_verbatim_nvcc_sm87_defaultblock256,dimb32_dimc2048_1024to2048,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_upsample_nearest3d,468.288,aten/src/ATen/native/cuda/UpSampleNearest3d.cu:upsample_nearest3d_out_frame,lifted_verbatim_nvcc_sm87_defaultblock256,dimb4_dimc64_16to32,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_replication_pad1d,,aten/src/ATen/native/cuda/ReplicationPadding.cu:replication_pad_forward_kernel1d,needs-aten-accessor-scaffolding,,,2026-08-28
aten_fractional_max_pool2d,,aten/src/ATen/native/cuda/FractionalMaxPool2d.cu:fractional_max_pool2d_out_cuda_frame,needs-aten-accessor-scaffolding,,,2026-08-28
