kernel,resident_us,warm_us,device_speedup,shape,errors,hardware,date,timing,process_runs,warmups,correctness_scope
aten_abs,1592.416016,1639.644727,1.029659,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_acos,1210.368164,1285.139111,1.061775,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_acosh,1286.720215,1333.196680,1.036120,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_adaptive_avg_pool2d,692.063965,5550.403223,8.020073,B=4_C=32_H=256_W=256_OH=128_OW=128,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_adaptive_avg_pool3d,51.360352,62.489551,1.216689,B=2_C=3_D=8_H=8_W=8,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_add,307.616211,479.846387,1.559887,B=11_C=46_H=92_W=92,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_add_clamp,857.696289,1744.729590,2.034204,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_addcdiv,1138.720,8659.930,7.605,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_addcmul,1144.448,8688.554,7.592,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_addmm,8199.967773,11630.745605,1.418389,M=512_N=512_K=512,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_allany_dims_cpu,7182.464001,16174.080000,2.251885,R=131072_C=64,0,Jetson_AGX_Orin_sm87_CUDA12.6_CUB,2026-09-06,,,,
aten_angle_complex_scalarized,899.520,6699.270,7.448,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_angle_real,825.920,4902.006,5.935,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_argmax_cpu,3650.368164,10703.974512,2.932300,R=131072_K=64,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_argmin_cpu,3647.808105,10733.007910,2.942317,R=131072_K=64,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_as_complex_cpu,8841.600,9301.261,1.052,N=2030108,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_asin,1223.167969,1279.833545,1.046327,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_asinh,1266.751953,1323.180859,1.044546,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_atan,1248.160156,1292.412793,1.035454,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_atan2,900.384,6719.187,7.463,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_atanh,1248.640137,1305.280029,1.045361,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_avg_pool2d,52.448242,60.438428,1.152344,B=2_C=4_H=16_W=16,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_avg_pool2d_backward_cpu,153.375977,165.475146,1.078886,B=1_C=2_I0=6_I1=7,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_avg_pool3d,51.520020,61.820801,1.199937,B=2_C=3_D=8_H=8_W=8,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_avg_pool3d_backward_cpu,212.224121,230.723291,1.087168,B=1_C=2_I0=6_I1=7_I2=8,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_batch_norm,262.591797,245.504004,0.934926,B=11_C=46_H=92_W=92,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_batch_norm_cpu_entry,633.120,4686.989,7.403,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_batch_norm_transform_cpu,449.503906,451.987158,1.005524,N=32_C=64_H=64_W=64,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_blas_axpy_cpu,510.624023,514.931201,1.008435,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_blas_copy_cpu,203.616,1730.698,8.500,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_blas_scale_cpu,232.127930,238.611035,1.027929,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_cat_serial_cpu,230.335938,1757.651172,7.630816,K=3096_M=581_R=774,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_cauchy_cpu,2995.936035,2631.430420,0.878333,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_ceil,1240.416016,1303.660742,1.050987,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_channel_shuffle,1347.552,1382.368,1.026,B=14_CPG=28_G=14_H=28_W=28,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_channel_shuffle_cpu,1363.776,1500.534,1.100,B=17_CPG=26_G=35_S=284,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_clamp,633.024,4704.394,7.432,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_clamp_cpu,1136.416,8575.011,7.546,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_clamp_max_scalar_cpu,635.872,4652.237,7.316,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_clamp_min_scalar_cpu,617.472,4667.053,7.558,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_clamp_scalar_cpu,629.568,4672.333,7.421,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_complex_scalarized,406.496,3495.082,8.598,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_compressed_block_convert_cpu,2047.680000,2071.513601,1.011639,R=2048_C=2048_BR=4_BC=4,0,Jetson_AGX_Orin_sm87_CUDA12.6_cuTENSOR,2026-09-06,,,,
aten_conj_complex_scalarized,1574.208,3648.413,2.318,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_conv1d,4695.424,7427.430,1.582,B=32_IC=64_OC=128_W=4096_K=3,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_conv2d,551.072266,554.278320,1.005818,B=4_IC=16_OC=32_H=128_W=128_KH=3_KW=3,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_conv2d_columns_cpu,1297.856,1405.213,1.083,C=11_H=61_K=11_W=61,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_conv_tbc_backward_cpu,9329.472168,12789.993555,1.370924,T=4094_B=16_I=32_O=64_K=3,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,1,5,device_pointer_output_vs_C_reference
aten_conv_tbc_cpu,1350.592285,1415.993652,1.048424,T=4096_B=16_I=32_O=64_K=3,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,1,5,device_pointer_output_vs_C_reference
aten_conv_transpose2d,501.023926,512.576025,1.023057,B=2_IC=16_OC=32_H=128_W=128_K=3,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_conv_transpose3d_cpu,1690.560059,31599.865625,18.691951,C=8_O=16_D=32_H=32_W=32_K=3,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,1,5,device_pointer_output_vs_C_reference
aten_conv_transpose3d_grad_weight_cpu,3112.479980,3643.302344,1.170546,C=8_O=16_D=32_H=32_W=32_K=3,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,1,5,device_pointer_output_vs_C_reference
aten_convert_coo_to_csr_cpu,963.743999,993.958400,1.031351,N=4194304_R=65536,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06,,,,
aten_convert_csr_to_coo_cpu,856.863998,1282.480000,1.496714,N=4194304_R=65536,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06,,,,
aten_copy_cpu,206.144,1741.664,8.449,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_copy_tensor_array_cpu,207.552,1756.870,8.465,N=8192_B=512,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_cos,1256.416016,1309.881592,1.042554,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_cosh,1209.728027,1267.756836,1.047968,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_cross,47958.400,92580.345,1.930,N=1398101,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_cross_cpu_backend,47947.808,92465.955,1.928,V=1398101,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_cumprod_cpu,4850.496094,9658.358398,1.991210,K=2897_R=1448,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_depthwise_conv3x3_cpu,1603.680176,2206.441602,1.375861,B=2_C=64_H=256_W=256,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,1,5,device_pointer_output_vs_C_reference
aten_diff_cpu,6678.464001,27680.828801,4.144786,N=16777216,0,Jetson_AGX_Orin_sm87_CUDA12.6_CUB,2026-09-06,,,,
aten_dilated_convolution_cpu,413.536,439.472,1.063,C=16_O=32_H=128_W=128_K=3_D=2,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_dirichlet_grad_cpu,1156.832031,2297.999951,1.986459,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_div,854.240234,1736.460889,2.032755,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_dropout_feature_noise_cpu,452.608,458.602,1.013,B=32_C=64_H=64_W=64,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_elu,618.848145,1219.312012,1.970293,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_elu_backward,857.343750,1737.577539,2.026699,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_embedding_bag_counts_cpu,4233.151855,16936.956787,4.001027,N=16777216_E=65536,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,1,5,device_pointer_output_vs_C_reference
aten_erf,623.231934,1217.638428,1.953748,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_erfc,623.904297,1216.556836,1.949909,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_exp,1217.823730,1466.838379,1.204475,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_exp2,621.312012,1215.286426,1.956000,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_expm1,632.608,4677.162,7.393,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_exponential_cpu,3172.031738,2815.087988,0.887472,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_flatten_nd_linear_cpu,1115.488,1157.059,1.037,N=242_K=323_B=81_M=161,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_floor,1236.704102,1297.519971,1.049176,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_fmax,881.728,6654.192,7.547,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_fmin,887.904,6682.522,7.526,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_fmod,949.280,6791.219,7.154,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_frac,636.447754,1253.087988,1.968878,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_gamma_transform_cpu,3251.135742,2701.516895,0.830946,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
