kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state
aten_shrink_backward,7,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,0685394b0abd4c38,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_sigmoid,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,3aa4c7f67607ce07,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_sigmoid_backward,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,1ea31fde0432d020,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_silu,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,71d6c728c03d169b,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_silu_backward,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,0f3ebf276e2d7c0b,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_silu_cpu,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,1fff634b60e4f382,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_sin,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,c33c39c26b3496c2,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_sinh,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,4314829041c59873,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_smooth_l1_backward,7,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,50c63ccf860d2434,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_smooth_l1_elementwise,7,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,be81f2aea77eb181,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_softplus,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=8388608,f32,57b1e51c04e2b589,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_softplus_backward,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,77ddf49c10f48c36,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_softshrink,7,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,586089c4ed5789f9,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_sparse_add_values_cpu,7,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_STAGE,N=4194304,f32,292b2dfa977dd624,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_sparse_addmm_cpu,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,R=64_C=4096_N=4096,f32,af6a5bc645cf7bab,torch_recipe,torch_recipe,polygeist_resident,PENDING,PENDING
aten_sparse_coo_to_csr_cpu,7,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304_R=65536,i32,4cda79027c69d4df,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_sparse_csr_addmm_cpu,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,R=65536_K=65536_C=64_N=4194304,f32,ceb60fb7c03704d8,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_sparse_mul_cpu,7,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_STAGE,N=4194304,f32,cc84c109e16c002e,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_sparse_norm_cpu,7,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=2097152,f32,2ed1a182be1a2c6b,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_sqrt,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,0cede42120fd1ffe,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_square,7,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,d6e39dc56b180446,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_stack_serial_cpu,7,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,K=405_R=203_T=51,f32,b4586baaae66626e,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
