kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state,cpu_samples,cpu_median_us,cpu_errors,native_gpu_samples,native_gpu_median_us,native_gpu_errors,raised_samples,raised_median_us,raised_errors,three_way_status
aten_abs,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,6f2fbd84283a7177,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"1760.832,1718.272,1832.864,1757.312,1777.344",1760.832000,,"231.264000,230.720000,223.296000,225.344000,224.416000",225.344000,0,"1668.544006,1711.647995,1670.751999,1684.543991,1746.048004",1684.543991,0,PENDING
aten_acos,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,85bb3f1c3c6b8549,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"24511.424,24503.424,24465.536,24569.408,24514.144",24511.424000,,"228.032000,229.056000,224.512000,227.072000,223.648000",227.072000,0,"1286.688004,1307.871994,1288.223999,1266.176010,1291.519989",1288.223999,0,PENDING
aten_acosh,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,ed8691f0d04228f3,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"56507.680,56385.152,56416.224,56474.656,56438.304",56438.304000,,"228.000000,229.216000,226.240000,225.568000,222.592000",226.240000,0,"1366.815994,1407.520004,1365.087997,1342.431992,1370.239990",1366.815994,0,PENDING
aten_adaptive_avg_pool2d,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=4_C=32_H=256_W=256_OH=128_OW=128,f32,1a91e610dab8183b,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"19438.976,19250.336,19267.040,19141.280,19072.000",19250.336000,,"395.744000,398.336000,397.504000,398.112000,397.376000",397.504000,0,,,,PENDING
aten_adaptive_avg_pool3d,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=2_C=3_D=8_H=8_W=8,f32,b3c8e383067677ef,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"19.712,19.104,17.952,17.696,17.344",17.952000,,"47.040000,47.904000,49.216000,50.944000,50.880000",49.216000,0,,,,PENDING
aten_add,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=11_C=46_H=92_W=92,f32,3f848f6bbc668548,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3242.208,3214.272,3152.320,3156.704,3269.376",3214.272000,,"326.848000,322.080000,318.944000,321.760000,317.408000",321.760000,0,"320.447998,318.080002,321.791992,319.520004,317.344009",319.520004,0,PENDING
aten_add_clamp,1,WHOLE_AND_EXACT_REGION,EXACT_MATERIALIZED_COMPOSITION,N=4194304,f32,e6061ef1e74be3cd,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"18129.568000,18118.048000,18110.400000,18098.720000,18082.528000",18110.400000,0,"494.048000,495.584000,493.312000,493.088000,497.440000",494.048000,0,"887.328003,887.136002,883.711990,884.832001,897.311996",887.136002,0,PENDING
aten_addcdiv,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,edb482d5b31abdc6,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"4547.872,4538.528,4629.472,4567.872,4554.720",4554.720000,,"405.312000,406.496000,403.776000,401.152000,403.808000",403.808000,0,"1140.064011,1140.959991,1144.160004,1141.311996,1138.528000",1140.959991,0,PENDING
aten_addcmul,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,28105c017f81cc7d,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"4517.888,4502.496,4573.024,4500.832,4525.440",4517.888000,,"403.872000,409.440000,405.376000,403.136000,402.720000",403.872000,0,"1142.463989,1144.511993,1147.040009,1143.839996,1142.079987",1143.839996,0,PENDING
aten_addmm,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,M=512_N=512_K=512,f64,ffd39b2736a01291,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"16889.280,16870.304,16854.688,16826.720,16882.912",16870.304000,,"3854.272000,3846.304000,3849.824000,3844.800000,3853.408000",3849.824000,0,,,,PENDING
