kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_abs,5919.099,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_abs torch_cpu_us=5919.099 timing=sync_wall shape='N=4194304'
aten_acos,4353.754,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_acos torch_cpu_us=4353.754 timing=sync_wall shape='N=4194304'
aten_acosh,16353.090,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_acosh torch_cpu_us=16353.090 timing=sync_wall shape='N=4194304'
aten_adaptive_avg_pool2d,15926.871,PASS,torch_cpu_us,sync_wall,B=4_C=32_H=256_W=256_OH=128_OW=128,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_adaptive_avg_pool2d torch_cpu_us=15926.871 timing=sync_wall shape='B=4_C=32_H=256_W=256_OH=128_OW=128'
aten_adaptive_avg_pool2d_backward_cpu,3541.137,PASS,torch_cpu_us,sync_wall,B=1_C=2_I0=6_O0=3_I1=7_O1=3,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_adaptive_avg_pool2d_backward_cpu torch_cpu_us=3541.137 timing=sync_wall shape='B=1_C=2_I0=6_O0=3_I1=7_O1=3'
aten_adaptive_avg_pool3d,5485.287,PASS,torch_cpu_us,sync_wall,B=2_C=3_D=8_H=8_W=8,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_adaptive_avg_pool3d torch_cpu_us=5485.287 timing=sync_wall shape='B=2_C=3_D=8_H=8_W=8'
aten_adaptive_avg_pool3d_backward_cpu,4937.821,PASS,torch_cpu_us,sync_wall,B=1_C=2_I0=6_O0=3_I1=7_O1=3_I2=8_O2=3,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_adaptive_avg_pool3d_backward_cpu torch_cpu_us=4937.821 timing=sync_wall shape='B=1_C=2_I0=6_O0=3_I1=7_O1=3_I2=8_O2=3'
aten_adaptive_max_pool2d_backward_cpu,3595.551,PASS,torch_cpu_us,sync_wall,B=1_C=2_I0=6_O0=3_I1=7_O1=3,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_adaptive_max_pool2d_backward_cpu torch_cpu_us=3595.551 timing=sync_wall shape='B=1_C=2_I0=6_O0=3_I1=7_O1=3'
aten_add,5611.090,PASS,torch_cpu_us,sync_wall,B=11_C=46_H=92_W=92,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_add torch_cpu_us=5611.090 timing=sync_wall shape='B=11_C=46_H=92_W=92'
aten_add_clamp,13958.553,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_add_clamp torch_cpu_us=13958.553 timing=sync_wall shape='N=4194304'
