kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_abs,432.096,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_abs torch_cpu_us=432.096 timing=sync_wall shape='N=4194304'
aten_acos,2139.680,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_acos torch_cpu_us=2139.680 timing=sync_wall shape='N=4194304'
aten_acosh,4923.840,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_acosh torch_cpu_us=4923.840 timing=sync_wall shape='N=4194304'
aten_adaptive_avg_pool2d,1655.872,PASS,torch_cpu_us,sync_wall,B=4_C=32_H=256_W=256_OH=128_OW=128,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_adaptive_avg_pool2d torch_cpu_us=1655.872 timing=sync_wall shape='B=4_C=32_H=256_W=256_OH=128_OW=128'
aten_adaptive_avg_pool2d_backward_cpu,20.160,PASS,torch_cpu_us,sync_wall,B=1_C=2_I0=6_O0=3_I1=7_O1=3,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_adaptive_avg_pool2d_backward_cpu torch_cpu_us=20.160 timing=sync_wall shape='B=1_C=2_I0=6_O0=3_I1=7_O1=3'
aten_adaptive_avg_pool3d,22.592,PASS,torch_cpu_us,sync_wall,B=2_C=3_D=8_H=8_W=8,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_adaptive_avg_pool3d torch_cpu_us=22.592 timing=sync_wall shape='B=2_C=3_D=8_H=8_W=8'
aten_adaptive_avg_pool3d_backward_cpu,20.832,PASS,torch_cpu_us,sync_wall,B=1_C=2_I0=6_O0=3_I1=7_O1=3_I2=8_O2=3,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_adaptive_avg_pool3d_backward_cpu torch_cpu_us=20.832 timing=sync_wall shape='B=1_C=2_I0=6_O0=3_I1=7_O1=3_I2=8_O2=3'
aten_adaptive_max_pool2d_backward_cpu,20.672,PASS,torch_cpu_us,sync_wall,B=1_C=2_I0=6_O0=3_I1=7_O1=3,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_adaptive_max_pool2d_backward_cpu torch_cpu_us=20.672 timing=sync_wall shape='B=1_C=2_I0=6_O0=3_I1=7_O1=3'
aten_add,695.680,PASS,torch_cpu_us,sync_wall,B=11_C=46_H=92_W=92,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_add torch_cpu_us=695.680 timing=sync_wall shape='B=11_C=46_H=92_W=92'
aten_add_clamp,1209.952,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_add_clamp torch_cpu_us=1209.952 timing=sync_wall shape='N=4194304'
aten_addcdiv,1008.544,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_addcdiv torch_cpu_us=1008.544 timing=sync_wall shape='N=4194304'
aten_addcmul,1037.312,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_addcmul torch_cpu_us=1037.312 timing=sync_wall shape='N=4194304'
aten_addmm,1640.864,PASS,torch_cpu_us,sync_wall,M=512_N=512_K=512,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_addmm torch_cpu_us=1640.864 timing=sync_wall shape='M=512_N=512_K=512'
aten_addr_elementwise,2104.768,PASS,torch_cpu_us,sync_wall,N=8388608,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_addr_elementwise torch_cpu_us=2104.768 timing=sync_wall shape='N=8388608'
aten_allany_dims_cpu,,SKIP,torch_cpu_us,unspecified,R=131072_C=64,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_allany_dims_cpu torch_cpu_us=SKIP err=build:AttributeError:'NoneType' object has no attribute 'startswith' shape='R=131072_C=64'
aten_aminmax_allreduce_cpu,214.944,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_aminmax_allreduce_cpu torch_cpu_us=214.944 timing=sync_wall shape='N=4194304'
aten_aminmax_cpu,194.944,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_aminmax_cpu torch_cpu_us=194.944 timing=sync_wall shape='N=4194304'
aten_and_reduce_cpu,,SKIP,torch_cpu_us,unspecified,R=131072_K=64,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_and_reduce_cpu torch_cpu_us=SKIP err=build:AttributeError:'NoneType' object has no attribute 'startswith' shape='R=131072_K=64'
aten_angle_complex_scalarized,12068.064,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_angle_complex_scalarized torch_cpu_us=12068.064 timing=sync_wall shape='N=4194304'
aten_angle_real,4373.216,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_angle_real torch_cpu_us=4373.216 timing=sync_wall shape='N=4194304'
aten_argmax_cpu,3277.600,PASS,torch_cpu_us,sync_wall,R=131072_K=64,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_argmax_cpu torch_cpu_us=3277.600 timing=sync_wall shape='R=131072_K=64'
aten_argmin_cpu,3280.416,PASS,torch_cpu_us,sync_wall,R=131072_K=64,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_argmin_cpu torch_cpu_us=3280.416 timing=sync_wall shape='R=131072_K=64'
aten_as_complex_cpu,419.072,PASS,torch_cpu_us,sync_wall,N=2097151,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_as_complex_cpu torch_cpu_us=419.072 timing=sync_wall shape='N=2097151'
aten_asin,1845.984,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_asin torch_cpu_us=1845.984 timing=sync_wall shape='N=4194304'
aten_asinh,10199.264,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_asinh torch_cpu_us=10199.264 timing=sync_wall shape='N=4194304'
aten_atan,2601.600,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_atan torch_cpu_us=2601.600 timing=sync_wall shape='N=4194304'
aten_atan2,3465.440,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_atan2 torch_cpu_us=3465.440 timing=sync_wall shape='N=4194304'
aten_atanh,3309.568,PASS,torch_cpu_us,sync_wall,N=4194304,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_atanh torch_cpu_us=3309.568 timing=sync_wall shape='N=4194304'
aten_avg_pool2d,13.760,PASS,torch_cpu_us,sync_wall,B=2_C=4_H=16_W=16,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_avg_pool2d torch_cpu_us=13.760 timing=sync_wall shape='B=2_C=4_H=16_W=16'
aten_avg_pool2d_backward_cpu,30.240,PASS,torch_cpu_us,sync_wall,B=1_C=2_I0=6_I1=7,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_avg_pool2d_backward_cpu torch_cpu_us=30.240 timing=sync_wall shape='B=1_C=2_I0=6_I1=7'
aten_avg_pool3d,13.568,PASS,torch_cpu_us,sync_wall,B=2_C=3_D=8_H=8_W=8,Jetson_AGX_Orin_CPU_12_threads,torch_2.8.0+cpu,2026-09-07,kernel=aten_avg_pool3d torch_cpu_us=13.568 timing=sync_wall shape='B=2_C=3_D=8_H=8_W=8'
