kernel,native_device_us,source,method,shape,hardware,date
aten_abs,389.216,torch.abs shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_acos,383.040,torch.acos shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_acosh,751.424,torch.acosh shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608 positive-domain,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_asin,381.760,torch.asin shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_asinh,382.560,torch.asinh shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_atan,381.728,torch.atan shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_atanh,382.656,torch.atanh shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608 unit-domain,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_ceil,384.448,torch.ceil shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_cos,382.912,torch.cos shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_cosh,385.024,torch.cosh shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_erf,204.448,torch.erf shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_erfc,203.520,torch.erfc shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_erfinv,205.312,torch.erfinv (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_exp,377.568,torch.exp shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_exp2,203.296,torch.exp2 shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_expm1,208.192,torch.expm1 (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_floor,380.832,torch.floor shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_frac,203.232,torch.frac shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_log,384.224,torch.log shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=8388608 positive-domain,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_log10,206.880,torch.log10 (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_log1p,206.496,torch.log1p (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
