id,kernel,native_us,raised_us,raised_over_native,speedup_percent,semantic_family,raised_library,raised_call,timing_source,timing_protocol
1,aten_avg_pool2d,22.816,49.087997,2.1514725192847126,-53.520205764354166,pooling,cuDNN Resample,cudnnAvgPoolWindow_f32,current Section 4.2 campaign,minimum of 5 after 5 warmups
2,aten_avg_pool3d,56.768,51.52002,0.9075539036076663,10.18629262954478,pooling,cuDNN Resample,cudnnAveragePool_f32_r5,historical resident sweep,raised best of 20; retained native baseline
3,aten_adaptive_avg_pool3d,66.144,51.360352,0.7764929850024189,28.784164096071628,adaptive_pooling,cuDNN Resample,cudnnAveragePool_f32_r5,historical resident sweep,raised best of 20; retained native baseline
4,aten_conv_transpose3d_backward_cpu,88.384,127.104004,1.438088387038378,-30.463244887234243,convolution,cuDNN,cudnnConvolution3D_f32,current Section 4.2 campaign,minimum of 5 after 5 warmups
5,aten_avg_pool2d_backward_cpu,92.64,153.375977,1.655612877806563,-39.59940675716119,pooling,cuDNN Resample,cudnnAveragePool_f32_flat2,historical resident sweep,raised best of 20; retained native baseline
6,aten_narrow_copy_dense_cpu,93.024,86.815994,0.9332644693842449,7.150763026453388,tensor_permutation,cuTENSOR,cudaCopy2D_f32_tensor,current Section 4.2 campaign,minimum of 5 after 5 warmups
7,aten_mm,103.904,8403.584,80.87834924545736,-98.76357516031256,dense_linear_algebra,cuBLAS,"cublasDgemm_simple,memset_zero_2D",historical resident sweep,raised best of 20; retained native baseline
8,aten_sparse_norm_cpu,112.576,108.959961,0.9678791305429222,3.318686026328499,euclidean_norm,cuBLAS,cublasSnrm2_f32_memref,historical resident sweep,raised best of 20; retained native baseline
9,aten_int_mm_out_cpu,116.704,147.872,1.2670688236907048,-21.07768881194548,dense_linear_algebra,cuBLAS,cublasGemmEx_i8_i32_tensor,historical resident sweep,raised best of 20; retained native baseline
10,aten_avg_pool3d_backward_cpu,120.512,212.224121,1.7610206535448751,-43.21474890217593,pooling,cuDNN Resample,cudnnAveragePool_f32_flat2,historical resident sweep,raised best of 20; retained native baseline
11,aten_zeros_cpu,130.496,115.231995,0.8830308591834232,13.246325380377222,tensor_initialization,CUDA Runtime,memset_zero_1D_f32,current Section 4.2 campaign,minimum of 5 after 5 warmups
12,aten_addmm,134.272,8199.967773,61.06982671740944,-98.36253014990966,dense_linear_algebra,cuBLAS,cublasDgemm,historical resident sweep,raised best of 20; retained native baseline
13,aten_or_reduce_cpu,154.848,171.040009,1.1045671174312874,-9.46679615761713,reduction,CUB,cubSegmentedLogicalOr_i32,current Section 4.2 campaign,minimum of 5 after 5 warmups
14,aten_dilated_convolution_cpu,175.552,193.152008,1.1002552406124682,-9.111998462889392,convolution,cuDNN,cudnnConvolution2D_f32_dilated,current Section 4.2 campaign,minimum of 5 after 5 warmups
