kernel	status	linalg_ops	residual_loops	kernel_launches	matched_symbols
aten_abs	pass	1	0	1	cutensorUnary_abs_f32
aten_acos	pass	1	0	1	cutensorUnary_acos_f32
aten_acosh	pass	1	0	1	cutensorUnary_acosh_f32
aten_adaptive_avg_pool2d	pass	2	0	1	cudnnAvgPoolWindow_f32
aten_adaptive_avg_pool2d_backward_cpu	pass	1	5	1	memset_zero_1D_f32
aten_adaptive_avg_pool2d_cpu	pass	1	5	0	-
aten_adaptive_avg_pool3d	pass	2	0	1	cudnnAveragePool_f32_r5
aten_adaptive_avg_pool3d_backward_cpu	pass	1	7	1	memset_zero_1D_f32
aten_adaptive_avg_pool3d_cpu	pass	0	7	0	-
aten_adaptive_max_pool1d_cpu	pass	0	3	0	-
aten_adaptive_max_pool2d_backward_cpu	pass	1	3	1	memset_zero_1D_f32
aten_adaptive_max_pool2d_cpu	pass	0	5	0	-
aten_adaptive_max_pool3d_backward_cpu	pass	1	4	1	memset_zero_1D_f32
aten_adaptive_max_pool3d_cpu	pass	0	7	0	-
aten_adaptive_max_pool3d_legacy_backward_cpu	pass	0	5	0	-
aten_adaptive_max_pool3d_legacy_cpu	pass	0	7	0	-
aten_add	pass	1	0	1	cudnnAddTensor_batched
aten_add_clamp	pass	1	0	1	cudnnPointwiseGraph_f32
aten_addcdiv	pass	1	0	1	cudnnPointwiseGraph_f32
aten_addcmul	pass	1	0	1	cudnnPointwiseGraph_f32
aten_addmm	pass	2	0	1	cublasDgemm
aten_addr_elementwise	pass	1	0	1	cudnnAddrElementwise_f32_memref
aten_airy_ai	pass	1	0	0	-
aten_allany_dims_cpu	pass	2	0	1	cubSegmentedLogicalSelect_i32_memref
aten_aminmax_allreduce_cpu	pass	1	0	1	cudnnReduceMinMax_f32
aten_aminmax_cpu	pass	2	0	2	cudnnReduceMax_f32,cudnnReduceMin_f32
aten_amp_update_scale_cpu	pass	0	0	0	-
aten_and_reduce_cpu	pass	2	0	1	cubSegmentedLogicalAnd_i32_memref
aten_angle_complex_scalarized	pass	1	0	1	cudnnPointwiseGraph_f32
aten_angle_real	pass	1	0	1	cudnnPointwiseGraph_f32
aten_arange_cpu	pass	1	0	0	-
aten_argmax_cpu	pass	4	0	1	cubSegmentedArgMax_f32_i32_memref
aten_argmin_cpu	pass	4	0	1	cubSegmentedArgMin_f32_i32_memref
aten_as_complex_cpu	pass	2	0	2	cudaCopy1D_f32_tensor
aten_asin	pass	1	0	1	cutensorUnary_asin_f32
aten_asinh	pass	1	0	1	cutensorUnary_asinh_f32
aten_atan	pass	1	0	1	cutensorUnary_atan_f32
aten_atan2	pass	1	0	1	cudnnPointwiseGraph_f32
aten_atanh	pass	1	0	1	cutensorUnary_atanh_f32
aten_avg_pool2d	pass	2	0	1	cudnnAvgPoolWindow_f32
aten_avg_pool2d_backward_cpu	pass	2	0	1	cudnnAveragePool_f32_flat2
aten_avg_pool2d_cpu	pass	4	4	0	-
aten_avg_pool3d	pass	2	0	1	cudnnAveragePool_f32_r5
aten_avg_pool3d_backward_cpu	pass	2	0	1	cudnnAveragePool_f32_flat2
aten_avg_pool3d_cpu	pass	4	6	0	-
aten_batch_norm	pass	1	0	1	cudnnBatchNormalizationForwardInference
aten_batch_norm_backward_cpu	pass	2	2	0	-
aten_batch_norm_backward_template_cpu	pass	4	3	0	-
aten_batch_norm_collect_stats_cpu	pass	2	1	0	-
aten_batch_norm_cpu_entry	pass	1	0	1	cudnnPointwiseGraph_f32
aten_batch_norm_stats_cpu	pass	2	1	0	-
aten_batch_norm_transform_cpu	pass	1	0	1	cudnnBatchNormalizationForwardInference
aten_bernoulli_scalar_cpu	pass	1	0	0	-
aten_bernoulli_tensor_cpu	pass	1	0	0	-
aten_bessel_j0	pass	1	0	0	-
aten_bessel_j1	pass	1	0	0	-
aten_bessel_y0	pass	1	0	0	-
aten_bessel_y1	pass	1	0	0	-
aten_bf16_dot_cpu	pass	1	0	1	cublasSdot_memref
aten_bf16_gemv_trans_cpu	pass	2	0	1	cublasSgemvTZero_memref
aten_bilinear_cpu	pass	2	0	1	cutensornetNetwork_f32_n3_aten
aten_binary_cross_entropy	pass	1	0	1	cudnnBinaryCrossEntropyMean_f32_memref
aten_binary_search_strided_rightmost_cpu	pass	0	2	0	-
aten_bincount_cpu	pass	1	1	1	memset_zero_1D_f32
aten_binomial_transform_cpu	pass	0	2	0	-
aten_bitwise_and_i32	pass	1	0	0	-
aten_bitwise_not_i32	pass	1	0	0	-
aten_bitwise_or_i32	pass	1	0	0	-
aten_bitwise_xor_i32	pass	1	0	0	-
aten_blas_axpy_cpu	pass	1	0	1	cublasSaxpby
aten_blas_copy_cpu	pass	1	0	1	cudaCopy1D_f32_tensor
aten_blas_dot_naive_cpu	pass	1	0	1	cublasSdot
aten_blas_gemv_generic_cpu	pass	2	0	2	cublasSgemv,memset_zero_1D_f32
aten_blas_scale_cpu	pass	1	0	1	cublasSscal
aten_blas_sum_cpu	pass	1	0	1	cudnnReduceSum_f32
aten_block_diag_cpu	pass	2	0	2	cutensorPermute_f32_r3_tensor,memset_zero_2D_f32
aten_bmm	pass	2	0	1	cublasSgemm_strided_batched_nn_zero
aten_cartesian_prod_cpu	pass	2	0	2	cublasBroadcastAxis0_f32,cublasBroadcastAxis1_f32
aten_cat_serial_cpu	pass	2	0	2	cudaCopy2D_f32_tensor
aten_cat_sparse_cpu	pass	2	0	1	cutensorPermute_f32_r2_tensor
aten_cauchy_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_cdist_backward_cpu	pass	3	2	1	memset_zero_2D_f32
aten_cdist_cpu	pass	3	1	1	cutensorUnary_sqrt_f32
aten_ceil	pass	1	0	1	cutensorUnary_ceil_f32
aten_channel_shuffle	pass	1	0	1	cutensorPermute_f32_r5_tensor
aten_channel_shuffle_cpu	pass	1	0	1	cutensorPermute_f32_r4_tensor
aten_chebyshev_polynomial_t	pass	1	0	0	-
aten_chebyshev_polynomial_u	pass	1	0	0	-
aten_chebyshev_polynomial_v	pass	1	0	0	-
aten_chebyshev_polynomial_w	pass	1	0	0	-
aten_circular_pad_cpu	pass	1	0	0	-
aten_clamp	pass	1	0	1	cudnnPointwiseGraph_f32
aten_clamp_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_clamp_max_scalar_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_clamp_min_scalar_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_clamp_scalar_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_coalesce_sparse_cpu	pass	0	1	0	-
aten_col2im_cpu	pass	1	0	0	-
aten_combinations_cpu	pass	0	2	0	-
aten_complex_scalarized	pass	2	0	2	cudaCopy1D_f32_tensor
aten_compressed_block_convert_cpu	pass	0	2	1	cutensorPermute_f32_r4_tensor
aten_conj_complex_scalarized	pass	2	0	2	cudaCopy1D_f32_tensor,cutensorUnary_neg_f32
aten_constant_pad_nd_cpu	pass	2	0	1	cudaCopy1D_f32_tensor
aten_conv1d	pass	2	0	1	cudnnConvolution1D_f32_bias
aten_conv2d	pass	2	0	1	cudnnConvolutionFwd_batched
aten_conv2d_columns_cpu	pass	1	0	1	cutensorPermute_f32_r5_tensor
aten_conv3d	pass	2	0	1	cudnnConvolution3D_f32_bias
aten_conv3d_columns_cpu	pass	1	0	0	-
aten_conv_tbc_backward_cpu	pass	1	0	1	cudnnConvolutionTBCBackward_f32_memref
aten_conv_tbc_cpu	pass	2	0	1	cudnnConvolutionTBC_f32_memref
aten_conv_transpose2d	pass	2	0	1	cudnnConvolutionTranspose2D_f32_memref
aten_conv_transpose3d_backward_cpu	pass	2	0	1	cudnnConvolution3D_f32
aten_conv_transpose3d_cpu	pass	1	0	1	cudnnConvolutionTranspose3D_f32_memref
aten_conv_transpose3d_grad_weight_cpu	pass	1	0	1	cudnnConvolutionBackwardFilter3D_f32_memref
aten_convert_coo_to_csr_cpu	pass	0	2	1	cusparseXcoo2csr_i32_memref
aten_convert_csr_to_coo_cpu	pass	0	2	1	cusparseXcsr2coo_i32_memref
aten_copy_cpu	pass	1	0	1	cudaCopy1D_f32_tensor
aten_copy_tensor_array_cpu	pass	1	0	1	cudaCopy2D_f32_tensor
aten_copysign	pass	1	0	0	-
aten_cos	pass	1	0	1	cutensorUnary_cos_f32
aten_cosh	pass	1	0	1	cutensorUnary_cosh_f32
aten_count_nonzero_cpu	pass	1	0	1	cubCountNonzero1D_f32_tensor
aten_count_nonzero_impl_cpu	pass	2	0	1	cubSegmentedCountNonzero2D_f32_tensor
aten_cpu_blas_gemm_batched_cpu	pass	2	0	1	cublasSgemm_strided_batched_nn_zero
aten_cpu_blas_gemm_cpu	pass	2	0	1	cublasSgemm_nn_zero
aten_cpu_blas_gemm_strided_batched_cpu	pass	2	0	1	cublasSgemm_strided_batched_nn_zero
aten_cross	pass	3	0	3	cudnnPointwiseGraph_f32
aten_cross_cpu_backend	pass	3	0	3	cudnnPointwiseGraph_f32
aten_ctc_loss_backward_cpu	pass	2	5	1	memset_zero_2D_f32
aten_ctc_loss_cpu	pass	3	4	2	cudnnPointwiseGraph_f32,cutensorUnary_exp_f32
aten_cummax_cummin_cpu	pass	3	0	1	cudaCopy1D_f32_tensor
aten_cumprod_backward_cpu	pass	2	2	1	memset_zero_1D_f32
aten_cumprod_cpu	pass	2	0	1	cubSegmentedInclusiveProduct2D_f32_tensor
aten_cumsum	pass	1	0	1	cubInclusiveSum1D_f32_tensor
aten_dense_sparse_add_cpu	pass	1	1	1	cudaCopy2D_f32_tensor
aten_depthwise_conv3x3_cpu	pass	2	0	1	cudnnDepthwiseConvolution2D_f32_memref
aten_diff_cpu	pass	1	0	1	cubAdjacentDifference_f32_memref
aten_digamma	pass	1	0	0	-
aten_dilated_convolution_cpu	pass	2	0	1	cudnnConvolution2D_f32_dilated
aten_dirichlet_grad_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_dirichlet_transform_cpu	pass	2	1	2	cudnnPointwiseGraph_f32,cudnnReduceSum_f32
aten_div	pass	1	0	1	cudnnPointwiseGraph_f32
aten_div_floor	pass	1	0	1	cudnnPointwiseGraph_f32
aten_div_trunc	pass	1	0	1	cudnnPointwiseGraph_f32
aten_dot	pass	1	0	1	cublasDdot
aten_dropout_feature_noise_cpu	pass	1	0	1	cudnnFeatureMaskScale_f32_tensor
aten_dyn_quant_matmul_4bit_cpu	pass	2	1	1	memset_zero_1D_f32
aten_dyn_quant_pack_4bit_weight_cpu	pass	1	2	1	cudnnReduceMinMax_f32
aten_eig_complex_vectors_cpu	pass	0	2	0	-
aten_elu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_elu_backward	pass	1	0	1	cudnnPointwiseGraph_f32
aten_embedding	pass	1	0	0	-
aten_embedding_bag_backward_max_cpu	pass	1	2	1	memset_zero_1D_f32
aten_embedding_bag_backward_sum_cpu	pass	1	3	1	memset_zero_1D_f32
aten_embedding_bag_counts_cpu	pass	1	1	1	cubHistogramEvenI32ShiftZero_memref
aten_embedding_bag_counts_uniq_cpu	pass	2	0	0	-
aten_embedding_bag_max_cpu	pass	0	5	0	-
aten_embedding_bag_per_sample_backward_cpu	pass	2	1	1	memset_zero_1D_f32
aten_entr	pass	1	0	0	-
aten_eq	pass	1	0	0	-
aten_equal_cpu	pass	1	0	1	cubEqualAll1D_f32_tensor
aten_erf	pass	1	0	1	cudnnPointwiseGraph_f32
aten_erfc	pass	1	0	1	cudnnPointwiseGraph_f32
aten_erfcx	pass	1	0	0	-
aten_erfinv	pass	1	0	0	-
aten_exp	pass	1	0	1	cutensorUnary_exp_f32
aten_exp2	pass	1	0	1	cudnnPointwiseGraph_f32
aten_expm1	pass	1	0	1	cudnnPointwiseGraph_f32
aten_exponential_cpu	pass	1	0	1	cudnnPointwiseGraph_f32
aten_eye_cpu	pass	1	0	0	-
aten_fast_cat_dim0_cpu	pass	1	0	1	cutensorPermute_f32_r2_tensor
aten_fft_conjugate_symmetry_cpu	pass	2	0	0	-
aten_fftshift_cpu	pass	1	0	0	-
aten_fill	pass	1	0	0	-
aten_fill_diagonal_cpu	pass	1	0	0	-
aten_flash_attention_backward_cpu	pass	5	7	0	-
aten_flash_attention_cpu	pass	4	3	2	cublasSdot,memset_zero_1D_f32
aten_flatten_indices_launch_cpu	pass	2	0	0	-
aten_flatten_nd_linear_cpu	pass	2	0	1	cublasSgemm_strided_batched_broadcast_rhs
aten_flip_cpu	pass	1	0	0	-
aten_flip_tensor_transform_cpu	pass	1	0	1	cutensorPermute_f32_r2_tensor
aten_floor	pass	1	0	1	cutensorUnary_floor_f32
aten_fmax	pass	1	0	1	cudnnPointwiseGraph_f32
aten_fmin	pass	1	0	1	cudnnPointwiseGraph_f32
aten_fmod	pass	1	0	1	cudnnPointwiseGraph_f32
aten_fp16_dot_cpu	pass	1	0	1	cublasSdot
aten_fp16_gemv_f16arith_cpu	pass	2	0	2	cublasSgemv,memset_zero_1D_f32
aten_fp16_gemv_f32arith_cpu	pass	2	0	2	cublasSgemv,memset_zero_1D_f32
