source,canonical_origin,symbol,body_index,variant,canonical_nodes,variant_nodes,iterations,timeout_s,status,proof_elapsed_ms,wall_elapsed_ms,rule_matches,detail
mlir,mlir,broadcast_scalar_to_vec,0:0,add_zero,1,3,8,5.0,match,15.048,339.836,20,
mlir,mlir,broadcast_scalar_to_vec,0:0,associate_left,1,1,8,5.0,match,13.503,336.730,0,
mlir,mlir,broadcast_scalar_to_vec,0:0,associate_right,1,1,8,5.0,match,12.822,395.953,0,
mlir,mlir,broadcast_scalar_to_vec,0:0,commute_all,1,1,8,5.0,match,13.770,338.247,0,
mlir,mlir,broadcast_scalar_to_vec,0:0,mul_one,1,3,8,5.0,match,16.479,362.437,20,
mlir,mlir,broadcast_scalar_to_vec_tensor,0:0,add_zero,1,3,8,5.0,match,14.550,331.629,20,
mlir,mlir,broadcast_scalar_to_vec_tensor,0:0,associate_left,1,1,8,5.0,match,13.230,362.186,0,
mlir,mlir,broadcast_scalar_to_vec_tensor,0:0,associate_right,1,1,8,5.0,match,13.432,365.998,0,
mlir,mlir,broadcast_scalar_to_vec_tensor,0:0,commute_all,1,1,8,5.0,match,13.945,330.028,0,
mlir,mlir,broadcast_scalar_to_vec_tensor,0:0,mul_one,1,3,8,5.0,match,14.926,331.129,20,
mlir,mlir,centered_sum_squares,0:0,add_zero,9,11,8,5.0,match,15.300,321.881,47,
mlir,mlir,centered_sum_squares,0:0,associate_left,9,9,8,5.0,match,18.434,359.009,3,
mlir,mlir,centered_sum_squares,0:0,associate_right,9,9,8,5.0,match,13.729,326.515,3,
mlir,mlir,centered_sum_squares,0:0,commute_all,9,9,8,5.0,match,16.734,344.716,4,
mlir,mlir,centered_sum_squares,0:0,mul_one,9,11,8,5.0,match,16.799,330.809,53,
mlir,mlir,cublasDaxpby,0:0,add_zero,7,9,8,5.0,match,16.325,349.246,50,
mlir,mlir,cublasDaxpby,0:0,associate_left,7,7,8,5.0,match,14.410,331.514,6,
mlir,mlir,cublasDaxpby,0:0,associate_right,7,7,8,5.0,match,18.658,403.452,6,
mlir,mlir,cublasDaxpby,0:0,commute_all,7,7,8,5.0,match,16.172,351.829,9,
mlir,mlir,cublasDaxpby,0:0,mul_one,7,9,8,5.0,match,17.651,345.127,84,
mlir,mlir,cublasDaxpy_unit,0:0,add_zero,3,5,8,5.0,match,16.910,370.363,46,
mlir,mlir,cublasDaxpy_unit,0:0,associate_left,3,3,8,5.0,match,14.616,367.683,2,
mlir,mlir,cublasDaxpy_unit,0:0,associate_right,3,3,8,5.0,match,18.929,426.037,2,
mlir,mlir,cublasDaxpy_unit,0:0,commute_all,3,3,8,5.0,match,16.941,342.628,3,
mlir,mlir,cublasDaxpy_unit,0:0,mul_one,3,5,8,5.0,match,15.331,351.384,42,
mlir,mlir,cublasDcopy,0:0,add_zero,1,3,8,5.0,match,15.190,322.073,20,
mlir,mlir,cublasDcopy,0:0,associate_left,1,1,8,5.0,match,14.680,333.807,0,
mlir,mlir,cublasDcopy,0:0,associate_right,1,1,8,5.0,match,13.208,333.179,0,
mlir,mlir,cublasDcopy,0:0,commute_all,1,1,8,5.0,match,14.312,325.204,0,
mlir,mlir,cublasDcopy,0:0,mul_one,1,3,8,5.0,match,14.388,316.263,20,
mlir,mlir,cublasDcopy_tensor,0:0,add_zero,1,3,8,5.0,match,16.414,347.286,20,
mlir,mlir,cublasDcopy_tensor,0:0,associate_left,1,1,8,5.0,match,13.939,336.666,0,
mlir,mlir,cublasDcopy_tensor,0:0,associate_right,1,1,8,5.0,match,13.482,368.988,0,
mlir,mlir,cublasDcopy_tensor,0:0,commute_all,1,1,8,5.0,match,16.285,340.913,0,
mlir,mlir,cublasDcopy_tensor,0:0,mul_one,1,3,8,5.0,match,23.315,379.817,20,
mlir,mlir,cublasDdot,0:0,add_zero,5,7,8,5.0,match,15.390,335.864,48,
mlir,mlir,cublasDdot,0:0,associate_left,5,5,8,5.0,match,14.504,360.463,4,
mlir,mlir,cublasDdot,0:0,associate_right,5,5,8,5.0,match,14.217,362.994,4,
mlir,mlir,cublasDdot,0:0,commute_all,5,5,8,5.0,match,14.849,340.609,6,
mlir,mlir,cublasDdot,0:0,mul_one,5,7,8,5.0,match,15.571,340.977,63,
mlir,mlir,cublasDgeam_scale2D,0:0,add_zero,3,5,8,5.0,match,16.416,344.453,22,
mlir,mlir,cublasDgeam_scale2D,0:0,associate_left,3,3,8,5.0,match,15.186,348.816,2,
mlir,mlir,cublasDgeam_scale2D,0:0,associate_right,3,3,8,5.0,match,14.553,369.301,2,
mlir,mlir,cublasDgeam_scale2D,0:0,commute_all,3,3,8,5.0,match,19.013,365.141,3,
mlir,mlir,cublasDgeam_scale2D,0:0,mul_one,3,5,8,5.0,match,15.892,354.105,46,
mlir,mlir,cublasDgemm,0:0,add_zero,3,5,8,5.0,match,17.256,339.408,22,
mlir,mlir,cublasDgemm,0:0,associate_left,3,3,8,5.0,match,16.431,336.244,2,
mlir,mlir,cublasDgemm,0:0,associate_right,3,3,8,5.0,match,14.414,345.148,2,
mlir,mlir,cublasDgemm,0:0,commute_all,3,3,8,5.0,match,18.016,358.784,3,
mlir,mlir,cublasDgemm,0:0,mul_one,3,5,8,5.0,match,15.004,373.096,46,
mlir,mlir,cublasDgemm,1:0,add_zero,7,9,8,5.0,match,16.425,341.458,64,
mlir,mlir,cublasDgemm,1:0,associate_left,7,7,8,5.0,match,15.034,329.669,24,
mlir,mlir,cublasDgemm,1:0,associate_right,7,7,8,5.0,match,14.821,341.392,20,
mlir,mlir,cublasDgemm,1:0,commute_all,7,7,8,5.0,match,16.050,349.519,26,
mlir,mlir,cublasDgemm,1:0,mul_one,7,9,8,5.0,match,17.026,344.956,152,
mlir,mlir,cublasDgemm_alpha_only,0:0,add_zero,7,9,8,5.0,match,21.731,377.179,64,
mlir,mlir,cublasDgemm_alpha_only,0:0,associate_left,7,7,8,5.0,match,17.237,369.908,24,
mlir,mlir,cublasDgemm_alpha_only,0:0,associate_right,7,7,8,5.0,match,15.417,361.300,20,
mlir,mlir,cublasDgemm_alpha_only,0:0,commute_all,7,7,8,5.0,match,18.937,393.536,26,
mlir,mlir,cublasDgemm_alpha_only,0:0,mul_one,7,9,8,5.0,match,16.642,333.106,152,
mlir,mlir,cublasDgemm_outer_product,0:0,add_zero,3,5,8,5.0,match,16.319,419.127,22,
mlir,mlir,cublasDgemm_outer_product,0:0,associate_left,3,3,8,5.0,match,15.047,350.756,2,
mlir,mlir,cublasDgemm_outer_product,0:0,associate_right,3,3,8,5.0,match,16.749,358.203,2,
mlir,mlir,cublasDgemm_outer_product,0:0,commute_all,3,3,8,5.0,match,15.282,351.531,3,
mlir,mlir,cublasDgemm_outer_product,0:0,mul_one,3,5,8,5.0,match,15.785,336.242,46,
mlir,mlir,cublasDgemm_simple,0:0,add_zero,5,7,8,5.0,match,15.278,360.326,48,
mlir,mlir,cublasDgemm_simple,0:0,associate_left,5,5,8,5.0,match,14.725,345.178,4,
mlir,mlir,cublasDgemm_simple,0:0,associate_right,5,5,8,5.0,match,14.803,365.456,4,
mlir,mlir,cublasDgemm_simple,0:0,commute_all,5,5,8,5.0,match,15.930,353.670,6,
mlir,mlir,cublasDgemm_simple,0:0,mul_one,5,7,8,5.0,match,19.405,364.347,63,
mlir,mlir,cublasDgemv,0:0,add_zero,5,7,8,5.0,match,14.870,334.377,48,
mlir,mlir,cublasDgemv,0:0,associate_left,5,5,8,5.0,match,15.028,347.179,4,
mlir,mlir,cublasDgemv,0:0,associate_right,5,5,8,5.0,match,14.816,348.993,4,
mlir,mlir,cublasDgemv,0:0,commute_all,5,5,8,5.0,match,15.995,398.524,6,
mlir,mlir,cublasDgemv,0:0,mul_one,5,7,8,5.0,match,15.558,331.199,63,
mlir,mlir,cublasDgemv_T,0:0,add_zero,5,7,8,5.0,match,18.699,360.186,48,
mlir,mlir,cublasDgemv_T,0:0,associate_left,5,5,8,5.0,match,19.306,348.913,4,
mlir,mlir,cublasDgemv_T,0:0,associate_right,5,5,8,5.0,match,14.996,346.721,4,
mlir,mlir,cublasDgemv_T,0:0,commute_all,5,5,8,5.0,match,14.681,340.824,6,
mlir,mlir,cublasDgemv_T,0:0,mul_one,5,7,8,5.0,match,16.605,338.945,63,
mlir,mlir,cublasDgemv_alpha,0:0,add_zero,7,9,8,5.0,match,16.744,347.182,64,
mlir,mlir,cublasDgemv_alpha,0:0,associate_left,7,7,8,5.0,match,14.761,331.236,24,
mlir,mlir,cublasDgemv_alpha,0:0,associate_right,7,7,8,5.0,match,17.145,373.770,20,
mlir,mlir,cublasDgemv_alpha,0:0,commute_all,7,7,8,5.0,match,15.353,367.790,26,
mlir,mlir,cublasDgemv_alpha,0:0,mul_one,7,9,8,5.0,match,27.399,447.940,152,
mlir,mlir,cublasDger_rank2,0:0,add_zero,9,11,8,5.0,match,15.818,420.535,130,
mlir,mlir,cublasDger_rank2,0:0,associate_left,9,9,8,5.0,match,14.402,318.324,22,
mlir,mlir,cublasDger_rank2,0:0,associate_right,9,9,8,5.0,match,15.337,335.941,25,
mlir,mlir,cublasDger_rank2,0:0,commute_all,9,9,8,5.0,match,18.234,355.610,29,
mlir,mlir,cublasDger_rank2,0:0,mul_one,9,11,8,5.0,match,16.119,349.373,164,
mlir,mlir,cublasDsyr2k,0:0,add_zero,8,10,8,5.0,match,21.876,438.989,22,
mlir,mlir,cublasDsyr2k,0:0,associate_left,8,8,8,5.0,match,17.136,405.055,2,
mlir,mlir,cublasDsyr2k,0:0,associate_right,8,8,8,5.0,match,15.219,356.584,2,
mlir,mlir,cublasDsyr2k,0:0,commute_all,8,8,8,5.0,match,15.740,451.194,3,
mlir,mlir,cublasDsyr2k,0:0,mul_one,8,10,8,5.0,match,27.604,412.564,22,
mlir,mlir,cublasDsyr2k,1:0,add_zero,18,20,8,5.0,match,18.211,361.049,74,
mlir,mlir,cublasDsyr2k,1:0,associate_left,18,18,8,5.0,match,18.132,364.784,57,
mlir,mlir,cublasDsyr2k,1:0,associate_right,18,18,8,5.0,match,17.547,356.622,63,
mlir,mlir,cublasDsyr2k,1:0,commute_all,18,18,8,5.0,match,18.918,371.791,69,
mlir,mlir,cublasDsyr2k,1:0,mul_one,18,20,8,5.0,match,19.557,480.881,74,
mlir,mlir,cublasDsyrk,0:0,add_zero,8,10,8,5.0,match,15.603,378.813,22,
mlir,mlir,cublasDsyrk,0:0,associate_left,8,8,8,5.0,match,21.726,408.538,2,
mlir,mlir,cublasDsyrk,0:0,associate_right,8,8,8,5.0,match,21.572,459.309,2,
mlir,mlir,cublasDsyrk,0:0,commute_all,8,8,8,5.0,match,17.970,417.977,3,
mlir,mlir,cublasDsyrk,0:0,mul_one,8,10,8,5.0,match,18.060,380.956,22,
mlir,mlir,cublasDsyrk,1:0,add_zero,12,14,8,5.0,match,21.752,444.745,40,
mlir,mlir,cublasDsyrk,1:0,associate_left,12,12,8,5.0,match,18.146,457.212,20,
mlir,mlir,cublasDsyrk,1:0,associate_right,12,12,8,5.0,match,17.096,375.452,24,
mlir,mlir,cublasDsyrk,1:0,commute_all,12,12,8,5.0,match,16.694,366.281,26,
mlir,mlir,cublasDsyrk,1:0,mul_one,12,14,8,5.0,match,18.575,358.305,40,
mlir,mlir,cublasSdot,0:0,add_zero,5,7,8,5.0,match,16.866,345.176,48,
mlir,mlir,cublasSdot,0:0,associate_left,5,5,8,5.0,match,13.853,323.610,4,
mlir,mlir,cublasSdot,0:0,associate_right,5,5,8,5.0,match,13.888,316.625,4,
mlir,mlir,cublasSdot,0:0,commute_all,5,5,8,5.0,match,17.442,368.165,6,
mlir,mlir,cublasSdot,0:0,mul_one,5,7,8,5.0,match,16.705,341.283,63,
