suite,program,units,frontend_ok,raise_ok,linalg_generics,kernel_launches,residual_loops
snu-npb,BT,14,14,14,25,6,169
snu-npb,CG,1,0,0,0,0,0
snu-npb,DC,5,4,3,3,0,52
snu-npb,EP,1,1,1,3,0,5
snu-npb,FT,5,3,3,4,0,10
snu-npb,IS,1,1,0,0,0,0
snu-npb,LU,18,17,17,34,1,150
snu-npb,MG,1,1,1,56,0,46
snu-npb,SP,17,17,17,38,0,240
snu-npb,UA,11,8,7,140,0,212
parboil,bfs,1,1,1,0,0,11
parboil,cutcp,5,5,3,8,0,1
parboil,histo,2,2,2,1,0,7
parboil,lbm,2,0,0,0,0,0
parboil,mri-gridding,2,2,2,5,0,9
parboil,mri-q,3,2,1,0,0,0
parboil,sad,4,4,3,1,0,5
parboil,sgemm,3,2,0,0,0,0
parboil,spmv,2,1,1,0,0,0
parboil,stencil,3,3,3,1,0,5
parboil,tpacf,4,4,4,1,0,7
