suite,program,units,frontend_ok,raise_ok,linalg_generics,kernel_launches,structured_fusions,structured_rejects,structured_reductions,structured_gemms,structured_stencils,histogram_candidates,csr_spmv_candidates,residual_loops,published_idioms
snu-npb,BT,14,14,14,90,8,12,12,2,0,6,0,0,76,2
snu-npb,CG,1,1,1,24,4,3,7,3,0,0,0,4,36,11
snu-npb,DC,5,5,5,24,0,7,1,2,0,0,0,0,122,6
snu-npb,EP,1,1,1,3,0,0,1,0,0,0,0,0,5,4
snu-npb,FT,5,5,5,5,0,1,0,0,0,0,0,0,35,0
snu-npb,IS,1,1,1,55,6,6,38,6,0,0,3,0,17,5
snu-npb,LU,18,18,18,128,1,10,10,1,0,7,0,0,75,0
snu-npb,MG,1,1,1,56,0,8,4,1,0,7,0,0,46,3
snu-npb,SP,17,17,17,69,0,8,6,2,0,4,3,0,163,2
snu-npb,UA,11,11,11,197,3,12,32,11,0,1,4,1,463,11
parboil,bfs,1,1,1,0,0,0,0,0,0,0,0,0,11,0
parboil,cutcp,5,5,5,8,0,1,6,1,0,0,0,0,17,7
parboil,histo,2,2,2,1,0,0,0,0,0,0,1,0,7,1
parboil,lbm,2,2,2,0,0,0,0,0,0,0,0,0,23,3
parboil,mri-gridding,2,2,2,5,0,0,0,0,0,0,0,0,9,0
parboil,mri-q,2,2,2,9,0,0,2,0,0,0,0,0,2,0
parboil,sad,4,4,4,0,0,0,0,0,0,0,0,0,28,1
parboil,sgemm,2,2,2,1,1,0,1,0,0,0,0,0,7,1
parboil,spmv,2,2,2,0,1,0,0,0,0,0,0,1,3,1
parboil,stencil,3,3,3,1,1,1,0,0,0,1,0,0,5,1
parboil,tpacf,4,4,4,1,0,0,0,0,0,0,1,0,7,1
