published_id,suite,program,category,ordinal,source_basis,source_location
BT-scalar-01,snu-npb,BT,scalar_reduction,1,Figure 16,not reported by paper
BT-scalar-02,snu-npb,BT,scalar_reduction,2,Figure 16,not reported by paper
CG-scalar-01,snu-npb,CG,scalar_reduction,1,Figure 16,not reported by paper
CG-scalar-02,snu-npb,CG,scalar_reduction,2,Figure 16,not reported by paper
CG-scalar-03,snu-npb,CG,scalar_reduction,3,Figure 16,not reported by paper
CG-scalar-04,snu-npb,CG,scalar_reduction,4,Figure 16,not reported by paper
CG-scalar-05,snu-npb,CG,scalar_reduction,5,Figure 16,not reported by paper
CG-scalar-06,snu-npb,CG,scalar_reduction,6,Figure 16,not reported by paper
CG-scalar-07,snu-npb,CG,scalar_reduction,7,Figure 16,not reported by paper
CG-scalar-08,snu-npb,CG,scalar_reduction,8,Figure 16,not reported by paper
CG-histogram-01,snu-npb,CG,histogram_reduction,1,Figure 16,not reported by paper
CG-sparse-01,snu-npb,CG,sparse_matrix_operation,1,Figure 16,not reported by paper
CG-sparse-02,snu-npb,CG,sparse_matrix_operation,2,Figure 16,not reported by paper
DC-scalar-01,snu-npb,DC,scalar_reduction,1,Figure 16,not reported by paper
DC-scalar-02,snu-npb,DC,scalar_reduction,2,Figure 16,not reported by paper
DC-scalar-03,snu-npb,DC,scalar_reduction,3,Figure 16,not reported by paper
DC-scalar-04,snu-npb,DC,scalar_reduction,4,Figure 16,not reported by paper
DC-scalar-05,snu-npb,DC,scalar_reduction,5,Figure 16,not reported by paper
DC-scalar-06,snu-npb,DC,scalar_reduction,6,Figure 16,not reported by paper
EP-scalar-01,snu-npb,EP,scalar_reduction,1,Figure 16,not reported by paper
EP-scalar-02,snu-npb,EP,scalar_reduction,2,Figure 16,not reported by paper
EP-scalar-03,snu-npb,EP,scalar_reduction,3,Figure 16,not reported by paper
EP-histogram-01,snu-npb,EP,histogram_reduction,1,Figure 16,not reported by paper
IS-scalar-01,snu-npb,IS,scalar_reduction,1,Figure 16,not reported by paper
IS-scalar-02,snu-npb,IS,scalar_reduction,2,Figure 16,not reported by paper
IS-scalar-03,snu-npb,IS,scalar_reduction,3,Figure 16,not reported by paper
IS-scalar-04,snu-npb,IS,scalar_reduction,4,Figure 16,not reported by paper
IS-histogram-01,snu-npb,IS,histogram_reduction,1,Figure 16,not reported by paper
MG-scalar-01,snu-npb,MG,scalar_reduction,1,Figure 16,not reported by paper
MG-stencil-01,snu-npb,MG,stencil,1,Figure 16,not reported by paper
MG-stencil-02,snu-npb,MG,stencil,2,Figure 16,not reported by paper
SP-scalar-01,snu-npb,SP,scalar_reduction,1,Figure 16,not reported by paper
SP-scalar-02,snu-npb,SP,scalar_reduction,2,Figure 16,not reported by paper
UA-scalar-01,snu-npb,UA,scalar_reduction,1,Figure 16,not reported by paper
UA-scalar-02,snu-npb,UA,scalar_reduction,2,Figure 16,not reported by paper
UA-scalar-03,snu-npb,UA,scalar_reduction,3,Figure 16,not reported by paper
UA-scalar-04,snu-npb,UA,scalar_reduction,4,Figure 16,not reported by paper
UA-scalar-05,snu-npb,UA,scalar_reduction,5,Figure 16,not reported by paper
UA-scalar-06,snu-npb,UA,scalar_reduction,6,Figure 16,not reported by paper
UA-scalar-07,snu-npb,UA,scalar_reduction,7,Figure 16,not reported by paper
UA-scalar-08,snu-npb,UA,scalar_reduction,8,Figure 16,not reported by paper
UA-scalar-09,snu-npb,UA,scalar_reduction,9,Figure 16,not reported by paper
UA-scalar-10,snu-npb,UA,scalar_reduction,10,Figure 16,not reported by paper
UA-scalar-11,snu-npb,UA,scalar_reduction,11,Figure 16,not reported by paper
cutcp-scalar-01,parboil,cutcp,scalar_reduction,1,Figure 16,not reported by paper
cutcp-scalar-02,parboil,cutcp,scalar_reduction,2,Figure 16,not reported by paper
cutcp-scalar-03,parboil,cutcp,scalar_reduction,3,Figure 16,not reported by paper
cutcp-scalar-04,parboil,cutcp,scalar_reduction,4,Figure 16,not reported by paper
cutcp-scalar-05,parboil,cutcp,scalar_reduction,5,Figure 16,not reported by paper
cutcp-scalar-06,parboil,cutcp,scalar_reduction,6,Figure 16,not reported by paper
cutcp-scalar-07,parboil,cutcp,scalar_reduction,7,Figure 16,not reported by paper
histo-histogram-01,parboil,histo,histogram_reduction,1,Figure 16,not reported by paper
lbm-stencil-01,parboil,lbm,stencil,1,Figure 16,not reported by paper
lbm-stencil-02,parboil,lbm,stencil,2,Figure 16,not reported by paper
lbm-stencil-03,parboil,lbm,stencil,3,Figure 16,not reported by paper
sad-scalar-01,parboil,sad,scalar_reduction,1,Figure 16,not reported by paper
sgemm-matrix-01,parboil,sgemm,matrix_operation,1,Figure 16,not reported by paper
spmv-sparse-01,parboil,spmv,sparse_matrix_operation,1,Figure 16,not reported by paper
stencil-stencil-01,parboil,stencil,stencil,1,Figure 16,not reported by paper
tpacf-histogram-01,parboil,tpacf,histogram_reduction,1,Figure 16,not reported by paper
