run_id,implementation,device,compiler_or_backend,flags,warmup,iterations,mean_ms,median_ms,min_ms,max_ms,checksum,sumsq,maxabs,correctness_status,notes
cpu_strict_1,native_cpu,Jetson_AGX_Orin,aarch64-linux-gnu-gcc_11.4,-O3_-march=armv8.2-a+fp16+bf16,2,10,342.467447603,342.414250553,342.214437962,342.940625906,-96.026400804519653,36154980.358244076,78.467849731445312,reference,FP32_one-token_one-layer_extracted_fixture
cpu_strict_2,native_cpu,Jetson_AGX_Orin,aarch64-linux-gnu-gcc_11.4,-O3_-march=armv8.2-a+fp16+bf16,2,10,342.465295029,342.515392065,342.120714068,342.882710099,-96.026400804519653,36154980.358244076,78.467849731445312,reference,FP32_one-token_one-layer_extracted_fixture
cpu_strict_3,native_cpu,Jetson_AGX_Orin,aarch64-linux-gnu-gcc_11.4,-O3_-march=armv8.2-a+fp16+bf16,2,10,343.035265589,343.149580956,342.609719038,343.286430001,-96.026400804519653,36154980.358244076,78.467849731445312,reference,FP32_one-token_one-layer_extracted_fixture
cpu_fastmath_1,native_cpu_fastmath,Jetson_AGX_Orin,aarch64-linux-gnu-gcc_11.4,-O3_-ffast-math_-march=armv8.2-a+fp16+bf16,2,10,144.193665711,144.247260020,143.745061030,144.428239036,-95.824816882610321,36153309.046872437,78.467247009277344,informational,fast-math_changes_FP32_result
cpu_fastmath_2,native_cpu_fastmath,Jetson_AGX_Orin,aarch64-linux-gnu-gcc_11.4,-O3_-ffast-math_-march=armv8.2-a+fp16+bf16,2,10,144.162907605,144.151884046,143.910664031,144.344046054,-95.824816882610321,36153309.046872437,78.467247009277344,informational,fast-math_changes_FP32_result
cpu_fastmath_3,native_cpu_fastmath,Jetson_AGX_Orin,aarch64-linux-gnu-gcc_11.4,-O3_-ffast-math_-march=armv8.2-a+fp16+bf16,2,10,144.098513619,144.111051507,143.905480018,144.251884998,-95.824816882610321,36153309.046872437,78.467247009277344,informational,fast-math_changes_FP32_result
polygeist_1,polygeist_external_library_hybrid,Jetson_AGX_Orin,Polygeist_c4dda7f5_plus_audited_fixes,13_external_launches_32_residual_linalg_bodies,2,10,473.751262712,473.545686007,470.843724966,477.489456058,-96.096155643463135,36155169.176709794,78.468093872070312,pass_atol_1e-3_rtol_1e-4,max_abs_error_8.201e-4_over_32000_logits
polygeist_2,polygeist_external_library_hybrid,Jetson_AGX_Orin,Polygeist_c4dda7f5_plus_audited_fixes,13_external_launches_32_residual_linalg_bodies,2,10,480.910921705,481.473758459,476.857290030,482.798499942,-96.096155643463135,36155169.176709794,78.468093872070312,pass_atol_1e-3_rtol_1e-4,max_abs_error_8.201e-4_over_32000_logits
polygeist_3,polygeist_external_library_hybrid,Jetson_AGX_Orin,Polygeist_c4dda7f5_plus_audited_fixes,13_external_launches_32_residual_linalg_bodies,2,10,470.745473218,470.788004994,468.630324960,472.374734044,-96.096155643463135,36155169.176709794,78.468093872070312,pass_atol_1e-3_rtol_1e-4,max_abs_error_8.201e-4_over_32000_logits
ggml_1,ggml_cuda,Jetson_AGX_Orin,ggml_f24588a_CUDA_12.6,upstream_ggml_graph_for_identical_FP32_math,2,10,15.930600,15.889000,15.749000,16.342000,-95.864949256181717,36153117.636128418,78.4661865234375,pass_atol_1e-2_rtol_1e-4,max_abs_error_4.5185e-3_over_32000_logits
