application,source,support_source,function,coverage,operator_families,upstream_file,upstream_lines,missing_operator
mtop_iso_elasticity,mtop_iso_elasticity_dfem_2d.c,,mfem_app_mtop_iso_elasticity_dfem_2d,complete_hot_path,interpolation;elasticity_qpoint;integration,miniapps/mtop/mtop_solvers.cpp,376-410,
dfem_minimal_surface,dfem_minimal_surface_2d.c,,mfem_app_dfem_minimal_surface_2d,complete_hot_path,interpolation;minimal_surface_qpoint;integration,miniapps/dfem/dfem-minimal-surface.cpp,308-356,
ex35p,ex35p_pa_operators.c,,mfem_app_ex35p_h1_3d,complete_operator_branch,Diffusion;Mass,examples/ex35p.cpp,369-376,
ex35p,ex35p_pa_operators.c,missing_stage_kernels.c,mfem_app_ex35p_hcurl_3d,complete_operator_branch,CurlCurl;VectorFEMass_Hcurl,examples/ex35p.cpp,379-382,
ex35p,ex35p_pa_operators.c,missing_stage_kernels.c,mfem_app_ex35p_hdiv_3d,complete_operator_branch,DivDiv;VectorFEMass_Hdiv,examples/ex35p.cpp,385-388,
ex9p,ex9p_mass_convection_2d.c,missing_stage_kernels.c,mfem_app_ex9p_mass_convection_2d,complete_element_and_solver_iteration,Mass;Convection;PCG_iteration,examples/ex9p.cpp,388-404;704-709,
grad_div,grad_div_3d.c,missing_stage_kernels.c,mfem_app_grad_div_3d,complete_operator_branch,DivDiv;VectorFEMass_Hdiv,miniapps/hdiv-linear-solver/grad_div.cpp,203-206,
abs_l1_jacobi,abs_l1_jacobi_operators.c,,mfem_app_abs_l1_mass_3d,complete_operator_branch,Mass,miniapps/diag-smoothers/abs-l1-jacobi.cpp,279-309,
abs_l1_jacobi,abs_l1_jacobi_operators.c,,mfem_app_abs_l1_diffusion_3d,complete_operator_branch,Diffusion,miniapps/diag-smoothers/abs-l1-jacobi.cpp,279-309,
abs_l1_jacobi,abs_l1_jacobi_operators.c,missing_stage_kernels.c,mfem_app_abs_l1_curlcurl_3d,complete_operator_branch,CurlCurl;VectorFEMass_Hcurl,miniapps/diag-smoothers/abs-l1-jacobi.cpp,294-301,
navier_tgv,navier_tgv_pressure_diffusion_3d.c,missing_stage_kernels.c,mfem_app_navier_tgv_pa_operators_3d,complete_pa_operator_families,VectorMass;VectorDiffusion;VectorConvectionNLF;pressure_Diffusion;discrete_divergence;discrete_gradient,miniapps/fluids/navier/navier_solver.cpp,128-205,
