id,family,dimension,operation,variant,source,function,upstream_file,upstream_symbol
interp_value_2d,sum_factorization,2,interpolate_value,original,original/sum_factorization.c,mfem_interp_value_2d,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_2d
interp_grad_2d,sum_factorization,2,interpolate_gradient,original,original/sum_factorization.c,mfem_interp_grad_2d,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_2d
interp_value_3d,sum_factorization,3,interpolate_value,original,original/sum_factorization.c,mfem_interp_value_3d,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_3d
interp_grad_3d,sum_factorization,3,interpolate_gradient,original,original/sum_factorization.c,mfem_interp_grad_3d,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_3d
integrate_value_2d,sum_factorization,2,integrate_value,original,original/sum_factorization.c,mfem_integrate_value_2d,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_2d
integrate_grad_2d,sum_factorization,2,integrate_gradient,original,original/sum_factorization.c,mfem_integrate_grad_2d,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_2d
integrate_value_3d,sum_factorization,3,integrate_value,original,original/sum_factorization.c,mfem_integrate_value_3d,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_3d
integrate_grad_3d,sum_factorization,3,integrate_gradient,original,original/sum_factorization.c,mfem_integrate_grad_3d,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_3d
mass_apply_2d,partial_assembly,2,mass_apply,original,original/mass_apply.c,mfem_pa_mass_apply_2d,fem/integ/bilininteg_mass_kernels.hpp,PAMassApply2D_Element
mass_apply_3d,partial_assembly,3,mass_apply,original,original/mass_apply.c,mfem_pa_mass_apply_3d,fem/integ/bilininteg_mass_kernels.hpp,PAMassApply3D_Element
diffusion_apply_2d,partial_assembly,2,diffusion_apply_symmetric,original,original/diffusion_apply.c,mfem_pa_diffusion_apply_2d,fem/integ/bilininteg_diffusion_kernels.hpp,PADiffusionApply2D
diffusion_apply_3d,partial_assembly,3,diffusion_apply_symmetric,original,original/diffusion_apply.c,mfem_pa_diffusion_apply_3d,fem/integ/bilininteg_diffusion_kernels.hpp,PADiffusionApply3D
convection_apply_2d,partial_assembly,2,convection_apply,original,original/convection_apply.c,mfem_pa_convection_apply_2d,fem/integ/bilininteg_convection_kernels.hpp,PAConvectionApply2D
convection_apply_3d,partial_assembly,3,convection_apply,original,original/convection_apply.c,mfem_pa_convection_apply_3d,fem/integ/bilininteg_convection_kernels.hpp,PAConvectionApply3D
elasticity_qpoint_2d,quadrature_function,2,isotropic_linear_elasticity,original,original/elasticity_qpoint.c,mfem_elasticity_qpoint_2d,fem/integ/bilininteg_elasticity_kernels.hpp,ElasticityAddMultPA_<2>
elasticity_qpoint_3d,quadrature_function,3,isotropic_linear_elasticity,original,original/elasticity_qpoint.c,mfem_elasticity_qpoint_3d,fem/integ/bilininteg_elasticity_kernels.hpp,ElasticityAddMultPA_<3>
curlcurl_apply_2d,de_rham,2,curl_curl_apply,original,original/de_rham_apply.c,mfem_pa_curlcurl_apply_2d,fem/integ/bilininteg_hcurl_kernels.cpp,PACurlCurlApply2D
divdiv_apply_2d,de_rham,2,div_div_apply,original,original/de_rham_apply.c,mfem_pa_divdiv_apply_2d,fem/integ/bilininteg_hdiv_kernels.cpp,PADivDivApply2D
divdiv_apply_3d,de_rham,3,div_div_apply,original,original/de_rham_apply.c,mfem_pa_divdiv_apply_3d,fem/integ/bilininteg_hdiv_kernels.cpp,PADivDivApply3D
curlcurl_apply_3d,de_rham,3,curl_curl_apply_symmetric,original,original/hcurl3_apply.c,mfem_pa_curlcurl_apply_3d,fem/integ/bilininteg_hcurl_kernels.hpp,PACurlCurlApply3D
interp_value_2d_scratch_sliced,sum_factorization,2,interpolate_value,normalized,normalized/value_scratch_sliced.c,mfem_interp_value_2d_scratch_sliced,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_2d
interp_value_3d_scratch_sliced,sum_factorization,3,interpolate_value,normalized,normalized/value_scratch_sliced.c,mfem_interp_value_3d_scratch_sliced,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_3d
integrate_value_2d_scratch_sliced,sum_factorization,2,integrate_value,normalized,normalized/value_scratch_sliced.c,mfem_integrate_value_2d_scratch_sliced,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_2d
integrate_value_3d_scratch_sliced,sum_factorization,3,integrate_value,normalized,normalized/value_scratch_sliced.c,mfem_integrate_value_3d_scratch_sliced,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_3d
mass_apply_2d_stage_sliced,partial_assembly,2,mass_apply,normalized,normalized/mass_stage_sliced.c,mfem_pa_mass_apply_2d_stage_sliced,fem/integ/bilininteg_mass_kernels.hpp,PAMassApply2D_Element
mass_apply_3d_stage_sliced,partial_assembly,3,mass_apply,normalized,normalized/mass_stage_sliced.c,mfem_pa_mass_apply_3d_stage_sliced,fem/integ/bilininteg_mass_kernels.hpp,PAMassApply3D_Element
interp_grad_2d_stage_sliced,sum_factorization,2,interpolate_gradient,normalized,normalized/gradient_stage_sliced.c,mfem_interp_grad_2d_stage_sliced,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_2d
interp_grad_3d_stage_sliced,sum_factorization,3,interpolate_gradient,normalized,normalized/gradient_stage_sliced.c,mfem_interp_grad_3d_stage_sliced,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_3d
integrate_grad_2d_stage_sliced,sum_factorization,2,integrate_gradient,normalized,normalized/gradient_stage_sliced.c,mfem_integrate_grad_2d_stage_sliced,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_2d
integrate_grad_3d_stage_sliced,sum_factorization,3,integrate_gradient,normalized,normalized/gradient_stage_sliced.c,mfem_integrate_grad_3d_stage_sliced,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_3d
diffusion_apply_2d_stage_sliced,partial_assembly,2,diffusion_apply_symmetric,normalized,normalized/diffusion_stage_sliced.c,mfem_pa_diffusion_apply_2d_stage_sliced,fem/integ/bilininteg_diffusion_kernels.hpp,PADiffusionApply2D
diffusion_apply_3d_stage_sliced,partial_assembly,3,diffusion_apply_symmetric,normalized,normalized/diffusion_stage_sliced.c,mfem_pa_diffusion_apply_3d_stage_sliced,fem/integ/bilininteg_diffusion_kernels.hpp,PADiffusionApply3D
convection_apply_2d_stage_sliced,partial_assembly,2,convection_apply,normalized,normalized/convection_stage_sliced.c,mfem_pa_convection_apply_2d_stage_sliced,fem/integ/bilininteg_convection_kernels.hpp,PAConvectionApply2D
convection_apply_3d_stage_sliced,partial_assembly,3,convection_apply,normalized,normalized/convection_stage_sliced.c,mfem_pa_convection_apply_3d_stage_sliced,fem/integ/bilininteg_convection_kernels.hpp,PAConvectionApply3D
elasticity_qpoint_2d_scalarized,quadrature_function,2,isotropic_linear_elasticity,normalized,normalized/elasticity_scalarized.c,mfem_elasticity_qpoint_2d_scalarized,fem/integ/bilininteg_elasticity_kernels.hpp,ElasticityAddMultPA_<2>
elasticity_qpoint_3d_scalarized,quadrature_function,3,isotropic_linear_elasticity,normalized,normalized/elasticity_scalarized.c,mfem_elasticity_qpoint_3d_scalarized,fem/integ/bilininteg_elasticity_kernels.hpp,ElasticityAddMultPA_<3>
curlcurl_apply_2d_stage_sliced,de_rham,2,curl_curl_apply,normalized,normalized/de_rham2_stage_sliced.c,mfem_pa_curlcurl_apply_2d_stage_sliced,fem/integ/bilininteg_hcurl_kernels.cpp,PACurlCurlApply2D
divdiv_apply_2d_stage_sliced,de_rham,2,div_div_apply,normalized,normalized/de_rham2_stage_sliced.c,mfem_pa_divdiv_apply_2d_stage_sliced,fem/integ/bilininteg_hdiv_kernels.cpp,PADivDivApply2D
divdiv_apply_3d_stage_sliced,de_rham,3,div_div_apply,normalized,normalized/divdiv3_stage_sliced.c,mfem_pa_divdiv_apply_3d_stage_sliced,fem/integ/bilininteg_hdiv_kernels.cpp,PADivDivApply3D
curlcurl_apply_3d_stage_sliced,de_rham,3,curl_curl_apply_symmetric,normalized,normalized/curlcurl3_stage_sliced.c,mfem_pa_curlcurl_apply_3d_stage_sliced,fem/integ/bilininteg_hcurl_kernels.hpp,PACurlCurlApply3D
