id,composition_ok,matcher_launches,composed_launches,network_launches,matcher_symbols,composed_symbols,network_symbols,error
convection_apply_2d_stage_sliced,true,2,2,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
convection_apply_3d_stage_sliced,true,2,2,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
curlcurl_apply_2d_stage_sliced,true,2,2,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
curlcurl_apply_3d_stage_sliced,true,5,5,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
diffusion_apply_2d_stage_sliced,true,2,2,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
diffusion_apply_3d_stage_sliced,true,2,2,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
divdiv_apply_2d_stage_sliced,true,2,2,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
divdiv_apply_3d_stage_sliced,true,3,3,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
elasticity_qpoint_2d_scalarized,true,0,0,0,,,,
elasticity_qpoint_3d_scalarized,true,0,0,0,,,,
integrate_grad_2d_stage_sliced,true,2,2,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
integrate_grad_3d_stage_sliced,true,3,3,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
integrate_value_2d_scratch_sliced,true,1,1,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
integrate_value_3d_scratch_sliced,true,1,1,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
interp_grad_2d_stage_sliced,true,2,2,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
interp_grad_3d_stage_sliced,true,2,2,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
interp_value_2d_scratch_sliced,true,1,1,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
interp_value_3d_scratch_sliced,true,1,1,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
mass_apply_2d_stage_sliced,true,1,1,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
mass_apply_3d_stage_sliced,true,1,1,0,cutensornetContraction2_f64,cutensornetContraction2_f64,,
