family_id,mfem_class,source,function,dimension,upstream_file,provenance,status_before_survey
mass,MassIntegrator,normalized/mass_stage_sliced.c,mfem_pa_mass_apply_3d_stage_sliced,3,fem/integ/bilininteg_mass_pa.cpp,validated_standalone,covered
diffusion,DiffusionIntegrator,normalized/diffusion_stage_sliced.c,mfem_pa_diffusion_apply_3d_stage_sliced,3,fem/integ/bilininteg_diffusion_pa.cpp,validated_standalone,covered
convection,ConvectionIntegrator,normalized/convection_stage_sliced.c,mfem_pa_convection_apply_3d_stage_sliced,3,fem/integ/bilininteg_convection_pa.cpp,validated_standalone,covered
curl_curl,CurlCurlIntegrator,normalized/curlcurl3_stage_sliced.c,mfem_pa_curlcurl_apply_3d_stage_sliced,3,fem/integ/bilininteg_curlcurl_pa.cpp,validated_standalone,covered
div_div,DivDivIntegrator,normalized/divdiv3_stage_sliced.c,mfem_pa_divdiv_apply_3d_stage_sliced,3,fem/integ/bilininteg_divdiv_pa.cpp,validated_standalone,covered
elasticity,ElasticityIntegrator,normalized/elasticity_scalarized.c,mfem_elasticity_qpoint_3d_scalarized,3,fem/integ/bilininteg_elasticity_pa.cpp,validated_qpoint_extract,covered_unmatched
gradient,GradientIntegrator,pa_family_compile/existing_application_families.c,mfem_pa_discrete_gradient_apply_3d_sliced,3,fem/integ/bilininteg_gradient_pa.cpp,application_extract,application_only
vector_mass,VectorMassIntegrator,pa_family_compile/existing_application_families.c,mfem_pa_vector_mass_apply_3d_sliced,3,fem/integ/bilininteg_vecmass_pa.cpp,application_extract,application_only
vector_diffusion,VectorDiffusionIntegrator,pa_family_compile/existing_application_families.c,mfem_pa_vector_diffusion_apply_3d_sliced,3,fem/integ/bilininteg_vecdiffusion_pa.cpp,application_extract,application_only
vector_divergence,VectorDivergenceIntegrator,pa_family_compile/existing_application_families.c,mfem_pa_discrete_divergence_apply_3d_direct,3,fem/integ/bilininteg_vecdiv_pa.cpp,application_extract,application_only
vector_fe_mass,VectorFEMassIntegrator,pa_family_compile/existing_application_families.c,mfem_pa_hcurl_mass_apply_3d_direct,3,fem/integ/bilininteg_vectorfemass_pa.cpp,application_extract_hcurl_branch,application_only
vector_convection_nl,VectorConvectionNLFIntegrator,pa_family_compile/existing_application_families.c,mfem_pa_vector_convection_nl_apply_3d_sliced,3,fem/integ/nonlininteg_vecconvection_pa.cpp,application_extract,application_only
dg_diffusion,DGDiffusionIntegrator,pa_family_compile/uncovered_pa_families.c,mfem_pa_dg_diffusion_apply_2d,2,fem/integ/bilininteg_dgdiffusion_pa.cpp,compile_only_structural_extract,uncovered
dg_trace,DGTraceIntegrator,pa_family_compile/uncovered_pa_families.c,mfem_pa_dg_trace_apply_2d,2,fem/integ/bilininteg_dgtrace_pa.cpp,compile_only_structural_extract,uncovered
elasticity_component,ElasticityComponentIntegrator,pa_family_compile/uncovered_pa_families.c,mfem_pa_elasticity_component_apply_2d,2,fem/integ/bilininteg_elasticity_pa.cpp,compile_only_structural_extract,uncovered
gradient_interpolator,GradientInterpolator,pa_family_compile/uncovered_pa_families.c,mfem_pa_gradient_interpolator_2d,2,fem/integ/bilininteg_interp_pa.cpp,compile_only_structural_extract,uncovered
identity_interpolator,IdentityInterpolator,pa_family_compile/uncovered_pa_families.c,mfem_pa_identity_interpolator_2d,2,fem/integ/bilininteg_interp_pa.cpp,compile_only_structural_extract,uncovered
mixed_scalar_curl,MixedScalarCurlIntegrator,pa_family_compile/uncovered_pa_families.c,mfem_pa_mixed_scalar_curl_2d,2,fem/integ/bilininteg_mixedcurl_pa.cpp,compile_only_structural_extract,uncovered
mixed_vector_curl,MixedVectorCurlIntegrator,pa_family_compile/uncovered_pa_families.c,mfem_pa_mixed_vector_curl_3d,3,fem/integ/bilininteg_mixedcurl_pa.cpp,compile_only_structural_extract,uncovered
mixed_vector_weak_curl,MixedVectorWeakCurlIntegrator,pa_family_compile/uncovered_pa_families.c,mfem_pa_mixed_vector_weak_curl_3d,3,fem/integ/bilininteg_mixedcurl_pa.cpp,compile_only_structural_extract,uncovered
mixed_vector_gradient,MixedVectorGradientIntegrator,pa_family_compile/uncovered_pa_families.c,mfem_pa_mixed_vector_gradient_2d,2,fem/integ/bilininteg_mixedvecgrad_pa.cpp,compile_only_structural_extract,uncovered
vector_fe_divergence,VectorFEDivergenceIntegrator,pa_family_compile/uncovered_pa_families.c,mfem_pa_vector_fe_divergence_3d,3,fem/integ/bilininteg_vectorfediv_pa.cpp,compile_only_structural_extract,uncovered
