family_id,mfem_class,source,function,dimension,upstream_file,provenance,status_before_survey,frontend_ok,raise_ok,debufferize_ok,matcher_ok,linalg_ops,residual_loops,fully_raised,matcher_bodies,matched_groups,kernel_launches,launch_symbols,abi_lower_ok,abi_runtime_calls,abi_residual_launches,error
mass,MassIntegrator,normalized/mass_stage_sliced.c,mfem_pa_mass_apply_3d_stage_sliced,3,fem/integ/bilininteg_mass_pa.cpp,validated_standalone,covered,true,true,true,true,24,0,true,7,5,5,cutensornetContraction2_f64,true,0,0,
diffusion,DiffusionIntegrator,normalized/diffusion_stage_sliced.c,mfem_pa_diffusion_apply_3d_stage_sliced,3,fem/integ/bilininteg_diffusion_pa.cpp,validated_standalone,covered,true,true,true,true,70,0,true,21,14,14,cutensornetContraction2_f64,true,0,0,
convection,ConvectionIntegrator,normalized/convection_stage_sliced.c,mfem_pa_convection_apply_3d_stage_sliced,3,fem/integ/bilininteg_convection_pa.cpp,validated_standalone,covered,true,true,true,true,46,0,true,13,10,10,cutensornetContraction2_f64,true,0,0,
curl_curl,CurlCurlIntegrator,normalized/curlcurl3_stage_sliced.c,mfem_pa_curlcurl_apply_3d_stage_sliced,3,fem/integ/bilininteg_curlcurl_pa.cpp,validated_standalone,covered,true,true,true,true,146,0,true,44,29,29,cutensornetContraction2_f64,true,0,0,
div_div,DivDivIntegrator,normalized/divdiv3_stage_sliced.c,mfem_pa_divdiv_apply_3d_stage_sliced,3,fem/integ/bilininteg_divdiv_pa.cpp,validated_standalone,covered,true,true,true,true,66,0,true,21,12,12,cutensornetContraction2_f64,true,0,0,
elasticity,ElasticityIntegrator,normalized/elasticity_scalarized.c,mfem_elasticity_qpoint_3d_scalarized,3,fem/integ/bilininteg_elasticity_pa.cpp,validated_qpoint_extract,covered_unmatched,true,true,true,true,18,0,true,9,0,0,,true,0,0,
gradient,GradientIntegrator,pa_family_compile/existing_application_families.c,mfem_pa_discrete_gradient_apply_3d_sliced,3,fem/integ/bilininteg_gradient_pa.cpp,application_extract,application_only,true,true,true,true,98,0,true,32,17,17,cutensornetContraction2_f64,true,0,0,
vector_mass,VectorMassIntegrator,pa_family_compile/existing_application_families.c,mfem_pa_vector_mass_apply_3d_sliced,3,fem/integ/bilininteg_vecmass_pa.cpp,application_extract,application_only,true,true,true,true,92,0,true,31,15,15,cutensornetContraction2_f64,true,0,0,
vector_diffusion,VectorDiffusionIntegrator,pa_family_compile/existing_application_families.c,mfem_pa_vector_diffusion_apply_3d_sliced,3,fem/integ/bilininteg_vecdiffusion_pa.cpp,application_extract,application_only,true,true,true,true,238,0,true,77,42,42,cutensornetContraction2_f64,true,0,0,
vector_divergence,VectorDivergenceIntegrator,pa_family_compile/existing_application_families.c,mfem_pa_discrete_divergence_apply_3d_direct,3,fem/integ/bilininteg_vecdiv_pa.cpp,application_extract,application_only,true,true,true,true,6,0,true,3,0,0,,true,0,0,
