id,family,dimension,operation,variant,source,function,upstream_file,upstream_symbol,frontend_ok,raise_ok,linalg_ops,residual_loops,fully_raised
interp_value_2d,sum_factorization,2,interpolate_value,original,original/sum_factorization.c,mfem_interp_value_2d,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_2d,true,true,8,1,false
interp_grad_2d,sum_factorization,2,interpolate_gradient,original,original/sum_factorization.c,mfem_interp_grad_2d,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_2d,true,true,20,3,false
interp_value_3d,sum_factorization,3,interpolate_value,original,original/sum_factorization.c,mfem_interp_value_3d,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_3d,true,true,12,1,false
interp_grad_3d,sum_factorization,3,interpolate_gradient,original,original/sum_factorization.c,mfem_interp_grad_3d,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_3d,true,true,38,7,false
integrate_value_2d,sum_factorization,2,integrate_value,original,original/sum_factorization.c,mfem_integrate_value_2d,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_2d,true,true,6,1,false
integrate_grad_2d,sum_factorization,2,integrate_gradient,original,original/sum_factorization.c,mfem_integrate_grad_2d,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_2d,true,true,18,3,false
integrate_value_3d,sum_factorization,3,integrate_value,original,original/sum_factorization.c,mfem_integrate_value_3d,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_3d,true,true,10,1,false
integrate_grad_3d,sum_factorization,3,integrate_gradient,original,original/sum_factorization.c,mfem_integrate_grad_3d,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_3d,true,true,38,7,false
mass_apply_2d,partial_assembly,2,mass_apply,original,original/mass_apply.c,mfem_pa_mass_apply_2d,fem/integ/bilininteg_mass_kernels.hpp,PAMassApply2D_Element,true,true,16,3,false
mass_apply_3d,partial_assembly,3,mass_apply,original,original/mass_apply.c,mfem_pa_mass_apply_3d,fem/integ/bilininteg_mass_kernels.hpp,PAMassApply3D_Element,true,true,24,5,false
diffusion_apply_2d,partial_assembly,2,diffusion_apply_symmetric,original,original/diffusion_apply.c,mfem_pa_diffusion_apply_2d,fem/integ/bilininteg_diffusion_kernels.hpp,PADiffusionApply2D,true,true,28,5,false
diffusion_apply_3d,partial_assembly,3,diffusion_apply_symmetric,original,original/diffusion_apply.c,mfem_pa_diffusion_apply_3d,fem/integ/bilininteg_diffusion_kernels.hpp,PADiffusionApply3D,true,true,40,9,false
convection_apply_2d,partial_assembly,2,convection_apply,original,original/convection_apply.c,mfem_pa_convection_apply_2d,fem/integ/bilininteg_convection_kernels.hpp,PAConvectionApply2D,true,true,30,4,false
convection_apply_3d,partial_assembly,3,convection_apply,original,original/convection_apply.c,mfem_pa_convection_apply_3d,fem/integ/bilininteg_convection_kernels.hpp,PAConvectionApply3D,true,true,54,11,false
elasticity_qpoint_2d,quadrature_function,2,isotropic_linear_elasticity,original,original/elasticity_qpoint.c,mfem_elasticity_qpoint_2d,fem/integ/bilininteg_elasticity_kernels.hpp,ElasticityAddMultPA_<2>,true,true,11,3,false
elasticity_qpoint_3d,quadrature_function,3,isotropic_linear_elasticity,original,original/elasticity_qpoint.c,mfem_elasticity_qpoint_3d,fem/integ/bilininteg_elasticity_kernels.hpp,ElasticityAddMultPA_<3>,true,true,11,3,false
