id,function,ne,structural_launches,gpu_runtime_calls,cpu_runtime_calls,raised_gpu_build,raised_cpu_build,gpu_correct_processes,cpu_correct_processes,samples_per_process,vanilla_cpu_us,raised_cpu_us,raised_gpu_us,raised_cpu_over_vanilla,raised_gpu_over_vanilla,max_abs,correctness,native_mfem_status,vanilla_cpu_median_us,vanilla_cpu_max_us,vanilla_cpu_iqr_us,raised_cpu_median_us,raised_cpu_max_us,raised_cpu_iqr_us,raised_gpu_median_us,raised_gpu_max_us,raised_gpu_iqr_us,headline_statistic
mtop_iso_elasticity_dfem_2d,mfem_app_mtop_iso_elasticity_dfem_2d,1024,16,111,37,true,true,5,5,20,957.248004852,369091.935994220,20071.423990885,385.576082816,20.967841029,5.5511151231257827e-17,PASS,not rerun for derived application path,1072.607999958,1150.592011982,116.751994938,380642.223994073,412699.295993662,15199.376008241,25109.775997407,27582.528011408,1044.752003508,minimum_of_retained_legacy_campaign_samples
dfem_minimal_surface_2d,mfem_app_dfem_minimal_surface_2d,1024,8,57,19,true,true,5,5,20,609.631999396,183641.312003601,8723.392005777,301.233058936,14.309275127,6.9388939039072284e-18,PASS,not rerun for derived application path,643.375991785,678.527998389,32.864001696,188261.920004152,212413.343993830,1962.320005986,10050.719996797,11842.335996334,1402.831992892,minimum_of_retained_legacy_campaign_samples
ex35p_h1_3d,mfem_app_ex35p_h1_3d,1024,19,129,43,true,true,5,5,20,4071.168004884,1968542.591988808,52201.824000804,483.532634769,12.822321245,1.3877787807814457e-17,PASS,not rerun for derived application path,4162.511999312,4243.807998137,50.480004574,2057188.639992091,2246530.591990449,123940.800011042,76320.383996063,84754.367999267,17193.711995788,minimum_of_retained_legacy_campaign_samples
ex35p_hcurl_3d,mfem_app_ex35p_hcurl_3d,1024,29,195,65,true,true,5,5,20,34207.168006105,2575142.239991692,155685.824007378,75.280778565,4.551263173,8.3266726846886741e-17,PASS,not rerun for derived application path,34462.880001229,34694.624002441,117.503986985,2616216.528003860,2833317.119991989,86352.335987613,209384.415997192,250129.024003400,46880.144007445,minimum_of_retained_legacy_campaign_samples
ex35p_hdiv_3d,mfem_app_ex35p_hdiv_3d,1024,12,84,28,true,true,5,5,20,23403.168001096,959963.232002337,88732.128002448,41.018516466,3.791457977,8.3266726846886741e-17,PASS,not rerun for derived application path,23528.400008217,24068.896003882,134.912006615,966668.160006521,1097942.463995423,25253.744002840,102183.119997790,109794.528005295,7992.559992999,minimum_of_retained_legacy_campaign_samples
ex9p_mass_convection_2d,mfem_app_ex9p_mass_convection_2d,1024,10,78,26,true,true,5,5,20,387.680003769,192543.487995863,8241.087998613,496.655711215,21.257449233,1.3877787807814457e-17,PASS,not rerun for derived application path,420.512005803,454.111999716,26.735993742,194924.800001900,212727.680001990,5126.048003149,9862.576000160,11740.352012566,582.480002777,minimum_of_retained_legacy_campaign_samples
grad_div_3d,mfem_app_grad_div_3d,1024,12,84,28,true,true,5,5,20,23416.511990945,973284.735999187,89110.623986926,41.564035514,3.805461036,8.3266726846886741e-17,PASS,not rerun for derived application path,23556.224005006,23874.335995060,123.535995954,984732.656012057,1079802.399995970,22947.728008148,102140.463997785,106545.503993402,10673.232005502,minimum_of_retained_legacy_campaign_samples
abs_l1_mass_3d,mfem_app_abs_l1_mass_3d,1024,5,36,12,true,true,5,5,20,828.607997391,562768.064002739,10994.240001310,679.172860719,13.268324752,1.3877787807814457e-17,PASS,not rerun for derived application path,880.735991814,929.536006879,27.024005249,604126.704012742,644367.360000615,41785.919987888,15049.775996885,17831.648001447,1080.608002667,minimum_of_retained_legacy_campaign_samples
abs_l1_diffusion_3d,mfem_app_abs_l1_diffusion_3d,1024,14,96,32,true,true,5,5,20,3255.200004787,1427075.008003158,37043.295989861,438.398564114,11.379729643,6.9388939039072284e-18,PASS,not rerun for derived application path,3365.903998201,3895.935995388,81.824000517,1443942.192003306,1599580.095993588,16939.424000157,66179.647998070,116307.616000995,15417.711991177,minimum_of_retained_legacy_campaign_samples
abs_l1_curlcurl_3d,mfem_app_abs_l1_curlcurl_3d,1024,29,195,65,true,true,5,5,20,34288.319991902,2599389.888011501,163415.679999162,75.809776875,4.765928457,8.3266726846886741e-17,PASS,not rerun for derived application path,34603.727996000,35047.872006544,214.015992243,2695348.927991290,2855445.599998347,137800.479991711,212608.064000960,252691.615998629,46970.463998150,minimum_of_retained_legacy_campaign_samples
navier_tgv_pa_operators_3d,mfem_app_navier_tgv_pa_operators_3d,1024,130,1029,343,true,true,5,5,20,488464.000009117,13898246.304001078,592665.247997502,28.452959284,1.213324315,8.3266726846886741e-17,PASS,not rerun for derived application path,489885.695998964,490269.664005609,369.488006981,14091940.080004860,15133155.711999279,239922.384003874,629262.399990694,697907.776004286,27317.840002070,minimum_of_retained_legacy_campaign_samples
