semantic_id,normalized_id,family,dimension,operation,upstream_file,upstream_symbol,matcher_ok,matched_region_count,matcher_body_count,external_launch_count,external_symbols,residual_linalg_ops,debufferized_ir_sha256,matcher_sha256,notes
interp_value_2d,interp_value_2d_scratch_sliced,sum_factorization,2,interpolate_value,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_2d,true,2,2,2,cutensornetContraction2_f64,4,8337441f276c79cb2b78d0ffca669d6dcd59208b8069b68c13f038b9f4ca9fd9,2a1093d23a256bc4c303e8ecaf8cad88c4ddcec747d77b09dd5d5584f097fcf8,fixed matcher over retained debufferized IR; raising not regenerated
interp_value_3d,interp_value_3d_scratch_sliced,sum_factorization,3,interpolate_value,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_3d,true,3,3,3,cutensornetContraction2_f64,6,ac0a413032d74bcace3cf0e3cc869210107166e261cf79e0f1bb105c3ca6cc0c,2a1093d23a256bc4c303e8ecaf8cad88c4ddcec747d77b09dd5d5584f097fcf8,fixed matcher over retained debufferized IR; raising not regenerated
integrate_value_2d,integrate_value_2d_scratch_sliced,sum_factorization,2,integrate_value,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_2d,true,1,2,1,cutensornetContraction2_f64,4,0c9710ddf53bd35c1253a4e8ffd66a47a8af8535266f16a700f41ba6241d6bd2,2a1093d23a256bc4c303e8ecaf8cad88c4ddcec747d77b09dd5d5584f097fcf8,fixed matcher over retained debufferized IR; raising not regenerated
integrate_value_3d,integrate_value_3d_scratch_sliced,sum_factorization,3,integrate_value,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_3d,true,2,3,2,cutensornetContraction2_f64,6,4cfb44091e53f640ac51ed866357224d85eadffe3d67938691aff78dfd39c0cd,2a1093d23a256bc4c303e8ecaf8cad88c4ddcec747d77b09dd5d5584f097fcf8,fixed matcher over retained debufferized IR; raising not regenerated
mass_apply_2d,mass_apply_2d_stage_sliced,partial_assembly,2,mass_apply,fem/integ/bilininteg_mass_kernels.hpp,PAMassApply2D_Element,true,3,5,3,cutensornetContraction2_f64,10,c3be379bdabfb58a5f8dc3b9b41a7c0844f93c87c2b72b5d44ec381e29570113,2a1093d23a256bc4c303e8ecaf8cad88c4ddcec747d77b09dd5d5584f097fcf8,fixed matcher over retained debufferized IR; raising not regenerated
mass_apply_3d,mass_apply_3d_stage_sliced,partial_assembly,3,mass_apply,fem/integ/bilininteg_mass_kernels.hpp,PAMassApply3D_Element,true,5,7,5,cutensornetContraction2_f64,14,54f650f967f21abdb745ad87919ae2828f593b40073db49b3a7d7c1a9bd77c15,2a1093d23a256bc4c303e8ecaf8cad88c4ddcec747d77b09dd5d5584f097fcf8,fixed matcher over retained debufferized IR; raising not regenerated
interp_grad_2d,interp_grad_2d_stage_sliced,sum_factorization,2,interpolate_gradient,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_2d,true,4,4,4,cutensornetContraction2_f64,8,6321d4fbfc7a62123ee830956b9ccc282b9527b4eb786d6c108bbe3d77699a7c,2a1093d23a256bc4c303e8ecaf8cad88c4ddcec747d77b09dd5d5584f097fcf8,fixed matcher over retained debufferized IR; raising not regenerated
interp_grad_3d,interp_grad_3d_stage_sliced,sum_factorization,3,interpolate_gradient,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_3d,true,8,8,8,cutensornetContraction2_f64,16,04ecf2f5f3f3925606b134219ebf291e0822d4db46005e1db1f08fbae2ad6ee3,2a1093d23a256bc4c303e8ecaf8cad88c4ddcec747d77b09dd5d5584f097fcf8,fixed matcher over retained debufferized IR; raising not regenerated
integrate_grad_2d,integrate_grad_2d_stage_sliced,sum_factorization,2,integrate_gradient,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_2d,true,4,5,4,cutensornetContraction2_f64,10,ab05a793e22b4e0186981adabed4ce3859df0706a9303ba31cd5bd6413605eda,2a1093d23a256bc4c303e8ecaf8cad88c4ddcec747d77b09dd5d5584f097fcf8,fixed matcher over retained debufferized IR; raising not regenerated
integrate_grad_3d,integrate_grad_3d_stage_sliced,sum_factorization,3,integrate_gradient,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_3d,true,9,10,9,cutensornetContraction2_f64,20,183892aa32755cda0ff23b4445dc53bfa169645ea717eb52432bcd8ca9aa40f0,2a1093d23a256bc4c303e8ecaf8cad88c4ddcec747d77b09dd5d5584f097fcf8,fixed matcher over retained debufferized IR; raising not regenerated
diffusion_apply_2d,diffusion_apply_2d_stage_sliced,partial_assembly,2,diffusion_apply_symmetric,fem/integ/bilininteg_diffusion_kernels.hpp,PADiffusionApply2D,true,6,11,6,cutensornetContraction2_f64,22,b95a3c02be00d94e69c11667819dabc35e4f4c4f307e939e1dd79b17ea2ac1c6,2a1093d23a256bc4c303e8ecaf8cad88c4ddcec747d77b09dd5d5584f097fcf8,fixed matcher over retained debufferized IR; raising not regenerated
