kernel,implementation,ne,processes,samples_per_process,median_of_process_medians_us,q1_process_medians_us,q3_process_medians_us,iqr_process_medians_us,min_sample_us,max_sample_us,process_medians_us
convection_apply_2d,mfem_native_cuda,1024,5,20,47.296,46.976,47.456,0.480000000000004,45.472,52.032,47.296000000;48.528000000;46.976000000;47.456000000;46.528000000
convection_apply_3d,mfem_native_cuda,1024,5,20,186.48000000000002,186.352,186.688,0.3359999999999843,183.68,196.736,186.480000000;187.536000000;186.352000000;186.128000000;186.688000000
curlcurl_apply_2d,mfem_native_cuda,1024,5,20,144.784,144.576,144.816,0.2400000000000091,141.696,150.528,144.576000000;144.784000000;144.816000000;145.680000000;144.256000000
curlcurl_apply_3d,mfem_native_cuda,1024,5,20,16961.775999999998,16960.591999999997,16961.824,1.2320000000036089,16954.112,16968.384,16961.776000000;16960.592000000;16963.344000000;16959.856000000;16961.824000000
diffusion_apply_2d,mfem_native_cuda,1024,5,20,57.6,57.424,58.16,0.7359999999999971,54.976,61.856,57.424000000;58.304000000;56.864000000;58.160000000;57.600000000
diffusion_apply_3d,mfem_native_cuda,1024,5,20,306.432,306.384,307.03999999999996,0.6559999999999491,303.584,313.056,306.384000000;307.040000000;305.504000000;306.432000000;308.032000000
divdiv_apply_2d,mfem_native_cuda,1024,5,20,144.56,143.744,144.88,1.1359999999999957,140.96,157.984,144.880000000;145.904000000;144.560000000;143.456000000;143.744000000
divdiv_apply_3d,mfem_native_cuda,1024,5,20,974.512,968.1600000000001,980.48,12.319999999999936,956.96,1018.624,967.472000000;988.896000000;980.480000000;968.160000000;974.512000000
integrate_grad_2d,mfem_native_cuda,1024,5,20,44.879999999999995,43.888,45.056,1.1679999999999993,42.368,51.136,45.056000000;43.632000000;44.880000000;43.888000000;45.552000000
integrate_grad_3d,mfem_native_cuda,1024,5,20,174.144,173.632,174.144,0.5120000000000005,171.872,177.984,173.472000000;174.144000000;174.144000000;174.384000000;173.632000000
integrate_value_2d,mfem_native_cuda,1024,5,20,36.656,36.592,36.751999999999995,0.1599999999999966,34.272,39.808,36.656000000;36.592000000;36.784000000;36.000000000;36.752000000
interp_grad_2d,mfem_native_cuda,1024,5,20,39.872,39.80800000000001,40.64,0.8319999999999936,37.984,184.832,39.808000000;39.792000000;40.640000000;41.696000000;39.872000000
interp_grad_3d,mfem_native_cuda,1024,5,20,128.608,127.504,130.672,3.167999999999992,125.248,155.424,127.232000000;130.672000000;128.608000000;127.504000000;131.408000000
interp_value_2d,mfem_native_cuda,1024,5,20,33.44,33.424,33.584,0.1600000000000037,31.52,73.472,35.072000000;33.584000000;33.424000000;33.440000000;32.640000000
interp_value_3d,mfem_native_cuda,1024,5,20,65.328,65.072,65.536,0.46399999999999864,62.816,70.816,67.008000000;64.352000000;65.536000000;65.072000000;65.328000000
mass_apply_2d,mfem_native_cuda,1024,5,20,42.367999999999995,41.344,42.736000000000004,1.392000000000003,38.336,49.984,42.368000000;42.736000000;41.344000000;41.344000000;43.664000000
mass_apply_3d,mfem_native_cuda,1024,5,20,138.752,138.304,139.44,1.1359999999999957,136.48,147.712,140.816000000;138.752000000;139.440000000;137.856000000;138.304000000
