kernel,validated_sites,vanilla_cpu_ms,vanilla_cpu_median_ms,vanilla_cpu_max_ms,vanilla_cpu_iqr_ms,raised_cpu_ms,raised_cpu_median_ms,raised_cpu_max_ms,raised_cpu_iqr_ms,raised_gpu_ms,raised_gpu_median_ms,raised_gpu_max_ms,raised_gpu_iqr_ms,native_mfem_gpu_ms,native_mfem_gpu_median_ms,native_mfem_gpu_max_ms,native_mfem_gpu_iqr_ms,raised_cpu_slowdown_vs_vanilla,raised_gpu_slowdown_vs_vanilla,raised_gpu_slowdown_vs_native_mfem,processes,samples_per_process,headline_statistic,correctness,notes
convection_apply_2d,5,0.342303989,0.343840002,0.361792001,0.001520006,113.027328000,116.070976001,131.483263991,7.657519993,3.925919998,5.441200003,7.139776004,0.542176000,0.045472000,0.047616000,0.052032000,0.002624000,330.195766552,11.469103855,86.337086524,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
convection_apply_3d,10,2.768992010,2.833967999,3.144415998,0.036464000,1068.762431998,1149.065600002,1237.717759999,97.837024005,23.145343992,34.789967998,38.189280007,3.169759992,0.183680000,0.186624000,0.196736000,0.002992000,385.975267611,8.358761567,126.009059190,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
curlcurl_apply_2d,5,0.336928002,0.338639999,0.352160001,0.001967994,91.978943994,93.873200007,104.206207994,2.334656005,3.826815999,4.829120007,5.890912013,0.361647995,0.141696000,0.144752000,0.150528000,0.002592000,272.992875121,11.357963646,27.007226730,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
curlcurl_apply_3d,29,8.270783990,8.439536003,8.774144007,0.130159999,2499.605568009,2592.888640000,2866.780800003,148.145888001,78.003168004,145.606831997,212.867263996,42.031327997,16.954112000,16.961632000,16.968384000,0.003760000,302.221116037,9.431169778,4.600840669,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
diffusion_apply_2d,6,0.436607996,0.438415998,0.469920007,0.001871995,136.880928010,140.025071996,160.482911990,3.394207990,5.858112010,7.320976001,9.874655996,0.780367991,0.054976000,0.057648000,0.061856000,0.002864000,313.509897604,13.417326454,106.557625331,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
diffusion_apply_3d,14,4.475680005,4.549599995,4.726911997,0.053696000,1472.296927997,1557.466367994,1642.789536010,101.075519990,36.243231996,64.442784002,101.532800007,13.774175990,0.303584000,0.306736000,0.313056000,0.002992000,328.954913279,8.097815741,119.384526181,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
divdiv_apply_2d,6,0.336575991,0.338080004,0.483487995,0.001535991,109.069056009,110.564896000,128.700352012,9.111583997,5.038368006,6.554719999,8.942528002,0.791567996,0.140960000,0.144528000,0.157984000,0.002816000,324.054771722,14.969481298,35.743246356,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
divdiv_apply_3d,12,3.049535997,3.163488000,3.272479997,0.069775997,894.832959995,952.002384001,1041.317664000,48.194991992,30.317311990,42.082831998,47.241920009,9.824175999,0.956960000,0.976192000,1.018624000,0.017520000,293.432496249,9.941614731,31.680856034,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
integrate_grad_2d,4,0.123200007,0.125760002,0.140991993,0.000608008,92.671712002,93.054864003,98.109440005,0.766399986,3.131935999,4.868592005,5.255711993,0.321839994,0.042368000,0.044736000,0.051136000,0.002736000,752.205413147,25.421557031,73.922205407,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
integrate_grad_3d,9,1.542687998,1.616176000,1.817247990,0.049056005,947.240832000,949.514512002,1093.207104001,3.826640008,15.076800002,26.095295994,41.173536010,3.060575989,0.171872000,0.174144000,0.177984000,0.002720000,614.019706599,9.773071431,87.721094781,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
integrate_value_2d,1,0.065151995,0.065247994,0.082047991,0.000064007,26.413471991,27.324447998,28.696512003,0.867343995,0.649055990,0.817248001,1.031519991,0.058031997,0.034272000,0.036576000,0.039808000,0.002304000,405.413096230,9.962181367,18.938375056,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
interp_grad_2d,4,0.201663992,0.202080002,0.220032001,0.000128013,96.898048010,102.459152004,106.608448012,3.725328002,3.059391995,3.328015999,3.888863997,0.112416004,0.037984000,0.040416000,0.184832000,0.002768000,480.492561395,15.170740030,80.544229007,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
interp_grad_3d,8,2.363808002,2.405599997,2.566719995,0.029151997,868.021023998,872.578944000,1032.960416007,7.884816005,17.710879998,20.504448003,27.381184002,2.719839998,0.125248000,0.129056000,0.155424000,0.003408000,367.212998379,7.492520536,141.406489509,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
interp_value_2d,2,0.103359998,0.103519997,0.124351995,0.000143991,47.429056009,48.926879994,53.043808002,1.983855997,1.181536005,1.399280001,1.641632000,0.108240012,0.031520000,0.033840000,0.073472000,0.002944000,458.872453363,11.431269583,37.485279343,5,20,minimum_of_100_retained_samples_legacy_campaign,pass,pairwise cuTensorNet; native checksum pass
