id,function,ne,d1d,q1d,iterations,correctness,raised_runtime_us,mfem_native_runtime_us,raised_over_native,raised_checksum,mfem_native_checksum,timing_scope,hardware,raised_runtime_us_before_plan_cache,plan_cache_speedup,measurement_statistic
mass_apply_2d_stage_sliced,mfem_pa_mass_apply_2d_stage_sliced,1024,4,5,20,PASS,1581.183635,37.696000,41.946,-0.019158815000406851,-0.019158815000406504,raised_zero_copy_host_abi_best_of_20_vs_mfem_native_cuda_best_of_20,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,,,median_of_5_process_best_of_20_20260902
mass_apply_3d_stage_sliced,mfem_pa_mass_apply_3d_stage_sliced,1024,4,5,20,PASS,7504.575886,134.944000,55.613,-0.0012516174568921422,-0.0012516174568921769,raised_zero_copy_host_abi_best_of_20_vs_mfem_native_cuda_best_of_20,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,,,median_of_5_process_best_of_20_20260902
diffusion_apply_2d_stage_sliced,mfem_pa_diffusion_apply_2d_stage_sliced,1024,4,5,20,PASS,3375.360277,54.560000,61.865,0.016461057368181872,0.016461057368181962,raised_zero_copy_host_abi_best_of_20_vs_mfem_native_cuda_best_of_20,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,,,median_of_5_process_best_of_20_20260902
diffusion_apply_3d_stage_sliced,mfem_pa_diffusion_apply_3d_stage_sliced,1024,4,5,20,PASS,21615.711972,303.456000,71.232,-0.00038639251911836141,-0.00038639251911810901,raised_zero_copy_host_abi_best_of_20_vs_mfem_native_cuda_best_of_20,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,,,median_of_5_process_best_of_20_20260902
convection_apply_2d_stage_sliced,mfem_pa_convection_apply_2d_stage_sliced,1024,4,5,20,PASS,2489.087638,44.608000,55.799,0.029585614061254373,0.029585614061254803,raised_zero_copy_host_abi_best_of_20_vs_mfem_native_cuda_best_of_20,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,,,median_of_5_process_best_of_20_20260902
convection_apply_3d_stage_sliced,mfem_pa_convection_apply_3d_stage_sliced,1024,4,5,20,PASS,14547.327999,184.000000,79.062,0.0016542800400617588,0.0016542800400617536,raised_zero_copy_host_abi_best_of_20_vs_mfem_native_cuda_best_of_20,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,,,median_of_5_process_best_of_20_20260902
curlcurl_apply_2d_stage_sliced,mfem_pa_curlcurl_apply_2d_stage_sliced,1024,4,5,20,PASS,2688.480075,140.256000,19.168,-5.2516042729766621e-19,2.6342724659608741e-19,raised_zero_copy_host_abi_best_of_20_vs_mfem_native_cuda_best_of_20,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,,,median_of_5_process_best_of_20_20260902
curlcurl_apply_3d_stage_sliced,mfem_pa_curlcurl_apply_3d_stage_sliced,1024,4,5,20,PASS,44269.375969,16956.352000,2.611,1.6290494983619327e-18,3.8364239763515398e-18,raised_zero_copy_host_abi_best_of_20_vs_mfem_native_cuda_best_of_20,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,,,median_of_5_process_best_of_20_20260902
divdiv_apply_2d_stage_sliced,mfem_pa_divdiv_apply_2d_stage_sliced,1024,4,5,20,PASS,2525.087912,140.576000,17.962,0.031956259236681106,0.031956259236681113,raised_zero_copy_host_abi_best_of_20_vs_mfem_native_cuda_best_of_20,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,,,median_of_5_process_best_of_20_20260902
divdiv_apply_3d_stage_sliced,mfem_pa_divdiv_apply_3d_stage_sliced,1024,4,5,20,PASS,17891.392112,959.584000,18.645,0.00023148998240787782,0.00023148998240787706,raised_zero_copy_host_abi_best_of_20_vs_mfem_native_cuda_best_of_20,Jetson_AGX_Orin_sm87_192.168.58.1_CUDA12.6,,,median_of_5_process_best_of_20_20260902
