id,control_runtime_us,persistent_workspace_runtime_us,persistent_workspace_speedup,persistent_change_percent,correctness,status,control_samples_us,persistent_samples_us,measurement_statistic,hardware
mass_apply_2d_stage_sliced,1009.913600,445.836800,2.265209,-55.854,PASS,IMPROVED,1343.7696;1366.832;933.5328;972.6976;1009.9136,571.9808;445.8368;442.856;448.2304;445.776,median_of_5_process_mean_of_20_20260907,Jetson_AGX_Orin_sm87_pva-compiler-orin-1_CUDA12.6
mass_apply_3d_stage_sliced,2675.260800,1886.433600,1.418158,-29.486,PASS,IMPROVED,3054.8928;3053.8304;2615.4496;2642.5248;2675.2608,2261.7104;1899.2384;1886.4336;1885.1536;1883.4112,median_of_5_process_mean_of_20_20260907,Jetson_AGX_Orin_sm87_pva-compiler-orin-1_CUDA12.6
diffusion_apply_2d_stage_sliced,5358.483200,1287.428800,4.162159,-75.974,PASS,IMPROVED,6822.8608;5290.6016;5205.1824;5401.248;5358.4832,1294.5104;1287.4288;1286.3168;1289.7696;1287.104,median_of_5_process_mean_of_20_20260907,Jetson_AGX_Orin_sm87_pva-compiler-orin-1_CUDA12.6
diffusion_apply_3d_stage_sliced,40262.360000,11474.064000,3.508989,-71.502,PASS,IMPROVED,41693.7696;37542.2688;37703.9776;40269.8256;40262.36,12257.9136;11474.064;11392.0784;11407.0624;11484.9968,median_of_5_process_mean_of_20_20260907,Jetson_AGX_Orin_sm87_pva-compiler-orin-1_CUDA12.6
convection_apply_2d_stage_sliced,3580.961600,933.323200,3.836786,-73.937,PASS,IMPROVED,4074.8448;3666.832;3556.0896;3580.9616;3530.608,1414.056;929.4368;928.1632;947.7888;933.3232,median_of_5_process_mean_of_20_20260907,Jetson_AGX_Orin_sm87_pva-compiler-orin-1_CUDA12.6
convection_apply_3d_stage_sliced,21802.476800,5865.216000,3.717250,-73.098,PASS,IMPROVED,24088.8224;21718.3488;21802.4768;21546.7936;26835.1296,9017.3664;5858.3072;5865.216;5854.8672;5882.3296,median_of_5_process_mean_of_20_20260907,Jetson_AGX_Orin_sm87_pva-compiler-orin-1_CUDA12.6
curlcurl_apply_2d_stage_sliced,3293.724800,893.512000,3.686268,-72.872,PASS,IMPROVED,3293.7248;3236.3792;3685.72;3377.7072;3245.4352,893.512;899.4768;892.512;898.088;892.1216,median_of_5_process_mean_of_20_20260907,Jetson_AGX_Orin_sm87_pva-compiler-orin-1_CUDA12.6
curlcurl_apply_3d_stage_sliced,78628.520000,21095.331200,3.727295,-73.171,PASS,IMPROVED,81168.1536;77691.5008;78628.52;82078.3008;78196.8496,21221.0992;21135.1728;21095.3312;21075.056;21059.5664,median_of_5_process_mean_of_20_20260907,Jetson_AGX_Orin_sm87_pva-compiler-orin-1_CUDA12.6
divdiv_apply_2d_stage_sliced,4648.387200,1152.777600,4.032337,-75.200,PASS,IMPROVED,6228.768;4519.2624;4472.6176;4652.544;4648.3872,1354.344;1150.8896;1152.7776;1141.9136;1161.3776,median_of_5_process_mean_of_20_20260907,Jetson_AGX_Orin_sm87_pva-compiler-orin-1_CUDA12.6
divdiv_apply_3d_stage_sliced,22365.361600,7031.176000,3.180885,-68.562,PASS,IMPROVED,24489.8144;23095.2688;21996.1552;22365.3616;22139.1376,9351.8176;7031.176;7020.5936;7029.2304;7038.6048,median_of_5_process_mean_of_20_20260907,Jetson_AGX_Orin_sm87_pva-compiler-orin-1_CUDA12.6
