kernel,dtype,dataset,status,correctness,match_count,matched_calls,e2e_min_ms,device_min_ms,compare_summary,source,source_sha256,matched_mlir,matched_mlir_sha256
2mm,fp32,LARGE,pass,pass,3,cublasSgemm_nn_alpha;cublasSgemm_nn_alpha_beta;memset_zero_2D_f32,10.072640002,10.054304,PASS values=960000 failures=0 max_abs=0.41 max_rel=3.2876352e-05 rtol=0.0005 atol=0.011,tools/cgeist/Test/polybench/linear-algebra/kernels/2mm/2mm.c,3ead555767a84951ca6f7b2cb5dbab2f67c1dc7259ebf781447a0ab37cd63a3c,/mnt/forge1/arpitj/work/polygeist-polybench-large-fp32-normalized/2mm/timing/matched.mlir,756cae647aa7fa84ec06efa47523318a91a9f3c0b4aea260b4b6bef93a8aa238
3mm,fp32,LARGE,pass,pass,3,cublasSgemm_nn,12.735794008,12.71728,PASS values=880000 failures=0 max_abs=0.06 max_rel=3.80792811e-05 rtol=0.0005 atol=0.011,tools/cgeist/Test/polybench/linear-algebra/kernels/3mm/3mm.c,5525bcbb6669580d7973c347920ee6962055bedb8d64527502041aa61787ec83,/mnt/forge1/arpitj/work/polygeist-polybench-large-fp32-normalized/3mm/timing/matched.mlir,8ee3b60792725e6a58819da96824a0c1be4491856d03b11234753093a494f37e
atax,fp32,LARGE,pass,pass,3,cublasSgemv_broadcast2d_zero;memset_zero_1D_f32,1.356378,1.345504,PASS values=2100 failures=0 max_abs=0.19 max_rel=2.53728744e-06 rtol=0.0005 atol=0.011,tools/cgeist/Test/polybench/linear-algebra/kernels/atax/atax.c,f31f15b65b19e7d779c21ea9ad5c017fbb51278a333d9b541b5fa34705525e9b,/mnt/forge1/arpitj/work/polygeist-polybench-large-fp32-preserved2/atax/timing/matched.mlir,df5a44e671b72755b8e26d0d5d943d896579e31b406a474bfff7b89b9bf1b0c6
bicg,fp32,LARGE,pass,pass,3,cublasSgemv_broadcast2d_zero;memset_zero_1D_f32,1.556808,1.546624,PASS values=4000 failures=0 max_abs=0.01 max_rel=2.16708202e-05 rtol=0.0005 atol=0.011,tools/cgeist/Test/polybench/linear-algebra/kernels/bicg/bicg.c,6aaa2ce6e5eac66feaedbf79f2b6d08c8d7ae92b998a71eed96969a0f75fd611,/mnt/forge1/arpitj/work/polygeist-polybench-large-fp32-preserved2/bicg/timing/matched.mlir,f8a01e0ae2f1b30124feb58412a77b91f255c021f73fa21cee3356a557efb5aa
covariance,fp32,LARGE,pass,pass,1,cublasScovarianceRowMajor_memref,1529.142307013,1529.113159,PASS values=1440000 failures=0 max_abs=1.12 max_rel=0.000203956761 rtol=0.0005 atol=0.011,tools/cgeist/Test/polybench/datamining/covariance/covariance.c,cb87cdbc44548b7108e1e31830e8ec454f57672bfb711eb4f9bf1fdbe914dc60,/mnt/forge1/arpitj/work/polygeist-polybench-large-fp32-preserved/covariance/timing/matched.mlir,cbd30b81103511a56631521b186a3898bd59f290fcd52eb81d6d8f806d95bb2c
doitgen,fp32,LARGE,pass,pass,2,cublasSgemvTZero_memref;cudaCopy1D_f32_memref,942.133244008,942.107544,PASS values=3360000 failures=0 max_abs=0.01 max_rel=0.000337609723 rtol=0.0005 atol=0.011,tools/cgeist/Test/polybench/linear-algebra/kernels/doitgen/doitgen.c,1bec9dd1f67ac9f4ec68235d93eb9e5c91c74745a83f9cae665a5ff905cd3efb,/mnt/forge1/arpitj/work/polygeist-polybench-large-fp32-doitgen-offset/doitgen/timing/matched.mlir,7f97d748ac90b7452b2b5f21468b84a9d4c8d303949bfd8fd04665000ee14042
gemm,fp32,LARGE,pass,pass,1,cublasSgemm_nn_alpha_beta,4.484483004,4.466688,PASS values=1100000 failures=0 max_abs=0.01 max_rel=4.45434298e-05 rtol=0.0005 atol=0.011,tools/cgeist/Test/polybench/linear-algebra/blas/gemm/gemm.c,1a3b5a3190c8267deb3ef8b821359309596dcf7321ec9943e82ba64db4a8c75f,/mnt/forge1/arpitj/work/polygeist-polybench-large-fp32-normalized/gemm/timing/matched.mlir,c5aebb1122b0b9e6e88671e2bb5a475b9916ea21078621b20c6a1862b10bee41
gemver,fp32,LARGE,pass,pass,4,cublasSaxpby_memref;cublasSgemv_alpha_T_memref;cublasSgemv_alpha_memref;cublasSger_rank2_memref,3.304111004,3.288288,PASS values=2000 failures=0 max_abs=28672 max_rel=1.84897252e-06 rtol=0.0005 atol=0.011,tools/cgeist/Test/polybench/linear-algebra/blas/gemver/gemver.c,e7e367cdd0bf698f4c706d93d16fa1c0c5568cd1e7e64aaee5698f133cbfb11a,/mnt/forge1/arpitj/work/polygeist-polybench-large-fp32-normalized/gemver/timing/matched.mlir,519c54b942ca1c917d00986ae051518b9be5aae5631820a695583a7e5499ca4c
gesummv,fp32,LARGE,pass,pass,4,cublasSaxpby;cublasSgemv_broadcast2d_zero;memset_zero_1D_f32,0.922452,0.910944,PASS values=1300 failures=0 max_abs=0.01 max_rel=1.15380178e-05 rtol=0.0005 atol=0.011,tools/cgeist/Test/polybench/linear-algebra/blas/gesummv/gesummv.c,46493c405f7d8382ebc08d11bb44747b2c7cb7d89139973d19e4e7605d90b7e2,/mnt/forge1/arpitj/work/polygeist-polybench-large-fp32-preserved2/gesummv/timing/matched.mlir,a83c121ad87f05c316aa4ba5ab00153bffcfdccff8fc3dcd80cdc3a6c05848c6
mvt,fp32,LARGE,pass,pass,2,cublasSgemv_broadcast2d,1.30963999,1.284192,PASS values=4000 failures=0 max_abs=0.01 max_rel=2.1360675e-05 rtol=0.0005 atol=0.011,tools/cgeist/Test/polybench/linear-algebra/kernels/mvt/mvt.c,ee5d97f3e6acfcd655a3caa25bf58e382a38c4e5a259c743e373358407607a0e,/mnt/forge1/arpitj/work/polygeist-polybench-large-fp32-preserved2/mvt/timing/matched.mlir,63874d69acf41e1c65e7679fb0cf15cd73f753b01378855f10fd80cd384abd47
