phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,45.318047,45.299744,13.733856,125.561632,28
warmup,1,1.372704,1.361760,12.538368,14.409792,28
warmup,2,1.365760,1.356096,12.435072,14.317664,28
warmup,3,1.362304,1.352800,12.152160,14.031168,28
warmup,4,1.348064,1.338016,12.397536,14.338752,28
sample,0,1.350208,1.341472,12.200480,14.167264,28
sample,1,1.369664,1.359488,12.389472,14.268544,28
sample,2,1.344544,1.335392,12.319392,14.192128,28
sample,3,1.397632,1.388544,12.410848,14.327872,28
sample,4,1.373280,1.364224,12.446560,14.332288,28
