2mm,0,3,cublasDgemm+cublasDgemm_alpha_only+memset_zero_2D,2026-09-05T14:03:59-07:00,2026-09-05T14:04:00-07:00
3mm,0,3,cutensornetContraction2_f64,2026-09-05T14:04:00-07:00,2026-09-05T14:04:01-07:00
adi,unavailable,0,,residual_not_correct
atax,0,4,cublasDgemv+cublasDgemv_T+memset_zero_1D,2026-09-05T14:04:01-07:00,2026-09-05T14:04:02-07:00
bicg,0,4,cublasDgemv+cublasDgemv_T+memset_zero_1D,2026-09-05T14:04:02-07:00,2026-09-05T14:04:03-07:00
cholesky,0,0,,2026-09-05T14:04:03-07:00,2026-09-05T14:04:04-07:00
correlation,unavailable,0,,residual_not_correct
covariance,0,1,memset_zero_1D,2026-09-05T14:04:04-07:00,2026-09-05T14:04:05-07:00
deriche,0,3,memset_zero_1D,2026-09-05T14:04:05-07:00,2026-09-05T14:04:06-07:00
doitgen,0,2,cublasDgemv_T+memset_zero_1D,2026-09-05T14:04:06-07:00,2026-09-05T14:04:06-07:00
durbin,unavailable,0,,residual_not_correct
fdtd-2d,0,0,,2026-09-05T14:04:06-07:00,2026-09-05T14:04:07-07:00
floyd-warshall,0,0,,2026-09-05T14:04:07-07:00,2026-09-05T14:04:08-07:00
gemm,0,1,cublasDgemm,2026-09-05T14:04:08-07:00,2026-09-05T14:04:09-07:00
gemver,0,4,cublasDaxpby+cublasDgemv_alpha+cublasDger_rank2,2026-09-05T14:04:09-07:00,2026-09-05T14:04:10-07:00
gesummv,0,5,cublasDaxpby+cublasDgemv+memset_zero_1D,2026-09-05T14:04:10-07:00,2026-09-05T14:04:11-07:00
gramschmidt,0,1,cublasDgemv_T,2026-09-05T14:04:11-07:00,2026-09-05T14:04:12-07:00
heat-3d,0,0,,2026-09-05T14:04:12-07:00,2026-09-05T14:04:12-07:00
jacobi-1d,0,0,,2026-09-05T14:04:12-07:00,2026-09-05T14:04:13-07:00
jacobi-2d,0,0,,2026-09-05T14:04:13-07:00,2026-09-05T14:04:14-07:00
lu,0,0,,2026-09-05T14:04:14-07:00,2026-09-05T14:04:15-07:00
ludcmp,unavailable,0,,residual_not_correct
mvt,0,2,cublasDgemv+cublasDgemv_T,2026-09-05T14:04:15-07:00,2026-09-05T14:04:16-07:00
nussinov,unavailable,0,,residual_not_correct
seidel-2d,unavailable,0,,residual_not_correct
symm,0,0,,2026-09-05T14:04:16-07:00,2026-09-05T14:04:16-07:00
syr2k,0,0,,2026-09-05T14:04:16-07:00,2026-09-05T14:04:17-07:00
syrk,0,0,,2026-09-05T14:04:17-07:00,2026-09-05T14:04:18-07:00
trisolv,0,0,,2026-09-05T14:04:18-07:00,2026-09-05T14:04:18-07:00
trmm,0,0,,2026-09-05T14:04:18-07:00,2026-09-05T14:04:19-07:00
