kernel,configuration,status,build_rc,samples,cpu,threads
2mm,native_clang18_noinline,pass,0,5,21,1
3mm,native_clang18_noinline,pass,0,5,21,1
adi,native_clang18_noinline,pass,0,5,21,1
atax,native_clang18_noinline,pass,0,5,21,1
bicg,native_clang18_noinline,pass,0,5,21,1
cholesky,native_clang18_noinline,pass,0,5,21,1
correlation,native_clang18_noinline,pass,0,5,21,1
covariance,native_clang18_noinline,pass,0,5,21,1
deriche,native_clang18_noinline,pass,0,5,21,1
doitgen,native_clang18_noinline,pass,0,5,21,1
durbin,native_clang18_noinline,pass,0,5,21,1
fdtd-2d,native_clang18_noinline,pass,0,5,21,1
floyd-warshall,native_clang18_noinline,pass,0,5,21,1
gemm,native_clang18_noinline,pass,0,5,21,1
gemver,native_clang18_noinline,pass,0,5,21,1
gesummv,native_clang18_noinline,pass,0,5,21,1
gramschmidt,native_clang18_noinline,pass,0,5,21,1
heat-3d,native_clang18_noinline,pass,0,5,21,1
jacobi-1d,native_clang18_noinline,pass,0,5,21,1
jacobi-2d,native_clang18_noinline,pass,0,5,21,1
lu,native_clang18_noinline,pass,0,5,21,1
ludcmp,native_clang18_noinline,pass,0,5,21,1
mvt,native_clang18_noinline,pass,0,5,21,1
nussinov,native_clang18_noinline,pass,0,5,21,1
seidel-2d,native_clang18_noinline,pass,0,5,21,1
symm,native_clang18_noinline,pass,0,5,21,1
syr2k,native_clang18_noinline,pass,0,5,21,1
syrk,native_clang18_noinline,pass,0,5,21,1
trisolv,native_clang18_noinline,pass,0,5,21,1
trmm,native_clang18_noinline,pass,0,5,21,1
