phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,127.223198,127.204544,33.169056,226.825856,44
warmup,1,94.166595,94.157344,32.612928,127.361664,44
warmup,2,94.774780,94.763744,30.820448,126.111264,44
warmup,3,94.061600,94.052672,30.474816,125.079104,44
warmup,4,94.234718,94.223872,30.685600,125.468192,44
sample,0,94.228897,94.220448,30.776224,125.690624,44
sample,1,94.324959,94.315456,30.568384,125.579744,44
sample,2,94.211586,94.201664,30.307904,125.059872,44
sample,3,94.299843,94.289536,30.138272,125.136384,44
sample,4,94.298943,94.290336,30.057728,124.884864,44
