phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,78.636223,78.619808,33.888160,178.876448,44
warmup,1,48.993153,48.983296,32.450432,82.017888,44
warmup,2,48.942783,48.933440,29.950176,79.530528,44
warmup,3,48.980000,48.968672,30.205056,79.714208,44
warmup,4,48.954784,48.945024,30.131968,79.733728,44
sample,0,48.919712,48.909536,30.138656,79.605888,44
sample,1,48.959202,48.948064,30.122080,79.605184,44
sample,2,48.998081,48.987040,29.890208,79.438624,44
sample,3,48.927425,48.917088,29.294784,78.775232,44
sample,4,48.923615,48.913664,29.557696,79.028192,44
