phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,37.259998,37.245312,26.413631,129.513184,36
warmup,1,0.591392,0.583744,26.284352,27.440192,36
warmup,2,0.592352,0.582624,25.169887,26.342464,36
warmup,3,0.592320,0.584928,26.538913,27.677504,36
warmup,4,0.582336,0.575232,25.208193,26.355232,36
sample,0,0.597984,0.587936,25.499232,26.596000,36
sample,1,0.600512,0.590848,25.978816,27.107200,36
sample,2,0.594016,0.584288,25.258208,26.394144,36
sample,3,0.594080,0.586560,25.184000,26.298912,36
sample,4,0.592672,0.582656,25.174272,26.388640,36
