phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,36.939167,36.925408,25.632768,124.972768,44
warmup,1,0.581440,0.571744,23.027488,24.149440,44
warmup,2,0.608864,0.598848,23.091488,24.251104,44
warmup,3,0.602752,0.593184,23.138016,24.038432,44
warmup,4,0.586304,0.578144,23.405792,24.281280,44
sample,0,0.889376,0.584224,22.378720,23.781120,44
sample,1,0.874336,0.584928,22.229440,23.619328,44
sample,2,0.926144,0.914688,22.965504,24.378016,44
sample,3,0.576736,0.568928,23.186848,23.978720,44
sample,4,0.596736,0.589184,23.733952,24.600704,44
