phase,index,compute_device_ms,library_region_host_ms,e2e_host_ms,markers
warmup,0,535.673523,541.370944,619.797696,1
warmup,1,520.871826,526.100544,530.797792,1
warmup,2,520.326965,525.567456,530.261152,1
warmup,3,520.000977,525.206432,529.882272,1
warmup,4,520.477661,525.674560,530.392128,1
sample,0,520.839355,526.000832,530.688032,1
sample,1,520.398315,525.544384,530.254496,1
sample,2,520.794128,525.936224,530.597760,1
sample,3,520.483276,525.572640,530.203776,1
sample,4,520.298523,525.358464,530.020608,1
