phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,348.210236,348.194816,25.936320,440.778080,36
warmup,1,310.777130,310.763648,24.298400,335.613536,36
warmup,2,306.087708,306.073792,20.371808,326.982400,36
warmup,3,315.640808,315.628768,19.912448,336.071232,36
warmup,4,309.454041,309.445824,19.836896,329.795904,36
sample,0,315.950562,315.939328,19.849504,336.315936,36
sample,1,315.176270,315.164928,19.945344,335.643712,36
sample,2,306.372864,306.364224,19.866400,326.728160,36
sample,3,318.835052,318.823392,19.909216,339.232160,36
sample,4,314.718994,314.709216,19.620704,334.853408,36
