phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,165.167648,165.140032,24.770271,255.066016,28
warmup,1,128.506592,128.494336,24.366528,153.430080,28
warmup,2,128.702789,128.693440,20.169376,149.358720,28
warmup,3,128.301895,128.291264,20.226400,149.006848,28
warmup,4,128.234879,128.218048,20.231552,148.941600,28
sample,0,128.343811,128.334592,20.345312,149.188416,28
sample,1,128.239166,128.228032,20.332128,149.111296,28
sample,2,128.439514,128.425472,20.206816,149.124640,28
sample,3,128.429794,128.419264,20.546752,149.461536,28
sample,4,129.067429,129.055488,21.035488,150.606752,28
