phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,1019.807129,1019.788064,14.903136,1102.087008,28
warmup,1,1003.576477,1003.562432,13.714048,1017.850752,28
warmup,2,897.114197,897.103776,12.346752,909.995488,28
warmup,3,825.838867,825.829440,12.260736,838.624800,28
warmup,4,817.080322,817.069024,12.264640,829.869792,28
sample,0,827.211548,827.200896,12.219136,839.952352,28
sample,1,818.393494,818.383392,12.277568,831.213504,28
sample,2,822.029358,822.019584,12.194240,834.724256,28
sample,3,823.626526,823.616192,12.302496,836.465440,28
sample,4,819.041260,819.032224,12.188896,831.735456,28
