phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,103.177956,103.151776,24.777632,195.318272,28
warmup,1,71.730240,71.716864,23.669409,95.971840,28
warmup,2,71.513245,71.498912,23.405696,95.469472,28
warmup,3,71.340767,71.328896,23.308704,95.162624,28
warmup,4,71.605629,71.590432,23.314496,95.426176,28
sample,0,71.409599,71.396992,23.157920,95.085344,28
sample,1,71.735580,71.723904,23.088896,95.347328,28
sample,2,71.263809,71.250464,22.901729,94.678048,28
sample,3,71.664803,71.652960,22.611200,94.744512,28
sample,4,71.767296,71.754528,22.376576,94.612800,28
