phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,40.581665,40.568704,17.001281,124.868192,76
warmup,1,15.076928,15.068864,16.423904,32.114464,76
warmup,2,15.086400,15.078432,14.661376,30.369472,76
warmup,3,15.076256,15.067200,14.603360,30.269696,76
warmup,4,15.092800,15.082784,14.504640,30.239616,76
sample,0,15.073344,15.064192,14.532032,30.262496,76
sample,1,15.085152,15.077376,14.565248,30.243424,76
sample,2,15.102144,15.093184,14.407648,30.096096,76
sample,3,15.091168,15.084064,14.472064,30.173888,76
sample,4,15.107520,15.098592,14.418464,30.096928,76
