phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,34.216351,34.200896,16.703296,117.082304,44
warmup,1,0.449664,0.442528,14.455680,15.486112,44
warmup,2,0.447008,0.439040,12.786944,13.805024,44
warmup,3,0.443328,0.435872,12.469760,13.467008,44
warmup,4,0.451584,0.443776,12.463680,13.471552,44
sample,0,0.442880,0.435744,12.624160,13.615808,44
sample,1,0.448512,0.440480,12.289088,13.341824,44
sample,2,0.448288,0.440096,12.308928,13.283392,44
sample,3,0.440224,0.433088,12.267360,13.251008,44
sample,4,0.445472,0.437952,12.132416,13.152288,44
