phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,37.286144,37.101472,16.350559,121.032576,44
warmup,1,0.991552,0.807360,15.778944,17.338784,44
warmup,2,0.990720,0.805568,13.846016,15.424768,44
warmup,3,0.950976,0.765408,14.093472,15.611808,44
warmup,4,0.959136,0.772992,14.050048,15.591680,44
sample,0,0.950624,0.765440,13.921120,15.470944,44
sample,1,0.977696,0.793152,13.800864,15.361344,44
sample,2,0.973568,0.788352,13.715584,15.237504,44
sample,3,0.991008,0.804512,13.699776,15.280160,44
sample,4,0.999584,0.814784,13.810848,15.364672,44
