phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,98.990112,98.979136,23.612992,189.402048,28
warmup,1,96.007553,95.997568,22.555168,119.121440,28
warmup,2,95.552094,95.540800,22.549088,118.668256,28
warmup,3,95.592125,95.582176,22.553888,118.674432,28
warmup,4,96.438812,96.429184,22.553439,119.554848,28
sample,0,96.484924,96.474688,22.040512,119.079264,28
sample,1,95.977821,95.969056,22.095136,118.584224,28
sample,2,97.104156,97.094944,22.024928,119.693408,28
sample,3,95.481758,95.469696,22.238816,118.257088,28
sample,4,96.199745,96.189088,21.873248,118.612480,28
