phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,70.961021,29.637376,17.954624,156.516672,28
warmup,1,41.861473,0.140512,14.834912,57.246016,28
warmup,2,41.869953,0.145024,14.086816,56.467808,28
warmup,3,41.853535,0.133824,16.094464,59.700768,28
warmup,4,41.869633,0.130816,14.095744,56.486848,28
sample,0,41.871967,0.141184,14.019584,56.428832,28
sample,1,41.893250,0.131680,13.968704,56.371104,28
sample,2,41.853855,0.128064,13.884128,56.270304,28
sample,3,41.875168,0.145984,13.750272,56.152128,28
sample,4,41.862976,0.142464,13.741184,56.125312,28
