phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,51.140095,28.909824,13.046784,130.855264,20
warmup,1,22.776320,0.126016,11.774976,35.113728,20
warmup,2,22.708927,0.114304,10.567840,33.808128,20
warmup,3,22.728096,0.112704,11.030944,34.275360,20
warmup,4,22.725151,0.112736,10.493568,33.744384,20
sample,0,22.700001,0.110720,10.575552,33.785088,20
sample,1,22.763872,0.111648,10.520000,33.812128,20
sample,2,22.708832,0.110944,10.521952,33.770720,20
sample,3,22.755520,0.118752,10.312416,33.578176,20
sample,4,22.748960,0.104064,9.857600,33.215840,20
