phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,2.607488,2.597696,25.658976,94.794368,28
warmup,1,0.745216,0.736608,26.209600,27.578080,28
warmup,2,0.742528,0.734560,25.115008,26.370144,28
warmup,3,0.738976,0.730880,26.337728,27.650112,28
warmup,4,0.738976,0.729280,25.419007,26.756704,28
sample,0,0.744160,0.734976,26.389023,27.637568,28
sample,1,0.740096,0.730784,25.085408,26.387872,28
sample,2,0.736672,0.726784,25.075201,26.320032,28
sample,3,0.741792,0.732640,25.022401,26.261824,28
sample,4,0.731968,0.725472,26.269600,27.484352,28
