phase,index,compute_device_ms,compute_wall_ms,memory_device_ms,e2e_host_ms,markers
warmup,0,224.441788,224.430432,14.798592,306.927648,20
warmup,1,241.182693,241.173216,14.681696,256.378176,20
warmup,2,234.004257,233.994560,14.580928,249.102432,20
warmup,3,226.699966,226.690592,14.584480,241.799008,20
warmup,4,239.236511,239.227136,14.749888,254.487328,20
sample,0,236.725891,236.716352,14.596576,251.838464,20
sample,1,234.737244,234.726016,14.590016,249.845472,20
sample,2,237.291428,237.281312,14.514624,252.276640,20
sample,3,228.869247,228.857280,14.399328,243.798496,20
sample,4,241.292709,241.283360,14.165120,255.949248,20
