kernel,sample,compute_device_ms,memory_device_ms,e2e_host_ms
doitgen,warmup,456.210266,16.412832,472.784928
doitgen,1,455.207092,16.977024,472.372960
doitgen,2,457.440765,16.686464,474.303008
doitgen,3,457.523712,17.208352,474.892320
doitgen,4,456.761505,17.379296,474.301088
doitgen,5,451.239105,17.089728,468.489824
gemver,warmup,71.793533,21.534591,93.643776
gemver,1,77.329315,20.617056,98.272704
gemver,2,80.166718,21.512448,102.035264
gemver,3,76.298401,21.133440,97.764416
gemver,4,75.387871,20.567808,96.277248
gemver,5,78.687393,20.091616,99.109632
