kernel,status,build_rc,deploy_rc,run_rc,compare_rc,reference_sha256,candidate_sha256
2mm,fail,0,0,0,1,5036e1fc6e19e9e8a217cb667d11692eb7584fac9ddc2f7621db1bff3268d90c,d681a67fc588525117a33ac29e9012de8f25986a22f81665f1be016acf4d38d8
3mm,fail,0,0,0,1,44171f0d38fa5bb45a3147a82fac18621361598cf4634de88d240ca87d1ed209,ef69e21d231241a9870b34aea637c969530da7e8edbbe60955933957b845d2ee
atax,fail,0,0,0,1,ac3b860c44406820ff163e473839df10788e08ed67da778df6f7c5311addb7bb,7ef8ccde6813b41787daab65e02b1b0713407881a58e38e43666860f3ab7b569
bicg,fail,0,0,0,1,f4240f815266c81d8d601c97dbf590dc3a764ddd328ce0c3e883079e0d7a89d1,01f9a864d0076753bf0d50ad216349d74979055da431ee5def6b5073ccc10d72
covariance,pass,0,0,0,0,17f793e905b31c1eac4e16cbd6143948335f9cdd9734cb7aae03b5ba3f6fd9c8,17f793e905b31c1eac4e16cbd6143948335f9cdd9734cb7aae03b5ba3f6fd9c8
deriche,pass,0,0,0,0,70d956ac0cbb7265f4b24c22413b528d2358c3e5cc4f18df4fe2a5ef2eec8e58,70d956ac0cbb7265f4b24c22413b528d2358c3e5cc4f18df4fe2a5ef2eec8e58
doitgen,fail,1,not_run,not_run,not_run,unavailable,unavailable
gemm,fail,0,0,0,1,def89518449953ba02f9f8be46621924b35200a94b89c460ed842ddf03ac60d5,d05d6ec4103ee019a26fc8036d09ec8fa39a0cb742c0ea7b2bf8e3e9df527b7d
gemver,fail,0,0,0,1,ac143e1daac604fa589ed0cc2902ba5e6bacb6eb7dacebcb53fd2f6c80daa500,d83959f90560a254030f684bd398157447b32224ba531ea0ff56570ac552d681
gesummv,fail,0,0,255,not_run,64a4a7d23fb21690047916f8b996e93bea6407114856b35841f02c083da877d6,b4d52cb5ee4b9b00b404786505ba5a136fbb1a2aa270d76f37c7ec5c41960cdf
gramschmidt,fail,0,0,255,not_run,1c72aff2ac9589addd4e4221fed799ce96f65c9302fc7901959923ebcfc75f4a,41c6c02b6c61f219e1aceeb8db15f1f922d11000b2142477aae1854a8245ae57
mvt,fail,0,0,255,not_run,1533c7da6ae6ceed5543eec3849b4fd795e90ba99df816e92337bbc05cbced75,b4d52cb5ee4b9b00b404786505ba5a136fbb1a2aa270d76f37c7ec5c41960cdf
