kernel,native_ms,native_min_ms,native_median_ms,native_max_ms,native_iqr_ms,raised_openblas_ms,raised_min_ms,raised_max_ms,raised_median_ms,raised_iqr_ms,speedup_native_over_raised,native_correctness,raised_correctness,dataset,datatype,warmups,samples,hardware,threads,publication_status,log_dir
2mm,5202.969000000,5202.969000000,5260.104000000,5335.334000000,116.894000000,204.639648000,204.639648000,204.829216000,204.695040000,0.124720000,25.425029074,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/2mm
3mm,5889.152000000,5889.152000000,5910.661000000,5979.061000000,67.879500000,333.964000000,333.964000000,334.185344000,334.162688000,0.158576000,17.634092297,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/3mm
atax,6.687000000,6.687000000,6.709000000,6.779000000,0.062000000,4.820800000,4.820800000,4.953024000,4.856864000,0.081712000,1.387114172,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/atax
bicg,18.095000000,18.095000000,18.101000000,18.138000000,0.033500000,4.821376000,4.821376000,4.923840000,4.870880000,0.058688000,3.753077959,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/bicg
cholesky,1609.927000000,1609.927000000,1614.335000000,1616.512000000,5.121000000,173.131136000,173.131136000,173.781535998,173.534495994,0.394224003,9.298887752,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/cholesky
correlation,6189.693000000,6189.693000000,6190.619000000,6191.020000000,0.792500000,263.669088000,263.669088000,263.911264000,263.700384000,0.173008000,23.475231954,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/correlation
covariance,6404.684000000,6404.684000000,6405.555000000,6408.396000000,2.257500000,249.388704000,249.388704000,249.574208000,249.543520000,0.110720000,25.681532071,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/covariance
doitgen,583.105000000,583.105000000,583.210000000,583.282000000,0.149500000,201.382783994,201.382783994,201.560736001,201.453727990,0.137184002,2.895505705,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/doitgen
gemm,624.911000000,624.911000000,625.646000000,626.538000000,1.443000000,162.884735987,162.884735987,162.981984004,162.920223996,0.083568014,3.836522779,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/gemm
gemver,26.370000000,26.370000000,26.419000000,26.525000000,0.111500000,9.935136000,9.935136000,9.987712000,9.937888000,0.033840000,2.654216309,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/gemver
gesummv,7.697000000,7.697000000,7.730000000,7.779000000,0.055000000,1.968448000,1.968448000,2.018880000,2.006464000,0.047552000,3.910187112,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/gesummv
mvt,22.578000000,22.578000000,22.605000000,22.656000000,0.066000000,4.783360000,4.783360000,4.824480000,4.794944000,0.038208000,4.720113059,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/mvt
symm,3650.811000000,3650.811000000,3665.165000000,3731.804000000,73.445000000,148.436736000,148.436736000,148.681024000,148.566368000,0.174464000,24.595063853,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/symm
syr2k,2987.431000000,2987.431000000,3017.808000000,3029.599000000,24.831500000,181.498368000,181.498368000,181.729504000,181.568704000,0.174656000,16.459822934,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/syr2k
syrk,889.506000000,889.506000000,890.491000000,890.959000000,0.842000000,91.157920000,91.157920000,91.385024000,91.218816000,0.174704000,9.757857573,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/syrk
trisolv,2.801000000,2.801000000,2.814000000,2.896000000,0.062500000,2.216511995,2.216511995,2.284320012,2.218464002,0.038160011,1.263697199,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/trisolv
trmm,2464.753000000,2464.753000000,2465.386000000,2465.478000000,0.463000000,74.843167990,74.843167990,74.983232006,74.920223996,0.121152006,32.932237720,pass,pass,LARGE,double,5,5,Jetson AGX Orin CPU core 0,1,pending_fixed_hardware_state_verification,logs/publication_orin_cpu/trmm
