kernel,native_device_ms,native_device_iqr_ms,native_device_median_ms,native_device_max_ms,native_e2e_ms,raised_device_ms,raised_device_iqr_ms,raised_device_median_ms,raised_device_max_ms,raised_resident_wall_ms,raised_memory_device_ms,raised_e2e_ms,device_speedup_native_over_raised,native_correctness,raised_correctness,dataset,datatype,warmups,samples,hardware,publication_status,native_modified_source,log_dir,native_evidence,raised_evidence
2mm,71.729347229,0.021183014,71.743362427,71.761245728,79.135000000,48.919712000,0.056978000,48.927425000,48.998081000,48.909536000,29.294784000,78.775232000,1.466266752,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/2mm,logs/publication_orin/2mm/native-gpu-samples.csv,logs/publication_orin/2mm/raised-gpu-samples.csv
3mm,82.349311829,0.034061431,82.369789124,82.401054382,91.168000000,82.513443000,0.047073500,82.552322000,82.580894000,82.504160000,42.804576000,125.941824000,0.998010855,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/3mm,logs/publication_orin/3mm/native-gpu-samples.csv,logs/publication_orin/3mm/raised-gpu-samples.csv
atax,2.385792017,0.003583908,2.388704062,2.391999960,8.818000000,0.592672000,0.005904000,0.594080000,0.600512000,0.582656000,25.174272000,26.298912000,4.025484614,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/atax,logs/publication_orin/atax/native-gpu-samples.csv,logs/publication_orin/atax/raised-gpu-samples.csv
bicg,2.211424112,0.012863875,2.218847990,2.230207920,8.820000000,0.576736000,0.321024000,0.874336000,0.926144000,0.568928000,22.229440000,23.619328000,3.834378489,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/bicg,logs/publication_orin/bicg/native-gpu-samples.csv,logs/publication_orin/bicg/raised-gpu-samples.csv
cholesky,,,,,,520.298523000,0.468322500,520.483276000,520.839355000,,,530.020608000,,unavailable,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,,logs/publication_orin/cholesky,,logs/publication_orin/cholesky/raised-gpu-samples.csv
correlation,321.200988770,1.313873291,321.237823486,322.846252441,326.491000000,306.372864000,6.846878000,315.176270000,318.835052000,306.364224000,19.620704000,326.728160000,1.048398949,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/correlation,logs/publication_orin/correlation/native-gpu-samples.csv,logs/publication_orin/correlation/raised-gpu-samples.csv
covariance,331.264831543,2.205123901,333.460937500,334.906433105,336.663000000,128.239166000,0.461983000,128.429794000,129.067429000,128.228032000,20.206816000,149.111296000,2.583179865,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/covariance,logs/publication_orin/covariance/native-gpu-samples.csv,logs/publication_orin/covariance/raised-gpu-samples.csv
doitgen,,,,,,818.393494000,6.701660000,822.029358000,827.211548000,818.383392000,12.188896000,831.213504000,,unavailable,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,,logs/publication_orin/doitgen,,logs/publication_orin/doitgen/raised-gpu-samples.csv
fdtd-2d,260.833129883,0.760757446,261.527954102,261.872131348,270.730000000,,,,,,,,,pass,unavailable,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/fdtd-2d,logs/publication_orin/fdtd-2d/native-gpu-samples.csv,
gemm,74.818206787,0.018032074,74.829246521,74.843841553,81.723000000,40.220322000,0.050625000,40.242176000,40.286114000,40.209632000,22.485600000,63.283776000,1.860209045,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/gemm,logs/publication_orin/gemm/native-gpu-samples.csv,logs/gemm_fp32_fp64_20260908/raised-fp64-samples.csv
gemver,2.642623901,0.008144021,2.646879911,2.653984070,13.197000000,15.073344000,0.025584000,15.091168000,15.107520000,15.064192000,14.407648000,30.096096000,0.175317693,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/gemver,logs/publication_orin/gemver/native-gpu-samples.csv,logs/publication_orin/gemver/raised-gpu-samples.csv
gesummv,0.872575998,0.015408009,0.883328021,0.888448000,6.724000000,0.440224000,0.006848000,0.445472000,0.448512000,0.433088000,12.132416000,13.152288000,1.982118190,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/gesummv,logs/publication_orin/gesummv/native-gpu-samples.csv,logs/publication_orin/gesummv/raised-gpu-samples.csv
mvt,2.130847931,0.005936146,2.137023926,2.141664028,8.884000000,0.950624000,0.033200000,0.977696000,0.999584000,0.765440000,13.699776000,15.237504000,2.241525494,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/mvt,logs/publication_orin/mvt/native-gpu-samples.csv,logs/publication_orin/mvt/raised-gpu-samples.csv
symm,,,,,,95.481758000,1.064750500,96.199745000,97.104156000,95.469696000,21.873248000,118.257088000,,unavailable,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,,logs/publication_orin/symm,,logs/publication_orin/symm/raised-gpu-samples.csv
syr2k,207.734329224,0.029983520,207.753952026,207.771163940,216.179000000,41.853855000,0.025793500,41.871967000,41.893250000,0.128064000,13.741184000,56.125312000,4.963326060,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/syr2k,logs/publication_orin/syr2k/native-gpu-samples.csv,logs/publication_orin/syr2k/raised-gpu-samples.csv
syrk,83.409149170,0.018161774,83.418144226,83.438400269,89.991000000,22.700001000,0.055279500,22.748960000,22.763872000,0.104064000,9.857600000,33.215840000,3.674411696,pass,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/publication_orin/syrk,logs/publication_orin/syrk/native-gpu-samples.csv,logs/publication_orin/syrk/raised-gpu-samples.csv
trisolv,,,,,,0.731968000,0.008656000,0.740096000,0.744160000,0.725472000,25.022401000,26.261824000,,unavailable,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,,logs/publication_orin/trisolv,,logs/publication_orin/trisolv/raised-gpu-samples.csv
trmm,,,,,,228.869247000,7.488823000,236.725891000,241.292709000,228.857280000,14.165120000,243.798496000,,unavailable,pass,LARGE,double,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,,logs/publication_orin/trmm,,logs/publication_orin/trmm/raised-gpu-samples.csv
gemm,30.116159439,4.549407006,33.011070251,36.352222443,33.901000000,1.344544000,0.038080000,1.369664000,1.397632000,1.335392000,12.200480000,14.167264000,22.398790548,pass,pass,LARGE,float,5,5,Jetson AGX Orin sm_87,pending_fixed_hardware_state_verification,true,logs/gemm_fp32_fp64_20260908,logs/gemm_fp32_fp64_20260908/native-fp32-samples.csv,logs/gemm_fp32_fp64_20260908/raised-fp32-samples.csv
