label,datatype,native_min_ms,raised_min_ms,speedup_native_over_raised,speedup_percent
2mm,double,5202.969000000,204.639648000,25.425029074,2442.502907354
3mm,double,5889.152000000,333.964000000,17.634092297,1663.409229737
atax,double,6.687000000,4.820800000,1.387114172,38.711417192
bicg,double,18.095000000,4.821376000,3.753077959,275.307795949
cholesky,double,1609.927000000,173.131136000,9.298887752,829.888775177
correlation,double,6189.693000000,263.669088000,23.475231954,2247.523195438
covariance,double,6404.684000000,249.388704000,25.681532071,2468.153207132
doitgen,double,583.105000000,201.382783994,2.895505705,189.550570528
gemm,double,624.911000000,162.884735987,3.836522779,283.652277921
gemver,double,26.370000000,9.935136000,2.654216309,165.421630866
gesummv,double,7.697000000,1.968448000,3.910187112,291.018711188
mvt,double,22.578000000,4.783360000,4.720113059,372.011305860
symm,double,3650.811000000,148.436736000,24.595063853,2359.506385266
syr2k,double,2987.431000000,181.498368000,16.459822934,1545.982293350
syrk,double,889.506000000,91.157920000,9.757857573,875.785757288
trisolv,double,2.801000000,2.216511995,1.263697199,26.369719917
trmm,double,2464.753000000,74.843167990,32.932237720,3193.223772047
