label,datatype,native_min_ms,raised_min_ms,speedup_native_over_raised,speedup_percent
2mm,double,71.729347229,94.211586000,0.761364396,-23.863560445
3mm,double,82.349311829,181.747070000,0.453098429,-54.690157135
atax,double,2.385792017,0.592672000,4.025484614,302.548461375
bicg,double,2.211424112,0.576736000,3.834378489,283.437848860
correlation,double,321.200988770,306.372864000,1.048398949,4.839894949
covariance,double,331.264831543,128.239166000,2.583179865,158.317986521
gemm,double,74.818206787,40.220322000,1.860209045,86.020904524
gemver,double,2.642623901,15.073344000,0.175317693,-82.468230666
gesummv,double,0.872575998,0.440224000,1.982118190,98.211818983
mvt,double,2.130847931,0.950624000,2.241525494,124.152549378
syr2k,double,207.734329224,41.853855000,4.963326060,396.332605979
syrk,double,83.409149170,22.700001000,3.674411696,267.441169584
