kernel,configuration,dataset,datatype,correctness_status,samples,warmups,statistic,time_ms,speedup_vs_native,library,measurement_scope,command,log
2mm,native_clang18_noinline,LARGE,double,pass,5,1,median,2780.394000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/2mm/native_timing_final_raw.log
3mm,native_clang18_noinline,LARGE,double,pass,5,1,median,5526.133000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/3mm/native_timing_final_raw.log
adi,native_clang18_noinline,LARGE,double,pass,5,1,median,17867.858000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/adi/native_timing_final_raw.log
atax,native_clang18_noinline,LARGE,double,pass,5,1,median,9.470000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/atax/native_timing_final_raw.log
bicg,native_clang18_noinline,LARGE,double,pass,5,1,median,13.043000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/bicg/native_timing_final_raw.log
cholesky,native_clang18_noinline,LARGE,double,pass,5,1,median,1919.037000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/cholesky/native_timing_final_raw.log
correlation,native_clang18_noinline,LARGE,double,pass,5,1,median,18000.354000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/correlation/native_timing_final_raw.log
covariance,native_clang18_noinline,LARGE,double,pass,5,1,median,17991.087000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/covariance/native_timing_final_raw.log
deriche,native_clang18_noinline,LARGE,double,pass,5,1,median,80.851000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/deriche/native_timing_final_raw.log
doitgen,native_clang18_noinline,LARGE,double,pass,5,1,median,668.878000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/doitgen/native_timing_final_raw.log
durbin,native_clang18_noinline,LARGE,double,pass,5,1,median,4.160000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/durbin/native_timing_final_raw.log
fdtd-2d,native_clang18_noinline,LARGE,double,pass,5,1,median,2402.636000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/fdtd-2d/native_timing_final_raw.log
floyd-warshall,native_clang18_noinline,LARGE,double,pass,5,1,median,35085.276000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/floyd-warshall/native_timing_final_raw.log
gemm,native_clang18_noinline,LARGE,double,pass,5,1,median,632.936000,1.000000,none,PolyBench kernel call; pinned CPU 21; one process/thread,issues/polybench_section42/run_native_timing_final.sh,logs/gemm/native_timing_final_raw.log
