kernel,configuration,dataset,datatype,correctness_status,samples,warmups,statistic,device_time_ms,end_to_end_time_ms,speedup_vs_native,library,device,measurement_scope,command,log
2mm,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,302.137909,373.879000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/2mm/polybenchgpu_timing_raw.log
3mm,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,314.938110,389.333000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/3mm/polybenchgpu_timing_raw.log
atax,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,17.028416,85.176000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/atax/polybenchgpu_timing_raw.log
bicg,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,5.808608,74.232000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/bicg/polybenchgpu_timing_raw.log
correlation,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,515.339783,586.586000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/correlation/polybenchgpu_timing_raw.log
covariance,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,541.341248,608.920000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/covariance/polybenchgpu_timing_raw.log
doitgen,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,77.349213,150.924000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/doitgen/polybenchgpu_timing_raw.log
fdtd-2d,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,627.680359,707.161000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/fdtd-2d/polybenchgpu_timing_raw.log
gemm,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,332.832855,403.943000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/gemm/polybenchgpu_timing_raw.log
gemver,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,9.540672,85.010000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/gemver/polybenchgpu_timing_raw.log
gesummv,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,3.079264,70.572000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/gesummv/polybenchgpu_timing_raw.log
mvt,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,6.201312,73.761000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers,issues/polybench_section42/run_polybenchgpu_native.sh,logs/mvt/polybenchgpu_timing_raw.log
syr2k,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,893.415100,969.602000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers; full-matrix implementation with canonical lower-triangle output verified,issues/polybench_section42/run_polybenchgpu_native.sh,logs/syr2k/polybenchgpu_timing_raw.log
syrk,native_gpu_polybenchgpu,LARGE,double,pass,5,1,median,364.815979,436.128000,,"PolyBenchGPU 1.0 handwritten CUDA, commit 5584aaa7",Jetson Orin sm_87,device CUDA events around the external kernel sequence; E2E PolyBench kernel call including allocation and transfers; full-matrix implementation with canonical lower-triangle output verified,issues/polybench_section42/run_polybenchgpu_native.sh,logs/syrk/polybenchgpu_timing_raw.log
2mm,raised_gpu,LARGE,double,pass,5,1,median,290.617279,336.142272,,CUDA 12.6 cuBLAS,Jetson Orin sm_87,compute-only CUDA events; compiler-visible memory device median 46.757312 ms; E2E raised function including memory and orchestration,see logs/2mm/raised_gpu_region_timing_command.log,logs/2mm/raised_gpu_region_timing_raw.csv
